time [UTC],Red Rock Deli,Snacka Changi,Tyrells
2021-08-01,37.0,0.0,0.0
2021-09-01,38.5,0.0,0.0
2021-10-01,45.8,0.0,0.0
2021-11-01,39.25,0.0,0.0
2021-12-01,33.5,0.0,0.0
2022-01-01,37.6,0.0,0.0
2022-02-01,38.5,0.0,0.0
2022-03-01,44.75,0.0,0.0
2022-04-01,50.25,0.0,0.0
2022-05-01,43.0,0.0,0.0
2022-06-01,47.75,0.0,0.0
2022-07-01,38.0,0.0,0.0
2022-08-01,55.5,0.0,0.0
2022-09-01,45.25,0.0,0.0
2022-10-01,50.4,0.0,0.0
2022-11-01,43.5,0.0,0.0
2022-12-01,52.0,0.0,0.0
2023-01-01,49.4,0.0,0.0
2023-02-01,48.75,0.0,0.0
2023-03-01,57.5,0.0,0.0
2023-04-01,52.6,0.0,0.0
2023-05-01,56.25,0.0,0.0
2023-06-01,52.25,0.0,0.0
2023-07-01,63.2,0.0,0.0
2023-08-01,73.75,0.0,0.0
2023-09-01,68.25,0.0,0.0
2023-10-01,70.0,0.0,0.0
2023-11-01,67.0,0.0,0.0
2023-12-01,61.6,0.0,0.0
2024-01-01,63.0,0.0,0.0
2024-02-01,51.75,0.0,0.0
2024-03-01,55.0,0.0,0.0
2024-04-01,68.25,0.0,0.0
2024-05-01,71.0,0.0,0.0
2024-06-01,75.2,0.0,0.0
2024-07-01,64.75,3.5,0.0
2024-08-01,69.25,0.0,0.0
2024-09-01,72.0,0.0,0.0
2024-10-01,69.5,0.0,0.0
2024-11-01,64.0,0.0,0.0
2024-12-01,74.8,0.0,0.0
2025-01-01,64.75,0.0,0.0
2025-02-01,73.25,0.0,0.0
2025-03-01,69.4,0.0,0.0
