time [UTC],Cadbury,Darrell Lea,KitKat,Life Savers,Lindt
2021-08-01,23.0,0.0,6.0,3.0,14.0
2021-09-01,20.25,0.0,5.5,2.75,11.75
2021-10-01,20.4,0.0,5.0,3.6,14.4
2021-11-01,23.0,0.0,6.75,2.5,23.0
2021-12-01,29.0,0.5,4.75,3.5,30.5
2022-01-01,15.4,0.0,3.4,4.2,15.0
2022-02-01,21.0,0.0,4.75,6.25,19.25
2022-03-01,31.75,0.0,4.5,10.5,22.25
2022-04-01,53.5,0.0,7.5,7.5,44.5
2022-05-01,22.2,0.0,6.6,7.4,20.6
2022-06-01,24.0,0.0,6.25,8.0,19.25
2022-07-01,22.0,0.0,10.0,5.4,17.6
2022-08-01,24.5,0.0,10.5,5.5,19.5
2022-09-01,19.5,2.75,9.5,6.5,19.25
2022-10-01,21.6,2.6,7.2,7.2,20.8
2022-11-01,30.0,4.0,8.5,6.25,29.0
2022-12-01,36.25,5.5,7.25,6.25,45.25
2023-01-01,19.6,2.2,5.0,6.4,21.4
2023-02-01,22.0,2.5,6.5,6.5,20.75
2023-03-01,39.25,3.5,7.5,6.75,29.75
2023-04-01,46.0,3.8,7.0,5.4,37.4
2023-05-01,27.75,2.75,7.0,6.25,21.75
2023-06-01,29.5,2.25,9.0,6.75,19.25
2023-07-01,29.4,1.8,7.2,6.2,20.4
2023-08-01,29.25,3.0,8.0,6.5,21.0
2023-09-01,25.25,3.0,7.75,7.25,21.25
2023-10-01,26.6,1.0,9.8,7.2,25.2
2023-11-01,33.0,1.25,14.0,7.0,35.0
2023-12-01,39.2,4.8,11.8,6.2,44.4
2024-01-01,25.5,2.5,5.75,6.5,22.5
2024-02-01,33.0,4.25,7.5,6.5,24.5
2024-03-01,63.8,12.0,8.2,6.4,45.2
2024-04-01,28.5,6.25,7.25,6.25,29.5
2024-05-01,28.75,7.0,8.0,6.5,26.0
2024-06-01,28.4,4.6,8.2,6.8,24.6
2024-07-01,31.0,5.75,8.75,6.0,24.25
2024-08-01,38.0,8.5,8.75,7.0,24.75
2024-09-01,38.8,7.2,9.4,6.4,27.0
2024-10-01,34.5,5.75,11.0,6.0,31.75
2024-11-01,40.25,7.0,13.25,7.25,47.5
2024-12-01,47.8,10.0,15.6,7.2,64.0
2025-01-01,27.25,4.75,8.0,6.25,27.75
2025-02-01,32.5,5.5,11.75,6.25,31.25
2025-03-01,48.0,7.6,9.0,5.0,38.4
