category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Chocolate bars and blocks,Cadbury,2021-08-01,23.0,23.0,0,1.0,
Chocolate bars and blocks,Cadbury,2021-09-01,20.25,20.25,0,1.0,
Chocolate bars and blocks,Cadbury,2021-10-01,20.4,20.4,0,1.0,
Chocolate bars and blocks,Cadbury,2021-11-01,23.0,23.0,0,1.0,
Chocolate bars and blocks,Cadbury,2021-12-01,29.0,29.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-01-01,15.4,15.4,0,1.0,
Chocolate bars and blocks,Cadbury,2022-02-01,21.0,21.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-03-01,31.75,31.75,0,1.0,
Chocolate bars and blocks,Cadbury,2022-04-01,53.5,53.5,0,1.0,
Chocolate bars and blocks,Cadbury,2022-05-01,22.2,22.2,0,1.0,
Chocolate bars and blocks,Cadbury,2022-06-01,24.0,24.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-07-01,22.0,22.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-08-01,24.5,24.5,0,1.0,
Chocolate bars and blocks,Cadbury,2022-09-01,19.5,19.5,0,1.0,
Chocolate bars and blocks,Cadbury,2022-10-01,21.6,21.6,0,1.0,
Chocolate bars and blocks,Cadbury,2022-11-01,30.0,30.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-12-01,36.25,36.25,0,1.0,
Chocolate bars and blocks,Cadbury,2023-01-01,19.6,19.6,0,1.0,
Chocolate bars and blocks,Cadbury,2023-02-01,22.0,22.0,0,1.0,
Chocolate bars and blocks,Cadbury,2023-03-01,39.25,39.25,0,1.0,
Chocolate bars and blocks,Cadbury,2023-04-01,46.0,46.0,0,1.0,
Chocolate bars and blocks,Cadbury,2023-05-01,27.75,27.75,0,1.0,
Chocolate bars and blocks,Cadbury,2023-06-01,29.5,29.5,0,1.0,
Chocolate bars and blocks,Cadbury,2023-07-01,29.4,29.4,0,1.0,
Chocolate bars and blocks,Cadbury,2023-08-01,29.25,29.25,0,1.0,
Chocolate bars and blocks,Cadbury,2023-09-01,25.25,25.25,0,1.0,
Chocolate bars and blocks,Cadbury,2023-10-01,26.6,26.6,0,1.0,
Chocolate bars and blocks,Cadbury,2023-11-01,33.0,33.0,0,1.0,
Chocolate bars and blocks,Cadbury,2023-12-01,39.2,39.2,0,1.0,
Chocolate bars and blocks,Cadbury,2024-01-01,25.5,25.5,0,1.0,
Chocolate bars and blocks,Cadbury,2024-02-01,33.0,33.0,0,1.0,
Chocolate bars and blocks,Cadbury,2024-03-01,63.8,63.8,0,1.0,
Chocolate bars and blocks,Cadbury,2024-04-01,28.5,28.5,0,1.0,
Chocolate bars and blocks,Cadbury,2024-05-01,28.75,28.75,0,1.0,
Chocolate bars and blocks,Cadbury,2024-06-01,28.4,28.4,0,1.0,
Chocolate bars and blocks,Cadbury,2024-07-01,31.0,31.0,0,1.0,
