time [UTC],Cadbury,Allens,Boodles,Darrell Lea,KitKat
2021-08-01,23.0,4.0,0.0,0.0,6.0
2021-09-01,20.0,4.0,0.0,0.0,5.5
2021-10-01,20.2,3.6,0.0,0.0,4.8
2021-11-01,23.0,5.0,0.0,0.0,6.75
2021-12-01,28.5,3.5,0.0,0.5,4.75
2022-01-01,15.4,4.2,0.0,0.0,3.2
2022-02-01,21.0,6.25,0.0,0.0,5.0
2022-03-01,31.5,6.5,0.0,0.0,4.5
2022-04-01,52.5,5.5,0.0,0.0,7.25
2022-05-01,22.2,5.4,0.0,0.0,6.6
2022-06-01,23.75,7.75,0.0,0.0,6.5
2022-07-01,22.0,5.8,0.0,0.0,9.8
2022-08-01,24.5,4.0,0.0,0.0,10.75
2022-09-01,19.5,3.75,0.0,2.75,10.0
2022-10-01,21.4,3.2,0.0,2.6,7.4
2022-11-01,29.75,2.75,0.0,4.0,8.25
2022-12-01,36.0,2.5,0.0,5.25,7.25
2023-01-01,19.6,2.2,0.0,2.2,4.8
2023-02-01,22.0,3.5,0.0,2.5,6.75
2023-03-01,38.75,3.75,0.25,3.5,7.25
2023-04-01,45.6,3.2,0.0,3.8,7.0
2023-05-01,27.5,3.5,0.5,2.5,6.5
2023-06-01,29.5,3.5,0.25,2.25,8.75
2023-07-01,28.8,3.8,0.2,1.8,7.0
2023-08-01,28.75,3.75,0.0,2.75,8.25
2023-09-01,25.25,3.5,0.0,2.75,7.5
2023-10-01,26.6,2.6,0.0,1.0,9.8
2023-11-01,32.5,3.0,0.0,1.25,13.25
2023-12-01,38.6,3.0,0.2,4.8,11.6
2024-01-01,25.5,3.25,0.0,2.5,6.0
2024-02-01,32.5,6.0,0.0,4.25,7.25
2024-03-01,63.6,4.2,0.0,12.0,8.4
2024-04-01,27.75,5.75,0.0,6.25,7.25
2024-05-01,28.25,6.75,0.0,7.0,8.25
2024-06-01,28.0,5.4,0.4,4.6,8.4
2024-07-01,30.75,6.75,0.25,5.75,8.75
2024-08-01,37.75,5.25,0.0,8.5,8.75
2024-09-01,38.2,5.8,0.0,7.0,9.4
2024-10-01,34.25,6.0,0.0,5.5,10.0
2024-11-01,40.0,3.5,0.5,7.0,13.25
2024-12-01,47.2,1.8,0.0,10.0,15.6
2025-01-01,27.0,3.0,0.25,4.75,8.0
2025-02-01,32.25,4.5,0.0,5.5,11.75
2025-03-01,47.4,4.8,0.0,7.6,9.2
