time [UTC],Cadbury,Lindt,The Natural Confectionery Co.
2021-08-01,23.0,14.0,1.0
2021-09-01,20.0,12.0,0.25
2021-10-01,20.2,14.2,1.2
2021-11-01,23.0,22.75,1.0
2021-12-01,28.5,30.5,0.0
2022-01-01,15.4,14.6,0.4
2022-02-01,21.0,19.5,1.25
2022-03-01,31.5,21.75,0.75
2022-04-01,52.5,43.5,0.75
2022-05-01,22.2,20.4,0.4
2022-06-01,23.75,19.0,1.75
2022-07-01,22.0,17.8,1.0
2022-08-01,24.5,19.5,1.25
2022-09-01,19.5,19.25,1.0
2022-10-01,21.4,20.6,1.2
2022-11-01,29.75,29.0,1.0
2022-12-01,36.0,44.75,0.75
2023-01-01,19.6,21.2,1.0
2023-02-01,22.0,20.5,0.5
2023-03-01,38.75,29.25,0.75
2023-04-01,45.6,37.4,1.0
2023-05-01,27.5,21.5,2.75
2023-06-01,29.5,19.5,3.0
2023-07-01,28.8,20.4,3.2
2023-08-01,28.75,20.5,3.5
2023-09-01,25.25,21.25,3.25
2023-10-01,26.6,24.6,3.6
2023-11-01,32.5,34.5,2.75
2023-12-01,38.6,44.2,2.8
2024-01-01,25.5,22.25,3.0
2024-02-01,32.5,24.5,2.75
2024-03-01,63.6,45.0,3.2
2024-04-01,27.75,29.25,4.0
2024-05-01,28.25,26.25,3.5
2024-06-01,28.0,24.6,2.8
2024-07-01,30.75,24.25,3.25
2024-08-01,37.75,24.5,3.5
2024-09-01,38.2,26.6,3.0
2024-10-01,34.25,30.75,3.25
2024-11-01,40.0,46.75,3.0
2024-12-01,47.2,63.4,2.6
2025-01-01,27.0,27.5,2.5
2025-02-01,32.25,31.5,2.75
2025-03-01,47.4,37.6,2.6
