time [UTC],Cadbury,Boodles
2021-08-01,23.0,1.0
2021-09-01,20.0,1.25
2021-10-01,20.2,1.2
2021-11-01,23.0,1.0
2021-12-01,28.75,1.75
2022-01-01,15.4,1.6
2022-02-01,21.0,1.5
2022-03-01,31.5,1.25
2022-04-01,52.5,1.25
2022-05-01,22.2,1.4
2022-06-01,23.75,1.25
2022-07-01,22.0,1.8
2022-08-01,24.5,1.5
2022-09-01,19.5,1.25
2022-10-01,21.4,1.2
2022-11-01,29.75,1.5
2022-12-01,36.0,1.75
2023-01-01,19.6,2.2
2023-02-01,22.0,1.25
2023-03-01,39.0,1.25
2023-04-01,45.6,2.0
2023-05-01,27.5,1.5
2023-06-01,29.5,1.75
2023-07-01,28.6,2.0
2023-08-01,28.75,1.5
2023-09-01,25.25,1.25
2023-10-01,26.6,1.8
2023-11-01,32.5,1.5
2023-12-01,38.6,1.6
2024-01-01,25.5,1.75
2024-02-01,32.5,1.5
2024-03-01,63.6,1.4
2024-04-01,28.0,1.5
2024-05-01,28.25,2.0
2024-06-01,28.0,1.6
2024-07-01,30.75,1.75
2024-08-01,37.75,1.5
2024-09-01,38.2,1.6
2024-10-01,34.25,2.0
2024-11-01,40.0,1.75
2024-12-01,47.0,1.8
2025-01-01,27.0,1.75
2025-02-01,32.25,1.5
2025-03-01,47.4,1.6
