time [UTC],Cadbury,Darrell Lea,Ferrero,Lindt,Nestlé
2021-08-01,44.0,38.0,13.0,24.0,27.0
2021-09-01,31.75,14.0,10.75,13.5,23.0
2021-10-01,22.8,8.4,10.0,9.4,22.8
2021-11-01,29.0,13.75,16.25,16.5,21.5
2021-12-01,32.0,15.5,28.5,19.75,21.0
2022-01-01,24.6,6.8,11.6,12.2,21.6
2022-02-01,33.25,8.0,11.5,9.5,23.5
2022-03-01,46.5,11.5,11.5,12.5,31.5
2022-04-01,65.75,20.5,29.75,29.75,26.25
2022-05-01,30.6,9.2,10.4,12.8,25.6
2022-06-01,42.0,7.0,8.75,13.75,26.5
2022-07-01,39.4,8.2,8.6,14.6,26.4
2022-08-01,36.0,14.75,10.25,14.5,27.25
2022-09-01,32.0,9.5,10.0,16.5,24.75
2022-10-01,32.6,9.0,10.6,18.0,24.2
2022-11-01,34.0,12.25,18.0,18.75,24.0
2022-12-01,33.5,16.5,30.25,29.5,25.5
2023-01-01,27.4,6.8,13.2,17.8,21.2
2023-02-01,28.75,8.0,14.5,16.0,23.75
2023-03-01,40.5,12.75,13.25,24.25,26.25
2023-04-01,43.6,16.6,17.2,23.0,26.0
2023-05-01,27.25,10.5,14.5,19.0,26.0
2023-06-01,24.75,8.5,11.0,17.25,28.0
2023-07-01,27.8,8.2,10.2,16.6,24.6
2023-08-01,28.0,15.0,12.5,16.25,24.25
2023-09-01,25.0,12.75,12.5,16.0,24.0
2023-10-01,27.8,10.4,16.0,17.4,26.2
2023-11-01,31.25,12.0,29.0,23.25,24.75
2023-12-01,33.4,16.0,41.2,36.2,24.8
2024-01-01,24.75,8.25,18.5,15.5,20.5
2024-02-01,29.75,10.0,19.75,17.0,23.75
2024-03-01,61.8,18.2,24.8,20.6,28.2
2024-04-01,30.25,10.25,15.0,18.5,27.5
2024-05-01,28.5,11.0,16.25,14.5,26.75
2024-06-01,27.2,7.2,11.8,21.2,25.0
2024-07-01,31.25,9.25,12.5,19.0,24.5
2024-08-01,26.25,12.75,14.0,19.0,24.0
2024-09-01,21.8,10.2,14.8,18.6,23.4
2024-10-01,27.0,7.75,17.5,14.75,25.0
2024-11-01,29.25,11.0,23.5,26.0,24.0
2024-12-01,41.8,14.6,42.2,48.0,26.4
2025-01-01,35.75,7.0,20.75,12.75,25.0
2025-02-01,33.0,8.25,21.0,13.25,23.25
2025-03-01,44.6,11.2,16.8,19.4,26.6
