time [UTC],Vittoria Coffee,Allpress Espresso,Axil,Campos,Coffee Supreme
2021-08-01,40.0,0.0,0.0,35.0,0.0
2021-09-01,26.5,0.0,0.0,40.5,0.0
2021-10-01,0.0,0.0,0.0,40.8,0.0
2021-11-01,0.0,0.0,0.0,49.75,0.0
2021-12-01,0.0,0.0,0.0,10.75,0.0
2022-01-01,0.0,0.0,0.0,16.6,3.8
2022-02-01,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0
2022-04-01,4.5,0.0,4.25,0.0,0.0
2022-05-01,3.8,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,3.6,0.0,0.0,0.0
2022-08-01,0.0,7.75,0.0,0.0,0.0
2022-09-01,0.0,19.0,0.0,0.0,0.0
2022-10-01,0.0,10.0,0.0,0.0,0.0
2022-11-01,0.0,13.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,14.5,0.0
2023-01-01,0.0,13.8,0.0,60.4,0.0
2023-02-01,0.0,12.0,0.0,41.75,0.0
2023-03-01,36.0,9.75,0.0,5.25,0.0
2023-04-01,65.4,14.4,0.0,23.2,0.0
2023-05-01,46.25,22.0,0.0,37.0,0.0
2023-06-01,39.0,16.5,0.0,46.25,0.0
2023-07-01,51.6,14.0,0.0,26.4,5.0
2023-08-01,51.75,20.25,0.0,9.0,0.0
2023-09-01,47.0,21.5,0.0,17.75,0.0
2023-10-01,54.6,25.4,0.0,21.2,0.0
2023-11-01,77.0,26.75,0.0,17.5,5.0
2023-12-01,54.2,24.8,0.0,57.6,8.2
2024-01-01,45.5,14.25,0.0,54.0,13.25
2024-02-01,59.75,26.5,0.0,54.75,5.0
2024-03-01,61.4,31.8,0.0,52.6,4.8
2024-04-01,63.75,37.25,0.0,64.0,12.25
2024-05-01,55.0,37.0,0.0,56.75,0.0
2024-06-01,63.0,37.4,0.0,68.4,0.0
2024-07-01,60.5,40.75,0.0,71.75,5.75
2024-08-01,41.5,39.25,0.0,67.75,0.0
2024-09-01,36.2,35.2,0.0,69.8,25.2
2024-10-01,47.0,39.0,0.0,67.5,16.75
2024-11-01,71.75,39.5,0.0,87.0,17.75
2024-12-01,59.4,45.2,0.0,85.8,15.0
2025-01-01,71.0,49.25,0.0,60.5,12.0
2025-02-01,64.5,32.5,6.25,65.5,20.25
2025-03-01,52.0,27.2,0.0,72.4,4.6
