time [UTC],Vittoria Coffee,Rumble Coffee Roasters,ST. ALI,Sample Coffee,Single O
2021-08-01,40.0,0.0,0.0,0.0,29.0
2021-09-01,27.0,0.0,0.0,0.0,14.25
2021-10-01,0.0,0.0,0.0,4.2,32.6
2021-11-01,0.0,0.0,0.0,0.0,37.25
2021-12-01,0.0,0.0,0.0,7.5,23.25
2022-01-01,0.0,0.0,4.6,0.0,39.6
2022-02-01,0.0,0.0,0.0,5.0,46.25
2022-03-01,0.0,0.0,0.0,4.75,42.25
2022-04-01,4.5,0.0,0.0,8.25,44.5
2022-05-01,3.8,0.0,0.0,7.4,38.4
2022-06-01,0.0,0.0,0.0,5.25,38.75
2022-07-01,0.0,0.0,0.0,0.0,45.6
2022-08-01,0.0,0.0,0.0,9.5,50.25
2022-09-01,0.0,0.0,0.0,5.5,39.0
2022-10-01,0.0,0.0,0.0,3.8,42.8
2022-11-01,0.0,0.0,0.0,4.25,48.0
2022-12-01,0.0,0.0,0.0,5.75,28.0
2023-01-01,0.0,0.0,0.0,3.8,44.2
2023-02-01,0.0,0.0,0.0,7.75,38.0
2023-03-01,36.25,0.0,0.0,5.75,40.75
2023-04-01,65.8,0.0,0.0,0.0,39.2
2023-05-01,46.5,0.0,0.0,0.0,41.5
2023-06-01,39.25,0.0,0.0,5.0,38.5
2023-07-01,51.6,0.0,0.0,8.4,34.8
2023-08-01,52.25,0.0,0.0,0.0,44.25
2023-09-01,47.5,0.0,0.0,7.0,62.5
2023-10-01,54.8,0.0,0.0,9.2,48.8
2023-11-01,77.0,0.0,0.0,4.5,52.5
2023-12-01,54.0,0.0,0.0,0.0,45.0
2024-01-01,45.75,0.0,0.0,0.0,47.5
2024-02-01,59.5,0.0,0.0,0.0,48.25
2024-03-01,62.2,0.0,0.0,0.0,44.8
2024-04-01,64.5,0.0,0.0,0.0,47.75
2024-05-01,55.25,0.0,0.0,14.0,46.5
2024-06-01,63.0,0.0,0.0,0.0,56.0
2024-07-01,61.0,0.0,0.0,6.75,48.5
2024-08-01,41.75,0.0,0.0,4.75,39.25
2024-09-01,36.4,0.0,0.0,9.8,50.4
2024-10-01,46.75,0.0,0.0,5.5,50.75
2024-11-01,71.75,0.0,0.0,16.0,44.75
2024-12-01,59.4,0.0,0.0,0.0,47.0
2025-01-01,71.0,0.0,0.0,0.0,44.0
2025-02-01,64.75,0.0,0.0,0.0,45.25
2025-03-01,52.4,0.0,0.0,4.2,57.4
