time [UTC],Vittoria Coffee,Toby's Estate,Veneziano Coffee Roasters
2021-08-01,15.0,0.0,0.0
2021-09-01,10.0,0.0,0.0
2021-10-01,0.0,1.8,0.0
2021-11-01,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0
2022-01-01,0.0,2.0,0.0
2022-02-01,0.0,0.0,0.0
2022-03-01,0.0,4.75,0.0
2022-04-01,1.75,8.75,0.0
2022-05-01,1.4,6.0,0.0
2022-06-01,0.0,9.75,0.0
2022-07-01,0.0,5.4,0.0
2022-08-01,0.0,11.0,0.0
2022-09-01,0.0,7.75,0.0
2022-10-01,0.0,9.0,0.0
2022-11-01,0.0,10.75,0.0
2022-12-01,0.0,6.75,0.0
2023-01-01,0.0,11.2,0.0
2023-02-01,0.0,11.0,0.0
2023-03-01,13.25,6.25,0.0
2023-04-01,24.4,8.4,0.0
2023-05-01,17.0,7.75,0.0
2023-06-01,14.5,10.5,0.0
2023-07-01,19.0,9.4,0.0
2023-08-01,19.25,8.75,0.0
2023-09-01,17.5,10.25,0.0
2023-10-01,20.0,9.2,0.0
2023-11-01,28.5,8.0,0.0
2023-12-01,20.0,12.8,0.0
2024-01-01,16.75,10.5,0.0
2024-02-01,22.0,12.25,0.0
2024-03-01,22.8,11.4,0.0
2024-04-01,23.5,12.0,0.0
2024-05-01,20.25,13.25,0.0
2024-06-01,23.2,10.8,0.0
2024-07-01,22.5,13.5,0.0
2024-08-01,15.0,14.0,0.0
2024-09-01,13.4,10.8,0.0
2024-10-01,17.0,10.75,0.0
2024-11-01,26.5,8.0,0.0
2024-12-01,21.8,7.0,0.0
2025-01-01,25.75,11.75,0.0
2025-02-01,23.75,52.75,1.75
2025-03-01,19.2,35.0,0.0
