time [UTC],Cashrewards,EatClub,Entertainment,First Table,Groupon
2021-08-01,19.0,0.0,6.0,0.0,34.0
2021-09-01,20.75,0.0,5.25,0.0,42.25
2021-10-01,18.2,0.4,5.6,0.0,52.6
2021-11-01,36.25,0.0,5.75,0.0,65.5
2021-12-01,27.25,0.5,4.75,0.0,70.75
2022-01-01,22.4,0.0,5.0,0.0,65.4
2022-02-01,23.75,0.75,5.5,0.0,61.75
2022-03-01,27.75,0.5,5.25,0.0,65.0
2022-04-01,27.0,0.75,7.0,0.0,67.5
2022-05-01,32.6,1.2,8.4,0.0,62.2
2022-06-01,34.75,0.75,8.25,0.0,63.5
2022-07-01,28.6,1.4,8.0,0.0,60.4
2022-08-01,28.25,0.5,6.5,0.0,56.0
2022-09-01,28.25,1.25,5.25,0.25,61.25
2022-10-01,27.8,1.0,5.0,0.0,53.2
2022-11-01,60.75,0.25,6.25,0.0,53.75
2022-12-01,39.25,0.0,6.75,0.0,64.25
2023-01-01,28.0,0.2,6.6,0.0,56.0
2023-02-01,27.5,0.5,5.75,0.25,46.25
2023-03-01,32.0,0.75,5.25,0.0,43.25
2023-04-01,25.4,1.0,5.4,0.0,47.4
2023-05-01,32.0,1.75,4.75,0.0,44.0
2023-06-01,36.25,1.0,18.5,0.0,46.5
2023-07-01,29.6,0.8,6.6,0.0,45.4
2023-08-01,27.25,1.5,5.0,0.0,42.75
2023-09-01,27.25,0.5,4.75,0.0,42.25
2023-10-01,25.4,0.4,5.4,0.0,38.6
2023-11-01,48.0,0.5,5.75,1.75,41.25
2023-12-01,27.8,0.6,5.6,1.0,50.0
2024-01-01,20.75,1.25,5.5,0.0,42.25
2024-02-01,19.75,1.75,3.75,0.5,36.25
2024-03-01,21.4,1.2,3.8,0.4,34.8
2024-04-01,18.75,2.75,4.25,4.5,35.5
2024-05-01,24.5,2.25,3.5,8.25,33.25
2024-06-01,25.8,2.8,4.4,6.8,37.8
2024-07-01,21.25,2.75,3.75,2.75,35.5
2024-08-01,21.0,2.75,3.75,4.5,31.25
2024-09-01,21.6,3.4,4.4,2.0,35.6
2024-10-01,20.75,3.25,3.5,0.0,33.25
2024-11-01,40.25,3.75,3.25,1.5,33.5
2024-12-01,27.6,2.8,4.0,0.0,41.8
2025-01-01,19.75,3.0,4.25,0.0,36.75
2025-02-01,20.25,4.25,4.25,6.5,32.0
2025-03-01,20.0,4.2,3.4,10.0,27.4
