time [UTC],Cashrewards,RedBalloon
2021-08-01,19.0,23.0
2021-09-01,20.75,18.25
2021-10-01,18.2,9.6
2021-11-01,36.25,11.75
2021-12-01,27.25,17.25
2022-01-01,22.4,11.8
2022-02-01,23.75,14.75
2022-03-01,27.75,22.5
2022-04-01,27.0,21.75
2022-05-01,32.6,21.8
2022-06-01,34.75,32.0
2022-07-01,28.6,23.4
2022-08-01,28.25,9.5
2022-09-01,28.25,5.0
2022-10-01,27.8,4.6
2022-11-01,60.75,6.5
2022-12-01,39.25,10.25
2023-01-01,28.0,7.4
2023-02-01,27.5,4.5
2023-03-01,32.0,2.5
2023-04-01,25.4,3.8
2023-05-01,32.0,12.25
2023-06-01,36.25,5.75
2023-07-01,29.6,10.4
2023-08-01,27.25,5.25
2023-09-01,27.25,5.5
2023-10-01,25.4,5.4
2023-11-01,48.0,4.25
2023-12-01,27.8,14.2
2024-01-01,20.75,9.25
2024-02-01,19.75,6.75
2024-03-01,21.4,5.8
2024-04-01,18.75,5.5
2024-05-01,24.5,6.5
2024-06-01,25.8,5.0
2024-07-01,21.25,5.75
2024-08-01,21.0,7.75
2024-09-01,21.6,6.4
2024-10-01,20.75,17.75
2024-11-01,40.25,32.5
2024-12-01,27.6,11.8
2025-01-01,19.75,9.5
2025-02-01,20.25,16.25
2025-03-01,20.0,14.2
