category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
"Coupons, Discounts and Vouchers",Cashrewards,2021-08-01,19.0,19.0,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2021-09-01,20.75,20.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2021-10-01,18.2,18.2,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2021-11-01,36.25,36.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2021-12-01,27.25,27.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-01-01,22.4,22.4,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-02-01,23.75,23.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-03-01,27.75,27.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-04-01,27.0,27.0,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-05-01,32.6,32.6,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-06-01,34.75,34.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-07-01,28.6,28.6,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-08-01,28.25,28.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-09-01,28.25,28.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-10-01,27.8,27.8,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-11-01,60.75,60.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2022-12-01,39.25,39.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-01-01,28.0,28.0,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-02-01,27.5,27.5,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-03-01,32.0,32.0,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-04-01,25.4,25.4,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-05-01,32.0,32.0,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-06-01,36.25,36.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-07-01,29.6,29.6,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-08-01,27.25,27.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-09-01,27.25,27.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-10-01,25.4,25.4,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-11-01,48.0,48.0,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2023-12-01,27.8,27.8,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-01-01,20.75,20.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-02-01,19.75,19.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-03-01,21.4,21.4,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-04-01,18.75,18.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-05-01,24.5,24.5,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-06-01,25.8,25.8,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-07-01,21.25,21.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-08-01,21.0,21.0,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-09-01,21.6,21.6,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-10-01,20.75,20.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-11-01,40.25,40.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2024-12-01,27.6,27.6,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2025-01-01,19.75,19.75,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2025-02-01,20.25,20.25,0,1.0,
"Coupons, Discounts and Vouchers",Cashrewards,2025-03-01,20.0,20.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2021-08-01,0.0,0.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2021-09-01,0.0,0.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2021-10-01,0.4,0.4,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2021-11-01,0.0,0.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2021-12-01,0.5,0.5,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-01-01,0.0,0.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-02-01,0.75,0.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-03-01,0.5,0.5,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-04-01,0.75,0.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-05-01,1.2,1.2,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-06-01,0.75,0.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-07-01,1.4,1.4,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-08-01,0.5,0.5,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-09-01,1.25,1.25,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-10-01,1.0,1.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-11-01,0.25,0.25,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2022-12-01,0.0,0.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-01-01,0.2,0.2,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-02-01,0.5,0.5,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-03-01,0.75,0.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-04-01,1.0,1.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-05-01,1.75,1.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-06-01,1.0,1.0,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-07-01,0.8,0.8,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-08-01,1.5,1.5,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-09-01,0.5,0.5,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-10-01,0.4,0.4,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-11-01,0.5,0.5,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2023-12-01,0.6,0.6,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-01-01,1.25,1.25,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-02-01,1.75,1.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-03-01,1.2,1.2,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-04-01,2.75,2.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-05-01,2.25,2.25,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-06-01,2.8,2.8,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-07-01,2.75,2.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-08-01,2.75,2.75,0,1.0,
"Coupons, Discounts and Vouchers",EatClub,2024-09-01,3.4,3.4,0,1.0,
