category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
"Crumbs, Coatings and Sauces",MasterFoods,2021-08-01,72.0,72.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2021-09-01,61.0,61.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2021-10-01,54.2,54.2,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2021-11-01,49.0,49.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2021-12-01,50.0,50.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-01-01,58.6,58.6,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-02-01,48.0,48.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-03-01,48.75,48.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-04-01,53.75,53.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-05-01,52.6,52.6,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-06-01,61.0,61.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-07-01,57.0,57.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-08-01,56.5,56.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-09-01,51.0,51.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-10-01,54.2,54.2,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-11-01,51.25,51.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-12-01,54.25,54.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-01-01,60.0,60.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-02-01,54.0,54.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-03-01,60.25,60.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-04-01,56.8,56.8,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-05-01,71.0,71.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-06-01,63.25,63.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-07-01,62.6,62.6,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-08-01,56.5,56.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-09-01,56.0,56.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-10-01,54.6,54.6,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-11-01,51.25,51.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-12-01,58.6,58.6,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-01-01,55.5,55.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-02-01,56.0,56.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-03-01,53.0,53.0,0,1.0,
