time [UTC],Kmart,Big W,David Jones,Myer
2021-08-01,0.0,35.0,7.0,11.0
2021-09-01,0.0,36.5,8.75,13.5
2021-10-01,0.0,36.6,9.2,14.6
2021-11-01,0.0,43.5,14.75,23.25
2021-12-01,0.0,47.5,15.5,24.75
2022-01-01,0.0,28.4,8.8,12.4
2022-02-01,0.0,26.5,8.0,11.5
2022-03-01,0.0,27.25,8.25,12.5
2022-04-01,0.0,30.25,9.25,13.75
2022-05-01,0.0,27.8,8.6,13.4
2022-06-01,0.0,32.0,9.5,14.25
2022-07-01,0.0,29.4,7.8,12.8
2022-08-01,0.0,28.5,8.0,12.0
2022-09-01,0.0,27.75,9.0,13.5
2022-10-01,55.2,30.6,8.6,13.6
2022-11-01,68.75,38.5,12.75,21.5
2022-12-01,82.0,44.5,15.0,25.5
2023-01-01,62.6,29.6,8.8,13.8
2023-02-01,50.0,25.25,7.5,11.0
2023-03-01,55.5,26.0,7.25,11.75
2023-04-01,62.6,27.8,8.0,13.0
2023-05-01,57.0,25.5,7.75,12.75
2023-06-01,59.0,28.0,8.75,14.0
2023-07-01,57.6,25.6,6.4,11.8
2023-08-01,58.0,26.0,7.0,11.0
2023-09-01,59.25,26.25,7.5,11.75
2023-10-01,64.0,29.0,7.6,12.6
2023-11-01,74.5,38.0,12.25,20.5
2023-12-01,86.0,41.2,12.6,22.6
2024-01-01,63.5,26.5,7.0,12.0
2024-02-01,56.75,23.5,5.5,10.5
2024-03-01,57.4,26.0,6.6,11.0
2024-04-01,59.25,25.5,7.0,11.25
2024-05-01,55.25,24.75,7.0,11.75
2024-06-01,58.0,28.8,7.2,12.6
2024-07-01,58.25,26.75,5.75,10.75
2024-08-01,57.0,26.0,5.75,10.5
2024-09-01,58.6,25.4,6.8,10.8
2024-10-01,63.0,27.5,6.75,12.25
2024-11-01,70.0,34.5,10.5,19.5
2024-12-01,85.8,41.4,12.0,22.2
2025-01-01,65.75,26.75,6.25,11.25
2025-02-01,58.25,23.5,5.0,9.5
2025-03-01,55.2,22.6,5.8,9.8
