time [UTC],Healthy Life,Adore,Go for Zero,Little Eco Shop
2021-08-01,0.0,68.0,0.0,0.0
2021-09-01,0.0,62.25,0.25,0.0
2021-10-01,0.0,53.0,0.0,0.0
2021-11-01,0.0,66.0,0.25,0.0
2021-12-01,0.0,57.25,0.5,0.0
2022-01-01,0.0,53.2,0.0,0.0
2022-02-01,0.0,52.75,0.25,0.0
2022-03-01,0.0,55.0,0.5,0.0
2022-04-01,0.0,53.5,0.25,0.0
2022-05-01,0.0,56.2,0.4,0.0
2022-06-01,0.0,52.5,0.75,0.0
2022-07-01,0.0,52.0,0.2,0.0
2022-08-01,0.0,57.0,0.25,0.0
2022-09-01,0.0,50.75,0.5,0.0
2022-10-01,0.0,51.2,0.2,0.0
2022-11-01,0.0,72.0,0.0,0.0
2022-12-01,0.0,55.0,0.25,0.0
2023-01-01,0.0,46.6,0.4,0.0
2023-02-01,0.0,47.75,0.25,0.0
2023-03-01,0.0,47.75,0.0,0.0
2023-04-01,0.0,49.4,0.0,0.0
2023-05-01,0.0,54.25,0.25,0.0
2023-06-01,0.0,47.5,0.5,0.0
2023-07-01,0.2,44.0,0.0,0.0
2023-08-01,0.0,48.0,0.0,0.0
2023-09-01,0.0,42.0,0.25,0.0
2023-10-01,0.0,49.6,0.2,0.0
2023-11-01,0.0,66.25,0.25,0.0
2023-12-01,0.0,51.0,0.2,0.0
2024-01-01,0.0,42.0,0.25,0.25
2024-02-01,0.0,44.75,0.25,0.0
2024-03-01,0.0,45.0,0.0,0.0
2024-04-01,0.0,41.5,0.0,0.0
2024-05-01,0.0,47.25,0.0,0.0
2024-06-01,0.0,46.4,0.2,0.0
2024-07-01,0.0,41.0,0.0,0.0
2024-08-01,0.0,49.25,0.5,0.0
2024-09-01,0.0,41.6,0.2,0.0
2024-10-01,0.0,39.75,0.5,0.0
2024-11-01,0.0,60.0,0.0,0.0
2024-12-01,0.0,50.8,0.0,0.0
2025-01-01,0.0,41.25,0.25,0.0
2025-02-01,0.0,45.5,0.25,0.0
2025-03-01,0.0,40.6,0.8,0.0
