time [UTC],KFC,Mad Mex,McDonalds,Oporto,Red Rooster
2021-08-01,0.0,1.0,84.0,7.0,17.0
2021-09-01,0.0,1.0,87.25,5.75,16.75
2021-10-01,0.0,1.6,82.4,6.4,15.8
2021-11-01,0.0,2.0,86.0,6.25,14.75
2021-12-01,0.0,2.0,79.5,7.75,20.75
2022-01-01,0.0,1.8,61.2,6.2,14.2
2022-02-01,36.5,1.75,74.5,6.0,14.0
2022-03-01,51.25,1.75,67.75,5.75,13.75
2022-04-01,56.75,2.0,71.75,6.5,16.25
2022-05-01,52.8,1.8,60.8,6.0,14.0
2022-06-01,59.0,1.75,63.25,7.0,14.5
2022-07-01,51.8,1.4,66.4,6.4,14.4
2022-08-01,51.25,2.0,63.5,6.0,13.5
2022-09-01,52.75,1.75,66.5,6.25,13.25
2022-10-01,56.2,1.8,73.8,5.4,12.8
2022-11-01,50.5,1.75,72.75,6.5,13.0
2022-12-01,62.25,2.0,75.0,7.5,17.75
2023-01-01,50.8,2.0,66.4,6.4,13.8
2023-02-01,52.75,1.5,57.5,6.25,14.25
2023-03-01,50.5,2.0,59.0,6.0,14.5
2023-04-01,55.6,2.0,64.2,6.4,15.6
2023-05-01,53.25,2.0,53.75,5.75,12.25
2023-06-01,56.0,1.75,59.25,6.5,12.75
2023-07-01,52.8,1.8,62.6,6.4,13.8
2023-08-01,49.5,2.0,64.0,6.5,12.75
2023-09-01,48.25,1.75,83.0,6.75,13.5
2023-10-01,50.6,2.0,62.6,7.0,13.6
2023-11-01,48.0,2.0,62.0,6.75,13.75
2023-12-01,56.0,2.0,71.6,7.8,16.8
2024-01-01,46.25,2.0,54.75,6.75,12.75
2024-02-01,46.25,1.75,53.5,7.25,14.0
2024-03-01,50.4,2.0,63.6,7.0,14.4
2024-04-01,48.75,2.0,71.0,7.25,14.75
2024-05-01,47.0,2.0,58.0,6.25,14.25
2024-06-01,52.6,2.0,58.4,6.2,13.0
2024-07-01,53.75,2.0,56.75,7.25,12.25
2024-08-01,47.0,2.0,61.75,6.75,12.25
2024-09-01,49.6,2.0,57.6,7.0,12.0
2024-10-01,47.25,2.0,61.75,6.5,12.25
2024-11-01,43.5,2.0,51.25,6.75,11.75
2024-12-01,51.8,2.0,62.6,7.6,15.0
2025-01-01,44.0,2.0,56.5,6.75,11.0
2025-02-01,46.0,2.0,49.75,6.0,10.75
2025-03-01,49.2,2.0,56.4,5.8,11.6
