time [UTC],KFC,Taco Bell,Zambrero
2021-08-01,0.0,4.0,7.0
2021-09-01,0.0,7.75,7.25
2021-10-01,0.0,5.4,7.2
2021-11-01,0.0,4.0,6.75
2021-12-01,0.0,4.5,8.75
2022-01-01,0.0,4.6,7.2
2022-02-01,45.25,4.0,6.75
2022-03-01,63.0,4.0,7.0
2022-04-01,70.25,5.25,7.75
2022-05-01,65.6,5.4,6.4
2022-06-01,73.0,5.5,6.5
2022-07-01,64.0,5.4,7.2
2022-08-01,63.5,5.0,7.5
2022-09-01,65.0,5.25,7.5
2022-10-01,69.4,4.8,7.0
2022-11-01,62.5,5.0,6.75
2022-12-01,77.0,5.75,8.25
2023-01-01,63.2,4.4,8.0
2023-02-01,65.25,5.0,6.75
2023-03-01,62.5,5.0,6.5
2023-04-01,68.8,5.8,7.6
2023-05-01,66.0,5.0,6.5
2023-06-01,69.5,4.75,6.5
2023-07-01,65.4,5.0,7.0
2023-08-01,61.5,4.5,7.25
2023-09-01,59.75,4.5,7.25
2023-10-01,62.8,4.0,7.2
2023-11-01,59.5,4.0,7.5
2023-12-01,69.8,4.4,8.2
2024-01-01,57.0,4.0,7.75
2024-02-01,57.25,3.75,7.75
2024-03-01,62.4,4.4,8.8
2024-04-01,60.25,4.25,9.0
2024-05-01,57.75,4.0,8.0
2024-06-01,65.4,4.0,8.0
2024-07-01,66.75,4.0,9.0
2024-08-01,58.0,4.0,8.25
2024-09-01,61.8,3.8,10.6
2024-10-01,58.75,4.0,9.0
2024-11-01,54.0,4.0,8.5
2024-12-01,64.2,4.8,10.0
2025-01-01,54.5,4.0,9.5
2025-02-01,56.5,4.25,8.75
2025-03-01,61.0,4.0,9.2
