time [UTC],Country Road,Cue,Decjuba,Forever New,Gorman
2021-08-01,1.0,0.0,10.0,19.0,6.0
2021-09-01,3.25,0.0,12.0,19.0,6.75
2021-10-01,6.6,0.0,13.8,26.0,7.6
2021-11-01,13.75,0.0,18.75,33.0,9.25
2021-12-01,8.75,0.0,16.5,27.5,10.25
2022-01-01,12.6,0.6,11.4,22.4,8.8
2022-02-01,45.5,0.25,11.75,27.5,9.25
2022-03-01,45.75,0.0,14.0,28.75,8.25
2022-04-01,52.75,0.25,16.25,29.25,8.5
2022-05-01,54.8,0.0,17.8,31.2,8.0
2022-06-01,46.75,0.0,19.0,31.5,7.75
2022-07-01,43.0,0.2,16.0,29.6,7.2
2022-08-01,38.0,0.25,14.5,31.0,7.5
2022-09-01,27.5,0.25,15.0,31.25,8.0
2022-10-01,43.2,0.8,15.6,32.6,8.4
2022-11-01,74.25,0.25,19.75,34.0,11.0
2022-12-01,77.5,0.75,18.5,27.75,10.5
2023-01-01,46.6,0.8,13.0,23.6,7.0
2023-02-01,43.5,1.0,13.0,23.25,4.5
2023-03-01,44.25,0.75,15.0,24.25,0.75
2023-04-01,56.0,1.0,19.4,26.6,6.0
2023-05-01,62.5,0.75,19.25,27.0,7.25
2023-06-01,48.0,1.0,16.5,25.25,7.0
2023-07-01,43.8,1.0,12.8,21.8,5.4
2023-08-01,42.75,1.0,13.25,23.5,4.75
2023-09-01,45.5,0.75,14.25,24.75,5.5
2023-10-01,43.8,1.0,14.2,26.4,5.4
2023-11-01,69.25,0.75,16.75,27.0,8.5
2023-12-01,72.8,1.0,16.0,22.4,8.4
2024-01-01,42.5,1.0,12.0,18.25,7.0
2024-02-01,42.75,0.75,12.0,20.5,7.5
2024-03-01,45.8,1.0,12.6,18.8,8.0
2024-04-01,57.5,1.0,14.5,20.75,7.75
2024-05-01,53.75,0.75,15.0,20.5,7.5
2024-06-01,43.8,1.0,12.6,19.0,7.4
2024-07-01,37.0,1.0,13.25,19.25,7.75
2024-08-01,43.5,0.5,12.25,21.75,7.0
2024-09-01,41.4,0.4,12.2,22.6,7.4
2024-10-01,42.25,0.25,13.75,23.75,7.75
2024-11-01,60.25,0.0,16.25,26.25,9.25
2024-12-01,61.2,0.4,15.6,22.0,9.8
2025-01-01,39.0,0.25,10.25,19.0,7.75
2025-02-01,38.0,0.0,11.0,19.5,8.0
2025-03-01,39.8,0.0,13.0,19.2,7.2
