time [UTC],Country Road,Marcs,Portmans,Review,Seed Heritage
2021-08-01,1.0,2.0,1.0,4.0,5.0
2021-09-01,3.25,2.0,6.0,4.75,7.5
2021-10-01,6.6,2.2,12.6,5.8,8.2
2021-11-01,13.75,2.25,17.5,7.5,11.5
2021-12-01,8.75,2.0,6.25,5.5,12.0
2022-01-01,12.6,1.4,4.4,4.6,8.0
2022-02-01,45.5,1.75,3.0,5.25,7.75
2022-03-01,45.75,2.25,3.0,5.25,8.5
2022-04-01,52.75,2.5,3.0,6.0,8.75
2022-05-01,54.8,3.0,3.0,7.0,9.0
2022-06-01,46.75,3.75,2.5,7.25,10.0
2022-07-01,43.0,2.8,2.4,6.2,8.2
2022-08-01,38.0,2.75,2.75,5.75,8.25
2022-09-01,27.5,3.25,9.25,6.5,9.5
2022-10-01,43.2,3.0,15.0,6.4,8.0
2022-11-01,74.25,3.75,16.5,6.5,12.0
2022-12-01,77.5,3.75,13.25,5.25,11.25
2023-01-01,46.6,3.2,12.6,5.0,7.8
2023-02-01,43.5,2.75,12.75,4.75,7.0
2023-03-01,44.25,3.0,13.5,4.75,8.25
2023-04-01,56.0,3.4,15.6,5.2,10.4
2023-05-01,62.5,3.5,14.5,5.0,10.25
2023-06-01,48.0,3.0,13.25,4.75,8.75
2023-07-01,43.8,3.0,12.2,4.2,8.2
2023-08-01,42.75,2.25,11.25,4.0,8.25
2023-09-01,45.5,2.75,12.25,4.5,9.75
2023-10-01,43.8,3.0,12.0,4.6,9.6
2023-11-01,69.25,3.25,13.25,4.75,12.75
2023-12-01,72.8,3.2,11.4,4.2,12.2
2024-01-01,42.5,2.75,9.0,3.5,8.75
2024-02-01,42.75,2.75,10.25,3.5,8.0
2024-03-01,45.8,2.4,10.0,2.8,9.2
2024-04-01,57.5,3.0,10.75,3.25,9.75
2024-05-01,53.75,3.0,11.0,4.0,8.75
2024-06-01,43.8,3.2,10.2,3.2,9.2
2024-07-01,37.0,2.75,9.25,3.5,8.0
2024-08-01,43.5,3.0,9.0,3.0,7.75
2024-09-01,41.4,2.8,10.2,3.4,8.0
2024-10-01,42.25,3.25,10.0,3.75,7.75
2024-11-01,60.25,3.5,11.75,4.0,10.0
2024-12-01,61.2,3.6,9.8,3.2,9.8
2025-01-01,39.0,2.75,9.0,3.0,7.0
2025-02-01,38.0,2.0,9.0,3.0,6.75
2025-03-01,39.8,2.2,9.0,3.0,7.6
