time [UTC],Country Road,Veronika Maine,Witchery
2021-08-01,1.0,2.0,3.0
2021-09-01,3.25,2.75,9.0
2021-10-01,6.6,3.0,24.6
2021-11-01,13.75,3.75,31.0
2021-12-01,8.75,3.0,16.0
2022-01-01,12.6,2.8,8.4
2022-02-01,45.5,3.25,24.0
2022-03-01,45.75,3.5,26.5
2022-04-01,52.75,3.75,29.75
2022-05-01,54.8,3.8,30.4
2022-06-01,46.75,3.0,25.25
2022-07-01,43.0,3.0,22.6
2022-08-01,38.0,2.75,24.25
2022-09-01,27.5,3.25,24.25
2022-10-01,43.2,3.2,23.4
2022-11-01,74.25,3.5,25.75
2022-12-01,77.5,2.75,24.75
2023-01-01,46.6,2.8,19.2
2023-02-01,43.5,3.0,20.5
2023-03-01,44.25,3.0,21.75
2023-04-01,56.0,3.2,24.6
2023-05-01,62.5,3.0,24.25
2023-06-01,48.0,3.0,19.0
2023-07-01,43.8,2.8,15.6
2023-08-01,42.75,2.5,17.75
2023-09-01,45.5,2.75,19.25
2023-10-01,43.8,3.0,18.2
2023-11-01,69.25,3.0,20.25
2023-12-01,72.8,2.4,19.2
2024-01-01,42.5,3.0,13.25
2024-02-01,42.75,2.75,13.5
2024-03-01,45.8,2.8,15.2
2024-04-01,57.5,2.75,18.5
2024-05-01,53.75,3.0,17.0
2024-06-01,43.8,2.2,15.6
2024-07-01,37.0,2.0,13.75
2024-08-01,43.5,2.0,13.0
2024-09-01,41.4,2.8,15.8
2024-10-01,42.25,2.5,15.75
2024-11-01,60.25,3.25,17.75
2024-12-01,61.2,2.4,16.4
2025-01-01,39.0,2.25,13.5
2025-02-01,38.0,2.0,13.75
2025-03-01,39.8,2.8,15.8
