category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Female Fashion,Country Road,2021-08-01,1.0,1.0,0,1.0,
Female Fashion,Country Road,2021-09-01,3.25,3.25,0,1.0,
Female Fashion,Country Road,2021-10-01,6.6,6.6,0,1.0,
Female Fashion,Country Road,2021-11-01,13.75,13.75,0,1.0,
Female Fashion,Country Road,2021-12-01,8.75,8.75,0,1.0,
Female Fashion,Country Road,2022-01-01,12.6,12.6,0,1.0,
Female Fashion,Country Road,2022-02-01,45.5,45.5,0,1.0,
Female Fashion,Country Road,2022-03-01,45.75,45.75,0,1.0,
Female Fashion,Country Road,2022-04-01,52.75,52.75,0,1.0,
Female Fashion,Country Road,2022-05-01,54.8,54.8,0,1.0,
Female Fashion,Country Road,2022-06-01,46.75,46.75,0,1.0,
Female Fashion,Country Road,2022-07-01,43.0,43.0,0,1.0,
Female Fashion,Country Road,2022-08-01,38.0,38.0,0,1.0,
Female Fashion,Country Road,2022-09-01,27.5,27.5,0,1.0,
Female Fashion,Country Road,2022-10-01,43.2,43.2,0,1.0,
Female Fashion,Country Road,2022-11-01,74.25,74.25,0,1.0,
Female Fashion,Country Road,2022-12-01,77.5,77.5,0,1.0,
Female Fashion,Country Road,2023-01-01,46.6,46.6,0,1.0,
Female Fashion,Country Road,2023-02-01,43.5,43.5,0,1.0,
Female Fashion,Country Road,2023-03-01,44.25,44.25,0,1.0,
Female Fashion,Country Road,2023-04-01,56.0,56.0,0,1.0,
Female Fashion,Country Road,2023-05-01,62.5,62.5,0,1.0,
Female Fashion,Country Road,2023-06-01,48.0,48.0,0,1.0,
Female Fashion,Country Road,2023-07-01,43.8,43.8,0,1.0,
Female Fashion,Country Road,2023-08-01,42.75,42.75,0,1.0,
Female Fashion,Country Road,2023-09-01,45.5,45.5,0,1.0,
Female Fashion,Country Road,2023-10-01,43.8,43.8,0,1.0,
Female Fashion,Country Road,2023-11-01,69.25,69.25,0,1.0,
Female Fashion,Country Road,2023-12-01,72.8,72.8,0,1.0,
Female Fashion,Country Road,2024-01-01,42.5,42.5,0,1.0,
Female Fashion,Country Road,2024-02-01,42.75,42.75,0,1.0,
Female Fashion,Country Road,2024-03-01,45.8,45.8,0,1.0,
Female Fashion,Country Road,2024-04-01,57.5,57.5,0,1.0,
Female Fashion,Country Road,2024-05-01,53.75,53.75,0,1.0,
Female Fashion,Country Road,2024-06-01,43.8,43.8,0,1.0,
Female Fashion,Country Road,2024-07-01,37.0,37.0,0,1.0,
Female Fashion,Country Road,2024-08-01,43.5,43.5,0,1.0,
Female Fashion,Country Road,2024-09-01,41.4,41.4,0,1.0,
Female Fashion,Country Road,2024-10-01,42.25,42.25,0,1.0,
Female Fashion,Country Road,2024-11-01,60.25,60.25,0,1.0,
Female Fashion,Country Road,2024-12-01,61.2,61.2,0,1.0,
Female Fashion,Country Road,2025-01-01,39.0,39.0,0,1.0,
Female Fashion,Country Road,2025-02-01,38.0,38.0,0,1.0,
Female Fashion,Country Road,2025-03-01,39.8,39.8,0,1.0,
Female Fashion,Cue,2021-08-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2021-09-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2021-10-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2021-11-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2021-12-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2022-01-01,0.6,0.6,0,1.0,
Female Fashion,Cue,2022-02-01,0.25,0.25,0,1.0,
Female Fashion,Cue,2022-03-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2022-04-01,0.25,0.25,0,1.0,
Female Fashion,Cue,2022-05-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2022-06-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2022-07-01,0.2,0.2,0,1.0,
Female Fashion,Cue,2022-08-01,0.25,0.25,0,1.0,
Female Fashion,Cue,2022-09-01,0.25,0.25,0,1.0,
Female Fashion,Cue,2022-10-01,0.8,0.8,0,1.0,
Female Fashion,Cue,2022-11-01,0.25,0.25,0,1.0,
Female Fashion,Cue,2022-12-01,0.75,0.75,0,1.0,
Female Fashion,Cue,2023-01-01,0.8,0.8,0,1.0,
Female Fashion,Cue,2023-02-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2023-03-01,0.75,0.75,0,1.0,
Female Fashion,Cue,2023-04-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2023-05-01,0.75,0.75,0,1.0,
Female Fashion,Cue,2023-06-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2023-07-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2023-08-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2023-09-01,0.75,0.75,0,1.0,
Female Fashion,Cue,2023-10-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2023-11-01,0.75,0.75,0,1.0,
Female Fashion,Cue,2023-12-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2024-01-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2024-02-01,0.75,0.75,0,1.0,
Female Fashion,Cue,2024-03-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2024-04-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2024-05-01,0.75,0.75,0,1.0,
Female Fashion,Cue,2024-06-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2024-07-01,1.0,1.0,0,1.0,
Female Fashion,Cue,2024-08-01,0.5,0.5,0,1.0,
Female Fashion,Cue,2024-09-01,0.4,0.4,0,1.0,
Female Fashion,Cue,2024-10-01,0.25,0.25,0,1.0,
Female Fashion,Cue,2024-11-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2024-12-01,0.4,0.4,0,1.0,
Female Fashion,Cue,2025-01-01,0.25,0.25,0,1.0,
Female Fashion,Cue,2025-02-01,0.0,0.0,0,1.0,
Female Fashion,Cue,2025-03-01,0.0,0.0,0,1.0,
Female Fashion,Decjuba,2021-08-01,10.0,10.0,0,1.0,
Female Fashion,Decjuba,2021-09-01,12.0,12.0,0,1.0,
Female Fashion,Decjuba,2021-10-01,13.8,13.8,0,1.0,
Female Fashion,Decjuba,2021-11-01,18.75,18.75,0,1.0,
Female Fashion,Decjuba,2021-12-01,16.5,16.5,0,1.0,
Female Fashion,Decjuba,2022-01-01,11.4,11.4,0,1.0,
Female Fashion,Decjuba,2022-02-01,11.75,11.75,0,1.0,
Female Fashion,Decjuba,2022-03-01,14.0,14.0,0,1.0,
Female Fashion,Decjuba,2022-04-01,16.25,16.25,0,1.0,
Female Fashion,Decjuba,2022-05-01,17.8,17.8,0,1.0,
Female Fashion,Decjuba,2022-06-01,19.0,19.0,0,1.0,
Female Fashion,Decjuba,2022-07-01,16.0,16.0,0,1.0,
Female Fashion,Decjuba,2022-08-01,14.5,14.5,0,1.0,
Female Fashion,Decjuba,2022-09-01,15.0,15.0,0,1.0,
Female Fashion,Decjuba,2022-10-01,15.6,15.6,0,1.0,
Female Fashion,Decjuba,2022-11-01,19.75,19.75,0,1.0,
Female Fashion,Decjuba,2022-12-01,18.5,18.5,0,1.0,
Female Fashion,Decjuba,2023-01-01,13.0,13.0,0,1.0,
Female Fashion,Decjuba,2023-02-01,13.0,13.0,0,1.0,
Female Fashion,Decjuba,2023-03-01,15.0,15.0,0,1.0,
Female Fashion,Decjuba,2023-04-01,19.4,19.4,0,1.0,
Female Fashion,Decjuba,2023-05-01,19.25,19.25,0,1.0,
Female Fashion,Decjuba,2023-06-01,16.5,16.5,0,1.0,
Female Fashion,Decjuba,2023-07-01,12.8,12.8,0,1.0,
Female Fashion,Decjuba,2023-08-01,13.25,13.25,0,1.0,
Female Fashion,Decjuba,2023-09-01,14.25,14.25,0,1.0,
Female Fashion,Decjuba,2023-10-01,14.2,14.2,0,1.0,
Female Fashion,Decjuba,2023-11-01,16.75,16.75,0,1.0,
Female Fashion,Decjuba,2023-12-01,16.0,16.0,0,1.0,
Female Fashion,Decjuba,2024-01-01,12.0,12.0,0,1.0,
Female Fashion,Decjuba,2024-02-01,12.0,12.0,0,1.0,
Female Fashion,Decjuba,2024-03-01,12.6,12.6,0,1.0,
Female Fashion,Decjuba,2024-04-01,14.5,14.5,0,1.0,
Female Fashion,Decjuba,2024-05-01,15.0,15.0,0,1.0,
Female Fashion,Decjuba,2024-06-01,12.6,12.6,0,1.0,
Female Fashion,Decjuba,2024-07-01,13.25,13.25,0,1.0,
Female Fashion,Decjuba,2024-08-01,12.25,12.25,0,1.0,
Female Fashion,Decjuba,2024-09-01,12.2,12.2,0,1.0,
Female Fashion,Decjuba,2024-10-01,13.75,13.75,0,1.0,
Female Fashion,Decjuba,2024-11-01,16.25,16.25,0,1.0,
Female Fashion,Decjuba,2024-12-01,15.6,15.6,0,1.0,
Female Fashion,Decjuba,2025-01-01,10.25,10.25,0,1.0,
Female Fashion,Decjuba,2025-02-01,11.0,11.0,0,1.0,
Female Fashion,Decjuba,2025-03-01,13.0,13.0,0,1.0,
Female Fashion,Forever New,2021-08-01,19.0,19.0,0,1.0,
Female Fashion,Forever New,2021-09-01,19.0,19.0,0,1.0,
Female Fashion,Forever New,2021-10-01,26.0,26.0,0,1.0,
Female Fashion,Forever New,2021-11-01,33.0,33.0,0,1.0,
Female Fashion,Forever New,2021-12-01,27.5,27.5,0,1.0,
Female Fashion,Forever New,2022-01-01,22.4,22.4,0,1.0,
Female Fashion,Forever New,2022-02-01,27.5,27.5,0,1.0,
Female Fashion,Forever New,2022-03-01,28.75,28.75,0,1.0,
Female Fashion,Forever New,2022-04-01,29.25,29.25,0,1.0,
Female Fashion,Forever New,2022-05-01,31.2,31.2,0,1.0,
Female Fashion,Forever New,2022-06-01,31.5,31.5,0,1.0,
Female Fashion,Forever New,2022-07-01,29.6,29.6,0,1.0,
Female Fashion,Forever New,2022-08-01,31.0,31.0,0,1.0,
Female Fashion,Forever New,2022-09-01,31.25,31.25,0,1.0,
Female Fashion,Forever New,2022-10-01,32.6,32.6,0,1.0,
Female Fashion,Forever New,2022-11-01,34.0,34.0,0,1.0,
Female Fashion,Forever New,2022-12-01,27.75,27.75,0,1.0,
Female Fashion,Forever New,2023-01-01,23.6,23.6,0,1.0,
Female Fashion,Forever New,2023-02-01,23.25,23.25,0,1.0,
Female Fashion,Forever New,2023-03-01,24.25,24.25,0,1.0,
Female Fashion,Forever New,2023-04-01,26.6,26.6,0,1.0,
Female Fashion,Forever New,2023-05-01,27.0,27.0,0,1.0,
Female Fashion,Forever New,2023-06-01,25.25,25.25,0,1.0,
Female Fashion,Forever New,2023-07-01,21.8,21.8,0,1.0,
Female Fashion,Forever New,2023-08-01,23.5,23.5,0,1.0,
Female Fashion,Forever New,2023-09-01,24.75,24.75,0,1.0,
Female Fashion,Forever New,2023-10-01,26.4,26.4,0,1.0,
Female Fashion,Forever New,2023-11-01,27.0,27.0,0,1.0,
Female Fashion,Forever New,2023-12-01,22.4,22.4,0,1.0,
Female Fashion,Forever New,2024-01-01,18.25,18.25,0,1.0,
Female Fashion,Forever New,2024-02-01,20.5,20.5,0,1.0,
Female Fashion,Forever New,2024-03-01,18.8,18.8,0,1.0,
Female Fashion,Forever New,2024-04-01,20.75,20.75,0,1.0,
Female Fashion,Forever New,2024-05-01,20.5,20.5,0,1.0,
Female Fashion,Forever New,2024-06-01,19.0,19.0,0,1.0,
Female Fashion,Forever New,2024-07-01,19.25,19.25,0,1.0,
Female Fashion,Forever New,2024-08-01,21.75,21.75,0,1.0,
Female Fashion,Forever New,2024-09-01,22.6,22.6,0,1.0,
Female Fashion,Forever New,2024-10-01,23.75,23.75,0,1.0,
Female Fashion,Forever New,2024-11-01,26.25,26.25,0,1.0,
Female Fashion,Forever New,2024-12-01,22.0,22.0,0,1.0,
Female Fashion,Forever New,2025-01-01,19.0,19.0,0,1.0,
Female Fashion,Forever New,2025-02-01,19.5,19.5,0,1.0,
Female Fashion,Forever New,2025-03-01,19.2,19.2,0,1.0,
Female Fashion,Gorman,2021-08-01,6.0,6.0,0,1.0,
Female Fashion,Gorman,2021-09-01,6.75,6.75,0,1.0,
Female Fashion,Gorman,2021-10-01,7.6,7.6,0,1.0,
Female Fashion,Gorman,2021-11-01,9.25,9.25,0,1.0,
Female Fashion,Gorman,2021-12-01,10.25,10.25,0,1.0,
Female Fashion,Gorman,2022-01-01,8.8,8.8,0,1.0,
Female Fashion,Gorman,2022-02-01,9.25,9.25,0,1.0,
Female Fashion,Gorman,2022-03-01,8.25,8.25,0,1.0,
Female Fashion,Gorman,2022-04-01,8.5,8.5,0,1.0,
Female Fashion,Gorman,2022-05-01,8.0,8.0,0,1.0,
Female Fashion,Gorman,2022-06-01,7.75,7.75,0,1.0,
Female Fashion,Gorman,2022-07-01,7.2,7.2,0,1.0,
Female Fashion,Gorman,2022-08-01,7.5,7.5,0,1.0,
Female Fashion,Gorman,2022-09-01,8.0,8.0,0,1.0,
Female Fashion,Gorman,2022-10-01,8.4,8.4,0,1.0,
Female Fashion,Gorman,2022-11-01,11.0,11.0,0,1.0,
Female Fashion,Gorman,2022-12-01,10.5,10.5,0,1.0,
Female Fashion,Gorman,2023-01-01,7.0,7.0,0,1.0,
Female Fashion,Gorman,2023-02-01,4.5,4.5,0,1.0,
Female Fashion,Gorman,2023-03-01,0.75,0.75,0,1.0,
Female Fashion,Gorman,2023-04-01,6.0,6.0,0,1.0,
Female Fashion,Gorman,2023-05-01,7.25,7.25,0,1.0,
Female Fashion,Gorman,2023-06-01,7.0,7.0,0,1.0,
Female Fashion,Gorman,2023-07-01,5.4,5.4,0,1.0,
Female Fashion,Gorman,2023-08-01,4.75,4.75,0,1.0,
Female Fashion,Gorman,2023-09-01,5.5,5.5,0,1.0,
Female Fashion,Gorman,2023-10-01,5.4,5.4,0,1.0,
Female Fashion,Gorman,2023-11-01,8.5,8.5,0,1.0,
Female Fashion,Gorman,2023-12-01,8.4,8.4,0,1.0,
Female Fashion,Gorman,2024-01-01,7.0,7.0,0,1.0,
Female Fashion,Gorman,2024-02-01,7.5,7.5,0,1.0,
Female Fashion,Gorman,2024-03-01,8.0,8.0,0,1.0,
Female Fashion,Gorman,2024-04-01,7.75,7.75,0,1.0,
