time [UTC],Kora Organics,Alpha-H,Biologi,Emma Lewisham,Go-to-skincare
2021-08-01,18.0,39.0,0.0,0.0,0.0
2021-09-01,30.25,32.5,0.0,4.0,0.0
2021-10-01,23.2,30.8,0.0,4.2,0.0
2021-11-01,20.0,27.0,0.0,3.0,0.0
2021-12-01,16.25,37.25,0.0,2.75,0.0
2022-01-01,16.6,32.6,0.0,3.4,0.0
2022-02-01,14.75,30.75,0.0,7.25,0.0
2022-03-01,14.0,31.5,0.0,7.5,0.0
2022-04-01,35.25,33.25,0.0,1.5,0.0
2022-05-01,28.6,27.6,0.0,7.6,0.0
2022-06-01,32.25,35.0,0.0,6.25,47.25
2022-07-01,24.8,30.2,0.0,6.0,55.8
2022-08-01,15.75,31.75,0.0,14.0,64.0
2022-09-01,15.75,33.0,0.0,11.75,55.25
2022-10-01,14.8,30.2,0.0,10.8,55.4
2022-11-01,31.5,31.0,0.0,6.5,69.75
2022-12-01,15.25,31.75,0.0,7.0,65.25
2023-01-01,13.4,29.6,0.0,7.2,38.0
2023-02-01,14.5,30.5,0.0,10.0,32.75
2023-03-01,19.75,27.5,0.0,45.5,36.25
2023-04-01,21.4,26.8,0.0,19.4,50.8
2023-05-01,15.75,25.75,0.0,20.75,39.75
2023-06-01,15.0,29.75,0.0,19.5,49.5
2023-07-01,22.0,30.4,0.0,13.0,38.8
2023-08-01,17.75,28.25,0.0,9.0,35.5
2023-09-01,33.25,24.25,0.0,5.75,32.25
2023-10-01,19.4,27.6,2.0,13.2,41.4
2023-11-01,25.5,33.25,0.0,10.0,53.0
2023-12-01,18.4,29.2,0.0,12.6,40.2
2024-01-01,14.25,29.25,0.0,10.75,33.0
2024-02-01,16.0,23.5,0.0,11.0,29.75
2024-03-01,17.6,25.4,0.0,6.4,27.4
2024-04-01,17.25,28.75,0.0,14.75,28.75
2024-05-01,17.75,28.75,0.0,14.25,31.25
2024-06-01,16.4,28.4,0.0,14.4,37.0
2024-07-01,13.25,31.75,0.0,14.0,29.25
2024-08-01,16.75,25.0,0.0,8.75,30.5
2024-09-01,24.0,24.2,0.0,12.4,29.8
2024-10-01,16.75,25.75,0.0,9.75,36.5
2024-11-01,22.0,33.25,0.0,9.25,54.75
2024-12-01,19.0,33.2,0.0,9.6,38.2
2025-01-01,13.75,27.5,0.0,7.75,25.75
2025-02-01,9.5,22.75,0.0,10.0,23.25
2025-03-01,14.2,22.6,0.0,8.4,27.4
