category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Female Skincare,Kora Organics,2021-08-01,18.0,18.0,0,1.0,
Female Skincare,Kora Organics,2021-09-01,30.25,30.25,0,1.0,
Female Skincare,Kora Organics,2021-10-01,23.2,23.2,0,1.0,
Female Skincare,Kora Organics,2021-11-01,20.0,20.0,0,1.0,
Female Skincare,Kora Organics,2021-12-01,16.25,16.25,0,1.0,
Female Skincare,Kora Organics,2022-01-01,16.6,16.6,0,1.0,
Female Skincare,Kora Organics,2022-02-01,14.75,14.75,0,1.0,
Female Skincare,Kora Organics,2022-03-01,14.0,14.0,0,1.0,
Female Skincare,Kora Organics,2022-04-01,35.25,35.25,0,1.0,
Female Skincare,Kora Organics,2022-05-01,28.6,28.6,0,1.0,
Female Skincare,Kora Organics,2022-06-01,32.25,32.25,0,1.0,
Female Skincare,Kora Organics,2022-07-01,24.8,24.8,0,1.0,
Female Skincare,Kora Organics,2022-08-01,15.75,15.75,0,1.0,
Female Skincare,Kora Organics,2022-09-01,15.75,15.75,0,1.0,
Female Skincare,Kora Organics,2022-10-01,14.8,14.8,0,1.0,
Female Skincare,Kora Organics,2022-11-01,31.5,31.5,0,1.0,
Female Skincare,Kora Organics,2022-12-01,15.25,15.25,0,1.0,
Female Skincare,Kora Organics,2023-01-01,13.4,13.4,0,1.0,
Female Skincare,Kora Organics,2023-02-01,14.5,14.5,0,1.0,
Female Skincare,Kora Organics,2023-03-01,19.75,19.75,0,1.0,
Female Skincare,Kora Organics,2023-04-01,21.4,21.4,0,1.0,
Female Skincare,Kora Organics,2023-05-01,15.75,15.75,0,1.0,
Female Skincare,Kora Organics,2023-06-01,15.0,15.0,0,1.0,
Female Skincare,Kora Organics,2023-07-01,22.0,22.0,0,1.0,
Female Skincare,Kora Organics,2023-08-01,17.75,17.75,0,1.0,
Female Skincare,Kora Organics,2023-09-01,33.25,33.25,0,1.0,
Female Skincare,Kora Organics,2023-10-01,19.4,19.4,0,1.0,
Female Skincare,Kora Organics,2023-11-01,25.5,25.5,0,1.0,
Female Skincare,Kora Organics,2023-12-01,18.4,18.4,0,1.0,
Female Skincare,Kora Organics,2024-01-01,14.25,14.25,0,1.0,
Female Skincare,Kora Organics,2024-02-01,16.0,16.0,0,1.0,
Female Skincare,Kora Organics,2024-03-01,17.6,17.6,0,1.0,
Female Skincare,Kora Organics,2024-04-01,17.25,17.25,0,1.0,
Female Skincare,Kora Organics,2024-05-01,17.75,17.75,0,1.0,
Female Skincare,Kora Organics,2024-06-01,16.4,16.4,0,1.0,
Female Skincare,Kora Organics,2024-07-01,13.25,13.25,0,1.0,
Female Skincare,Kora Organics,2024-08-01,16.75,16.75,0,1.0,
Female Skincare,Kora Organics,2024-09-01,24.0,24.0,0,1.0,
Female Skincare,Kora Organics,2024-10-01,16.75,16.75,0,1.0,
Female Skincare,Kora Organics,2024-11-01,22.0,22.0,0,1.0,
Female Skincare,Kora Organics,2024-12-01,19.0,19.0,0,1.0,
Female Skincare,Kora Organics,2025-01-01,13.75,13.75,0,1.0,
Female Skincare,Kora Organics,2025-02-01,9.5,9.5,0,1.0,
Female Skincare,Kora Organics,2025-03-01,14.2,14.2,0,1.0,
Female Skincare,Alpha-H,2021-08-01,39.0,39.0,0,1.0,
Female Skincare,Alpha-H,2021-09-01,32.5,32.5,0,1.0,
Female Skincare,Alpha-H,2021-10-01,30.8,30.8,0,1.0,
Female Skincare,Alpha-H,2021-11-01,27.0,27.0,0,1.0,
Female Skincare,Alpha-H,2021-12-01,37.25,37.25,0,1.0,
Female Skincare,Alpha-H,2022-01-01,32.6,32.6,0,1.0,
Female Skincare,Alpha-H,2022-02-01,30.75,30.75,0,1.0,
Female Skincare,Alpha-H,2022-03-01,31.5,31.5,0,1.0,
Female Skincare,Alpha-H,2022-04-01,33.25,33.25,0,1.0,
Female Skincare,Alpha-H,2022-05-01,27.6,27.6,0,1.0,
Female Skincare,Alpha-H,2022-06-01,35.0,35.0,0,1.0,
Female Skincare,Alpha-H,2022-07-01,30.2,30.2,0,1.0,
Female Skincare,Alpha-H,2022-08-01,31.75,31.75,0,1.0,
Female Skincare,Alpha-H,2022-09-01,33.0,33.0,0,1.0,
Female Skincare,Alpha-H,2022-10-01,30.2,30.2,0,1.0,
Female Skincare,Alpha-H,2022-11-01,31.0,31.0,0,1.0,
Female Skincare,Alpha-H,2022-12-01,31.75,31.75,0,1.0,
Female Skincare,Alpha-H,2023-01-01,29.6,29.6,0,1.0,
Female Skincare,Alpha-H,2023-02-01,30.5,30.5,0,1.0,
Female Skincare,Alpha-H,2023-03-01,27.5,27.5,0,1.0,
Female Skincare,Alpha-H,2023-04-01,26.8,26.8,0,1.0,
Female Skincare,Alpha-H,2023-05-01,25.75,25.75,0,1.0,
Female Skincare,Alpha-H,2023-06-01,29.75,29.75,0,1.0,
Female Skincare,Alpha-H,2023-07-01,30.4,30.4,0,1.0,
Female Skincare,Alpha-H,2023-08-01,28.25,28.25,0,1.0,
Female Skincare,Alpha-H,2023-09-01,24.25,24.25,0,1.0,
Female Skincare,Alpha-H,2023-10-01,27.6,27.6,0,1.0,
Female Skincare,Alpha-H,2023-11-01,33.25,33.25,0,1.0,
Female Skincare,Alpha-H,2023-12-01,29.2,29.2,0,1.0,
Female Skincare,Alpha-H,2024-01-01,29.25,29.25,0,1.0,
Female Skincare,Alpha-H,2024-02-01,23.5,23.5,0,1.0,
Female Skincare,Alpha-H,2024-03-01,25.4,25.4,0,1.0,
Female Skincare,Alpha-H,2024-04-01,28.75,28.75,0,1.0,
Female Skincare,Alpha-H,2024-05-01,28.75,28.75,0,1.0,
Female Skincare,Alpha-H,2024-06-01,28.4,28.4,0,1.0,
Female Skincare,Alpha-H,2024-07-01,31.75,31.75,0,1.0,
Female Skincare,Alpha-H,2024-08-01,25.0,25.0,0,1.0,
Female Skincare,Alpha-H,2024-09-01,24.2,24.2,0,1.0,
Female Skincare,Alpha-H,2024-10-01,25.75,25.75,0,1.0,
Female Skincare,Alpha-H,2024-11-01,33.25,33.25,0,1.0,
Female Skincare,Alpha-H,2024-12-01,33.2,33.2,0,1.0,
Female Skincare,Alpha-H,2025-01-01,27.5,27.5,0,1.0,
Female Skincare,Alpha-H,2025-02-01,22.75,22.75,0,1.0,
Female Skincare,Alpha-H,2025-03-01,22.6,22.6,0,1.0,
Female Skincare,Emma Lewisham,2021-08-01,0.0,0.0,0,1.0,
Female Skincare,Emma Lewisham,2021-09-01,4.0,4.0,0,1.0,
Female Skincare,Emma Lewisham,2021-10-01,4.2,4.2,0,1.0,
Female Skincare,Emma Lewisham,2021-11-01,3.0,3.0,0,1.0,
Female Skincare,Emma Lewisham,2021-12-01,2.75,2.75,0,1.0,
Female Skincare,Emma Lewisham,2022-01-01,3.4,3.4,0,1.0,
Female Skincare,Emma Lewisham,2022-02-01,7.25,7.25,0,1.0,
Female Skincare,Emma Lewisham,2022-03-01,7.5,7.5,0,1.0,
Female Skincare,Emma Lewisham,2022-04-01,1.5,1.5,0,1.0,
Female Skincare,Emma Lewisham,2022-05-01,7.6,7.6,0,1.0,
Female Skincare,Emma Lewisham,2022-06-01,6.25,6.25,0,1.0,
Female Skincare,Emma Lewisham,2022-07-01,6.0,6.0,0,1.0,
Female Skincare,Emma Lewisham,2022-08-01,14.0,14.0,0,1.0,
Female Skincare,Emma Lewisham,2022-09-01,11.75,11.75,0,1.0,
Female Skincare,Emma Lewisham,2022-10-01,10.8,10.8,0,1.0,
Female Skincare,Emma Lewisham,2022-11-01,6.5,6.5,0,1.0,
Female Skincare,Emma Lewisham,2022-12-01,7.0,7.0,0,1.0,
Female Skincare,Emma Lewisham,2023-01-01,7.2,7.2,0,1.0,
Female Skincare,Emma Lewisham,2023-02-01,10.0,10.0,0,1.0,
Female Skincare,Emma Lewisham,2023-03-01,45.5,45.5,0,1.0,
Female Skincare,Emma Lewisham,2023-04-01,19.4,19.4,0,1.0,
Female Skincare,Emma Lewisham,2023-05-01,20.75,20.75,0,1.0,
Female Skincare,Emma Lewisham,2023-06-01,19.5,19.5,0,1.0,
Female Skincare,Emma Lewisham,2023-07-01,13.0,13.0,0,1.0,
Female Skincare,Emma Lewisham,2023-08-01,9.0,9.0,0,1.0,
Female Skincare,Emma Lewisham,2023-09-01,5.75,5.75,0,1.0,
Female Skincare,Emma Lewisham,2023-10-01,13.2,13.2,0,1.0,
Female Skincare,Emma Lewisham,2023-11-01,10.0,10.0,0,1.0,
Female Skincare,Emma Lewisham,2023-12-01,12.6,12.6,0,1.0,
Female Skincare,Emma Lewisham,2024-01-01,10.75,10.75,0,1.0,
Female Skincare,Emma Lewisham,2024-02-01,11.0,11.0,0,1.0,
Female Skincare,Emma Lewisham,2024-03-01,6.4,6.4,0,1.0,
Female Skincare,Emma Lewisham,2024-04-01,14.75,14.75,0,1.0,
Female Skincare,Emma Lewisham,2024-05-01,14.25,14.25,0,1.0,
Female Skincare,Emma Lewisham,2024-06-01,14.4,14.4,0,1.0,
Female Skincare,Emma Lewisham,2024-07-01,14.0,14.0,0,1.0,
Female Skincare,Emma Lewisham,2024-08-01,8.75,8.75,0,1.0,
Female Skincare,Emma Lewisham,2024-09-01,12.4,12.4,0,1.0,
Female Skincare,Emma Lewisham,2024-10-01,9.75,9.75,0,1.0,
Female Skincare,Emma Lewisham,2024-11-01,9.25,9.25,0,1.0,
Female Skincare,Emma Lewisham,2024-12-01,9.6,9.6,0,1.0,
Female Skincare,Emma Lewisham,2025-01-01,7.75,7.75,0,1.0,
Female Skincare,Emma Lewisham,2025-02-01,10.0,10.0,0,1.0,
Female Skincare,Emma Lewisham,2025-03-01,8.4,8.4,0,1.0,
Female Skincare,Go-to-skincare,2021-08-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2021-09-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2021-10-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2021-11-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2021-12-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2022-01-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2022-02-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2022-03-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2022-04-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2022-05-01,0.0,0.0,0,1.0,
Female Skincare,Go-to-skincare,2022-06-01,47.25,47.25,0,1.0,
Female Skincare,Go-to-skincare,2022-07-01,55.8,55.8,0,1.0,
Female Skincare,Go-to-skincare,2022-08-01,64.0,64.0,0,1.0,
Female Skincare,Go-to-skincare,2022-09-01,55.25,55.25,0,1.0,
Female Skincare,Go-to-skincare,2022-10-01,55.4,55.4,0,1.0,
Female Skincare,Go-to-skincare,2022-11-01,69.75,69.75,0,1.0,
Female Skincare,Go-to-skincare,2022-12-01,65.25,65.25,0,1.0,
Female Skincare,Go-to-skincare,2023-01-01,38.0,38.0,0,1.0,
Female Skincare,Go-to-skincare,2023-02-01,32.75,32.75,0,1.0,
Female Skincare,Go-to-skincare,2023-03-01,36.25,36.25,0,1.0,
Female Skincare,Go-to-skincare,2023-04-01,50.8,50.8,0,1.0,
Female Skincare,Go-to-skincare,2023-05-01,39.75,39.75,0,1.0,
Female Skincare,Go-to-skincare,2023-06-01,49.5,49.5,0,1.0,
Female Skincare,Go-to-skincare,2023-07-01,38.8,38.8,0,1.0,
Female Skincare,Go-to-skincare,2023-08-01,35.5,35.5,0,1.0,
Female Skincare,Go-to-skincare,2023-09-01,32.25,32.25,0,1.0,
Female Skincare,Go-to-skincare,2023-10-01,41.4,41.4,0,1.0,
Female Skincare,Go-to-skincare,2023-11-01,53.0,53.0,0,1.0,
Female Skincare,Go-to-skincare,2023-12-01,40.2,40.2,0,1.0,
Female Skincare,Go-to-skincare,2024-01-01,33.0,33.0,0,1.0,
Female Skincare,Go-to-skincare,2024-02-01,29.75,29.75,0,1.0,
Female Skincare,Go-to-skincare,2024-03-01,27.4,27.4,0,1.0,
Female Skincare,Go-to-skincare,2024-04-01,28.75,28.75,0,1.0,
Female Skincare,Go-to-skincare,2024-05-01,31.25,31.25,0,1.0,
Female Skincare,Go-to-skincare,2024-06-01,37.0,37.0,0,1.0,
Female Skincare,Go-to-skincare,2024-07-01,29.25,29.25,0,1.0,
Female Skincare,Go-to-skincare,2024-08-01,30.5,30.5,0,1.0,
Female Skincare,Go-to-skincare,2024-09-01,29.8,29.8,0,1.0,
Female Skincare,Go-to-skincare,2024-10-01,36.5,36.5,0,1.0,
Female Skincare,Go-to-skincare,2024-11-01,54.75,54.75,0,1.0,
Female Skincare,Go-to-skincare,2024-12-01,38.2,38.2,0,1.0,
Female Skincare,Go-to-skincare,2025-01-01,25.75,25.75,0,1.0,
Female Skincare,Go-to-skincare,2025-02-01,23.25,23.25,0,1.0,
Female Skincare,Go-to-skincare,2025-03-01,27.4,27.4,0,1.0,
Female Skincare,Grown Alchemist,2021-08-01,0.0,0.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2021-09-01,12.137435129011033,9.75,1,1.244865141437029,
Female Skincare,Grown Alchemist,2021-10-01,5.726379650610333,4.6,1,1.244865141437029,
Female Skincare,Grown Alchemist,2021-11-01,12.137435129011033,9.75,1,1.244865141437029,
Female Skincare,Grown Alchemist,2021-12-01,9.958921131496233,8.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-01-01,8.96302901834661,7.2,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-02-01,11.515002558292519,9.25,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-03-01,12.137435129011033,9.75,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-04-01,13.69351655580732,11.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-05-01,10.207894159783638,8.2,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-06-01,13.69351655580732,11.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-07-01,15.685300782106566,12.6,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-08-01,13.69351655580732,11.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-09-01,13.382300270448063,10.75,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-10-01,12.44865141437029,10.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-11-01,21.78513997514801,17.5,1,1.244865141437029,
Female Skincare,Grown Alchemist,2022-12-01,26.764600540896126,21.5,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-01-01,13.69351655580732,11.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-02-01,12.137435129011033,9.75,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-03-01,11.826218843651777,9.5,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-04-01,10.70584021635845,8.6,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-05-01,9.958921131496233,8.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-06-01,10.892569987574005,8.75,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-07-01,12.199678386082885,9.8,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-08-01,10.27013741685549,8.25,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-09-01,9.336488560777719,7.5,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-10-01,11.701732329508074,9.4,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-11-01,26.14216797017761,21.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2023-12-01,23.403464659016148,18.8,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-01-01,15.560814267962863,12.5,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-02-01,18.672977121555437,15.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-03-01,15.187354725531755,12.2,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-04-01,11.203786272933261,9.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-05-01,12.44865141437029,10.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-06-01,15.187354725531755,12.2,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-07-01,14.315949126525835,11.5,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-08-01,5.290676851107373,4.25,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-09-01,15.685300782106566,12.6,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-10-01,11.826218843651777,9.5,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-11-01,22.71878883122578,18.25,1,1.244865141437029,
Female Skincare,Grown Alchemist,2024-12-01,19.17092317813025,15.4,1,1.244865141437029,
Female Skincare,Grown Alchemist,2025-01-01,14.938381697244349,12.0,1,1.244865141437029,
Female Skincare,Grown Alchemist,2025-02-01,14.004732841166577,11.25,1,1.244865141437029,
Female Skincare,Grown Alchemist,2025-03-01,12.697624442657697,10.2,1,1.244865141437029,
Female Skincare,Rationale,2021-08-01,84.65082961771797,68.0,1,1.244865141437029,
Female Skincare,Rationale,2021-09-01,79.98258533732911,64.25,1,1.244865141437029,
Female Skincare,Rationale,2021-10-01,80.16931510854468,64.4,1,1.244865141437029,
Female Skincare,Rationale,2021-11-01,75.62555734229952,60.75,1,1.244865141437029,
Female Skincare,Rationale,2021-12-01,46.99365908924785,37.75,1,1.244865141437029,
Female Skincare,Rationale,2022-01-01,51.537416855493,41.4,1,1.244865141437029,
Female Skincare,Rationale,2022-02-01,70.95731306191065,57.0,1,1.244865141437029,
Female Skincare,Rationale,2022-03-01,111.4154301586141,89.5,1,1.244865141437029,
Female Skincare,Rationale,2022-04-01,102.7013741685549,82.5,1,1.244865141437029,
Female Skincare,Rationale,2022-05-01,110.79299758789558,89.0,1,1.244865141437029,
