time [UTC],Dyson,Tineco,Vax
2021-08-01,27.0,1.0,2.0
2021-09-01,28.75,1.0,4.25
2021-10-01,28.0,1.0,2.6
2021-11-01,35.75,1.0,2.0
2021-12-01,31.25,1.25,2.25
2022-01-01,34.6,1.4,2.4
2022-02-01,34.75,1.0,2.0
2022-03-01,25.5,1.0,2.0
2022-04-01,19.25,1.25,2.0
2022-05-01,17.0,2.2,2.0
2022-06-01,20.5,2.0,2.0
2022-07-01,19.0,2.2,2.0
2022-08-01,30.0,1.5,2.0
2022-09-01,20.25,1.25,2.0
2022-10-01,33.2,1.0,2.0
2022-11-01,56.0,1.5,2.0
2022-12-01,54.25,1.75,2.25
2023-01-01,39.8,1.2,2.0
2023-02-01,31.5,1.0,2.0
2023-03-01,31.25,1.5,2.0
2023-04-01,33.0,1.8,2.0
2023-05-01,43.75,2.0,2.0
2023-06-01,45.5,1.5,2.0
2023-07-01,37.0,2.2,2.0
2023-08-01,34.25,2.0,2.0
2023-09-01,35.75,1.75,1.75
2023-10-01,33.0,2.0,2.2
2023-11-01,67.25,2.75,2.25
2023-12-01,57.6,2.4,2.6
2024-01-01,36.75,1.75,2.25
2024-02-01,32.75,2.0,2.0
2024-03-01,34.0,2.2,2.0
2024-04-01,36.75,2.5,2.0
2024-05-01,38.0,2.25,2.0
2024-06-01,45.4,2.0,2.0
2024-07-01,43.0,2.5,2.0
2024-08-01,37.25,2.25,1.75
2024-09-01,35.2,2.2,1.8
2024-10-01,41.0,2.25,1.5
2024-11-01,69.75,3.25,2.0
2024-12-01,61.6,3.0,2.0
2025-01-01,38.25,2.0,1.75
2025-02-01,34.25,2.0,2.0
2025-03-01,33.6,2.2,1.6
