time [UTC],Lilydale,Macro
2021-08-01,65.0,38.0
2021-09-01,62.5,36.5
2021-10-01,52.8,26.6
2021-11-01,46.0,0.0
2021-12-01,60.0,0.0
2022-01-01,62.0,11.6
2022-02-01,53.75,19.75
2022-03-01,55.0,25.0
2022-04-01,49.25,26.0
2022-05-01,55.4,24.2
2022-06-01,47.25,36.25
2022-07-01,55.6,20.8
2022-08-01,35.25,30.75
2022-09-01,46.75,26.0
2022-10-01,54.4,7.4
2022-11-01,40.5,17.25
2022-12-01,55.75,38.5
2023-01-01,58.0,39.0
2023-02-01,40.5,32.25
2023-03-01,48.0,21.75
2023-04-01,60.2,22.0
2023-05-01,75.75,32.25
2023-06-01,60.25,16.25
2023-07-01,56.2,21.2
2023-08-01,46.75,28.25
2023-09-01,63.25,31.0
2023-10-01,52.6,27.6
2023-11-01,53.0,35.75
2023-12-01,62.0,18.0
2024-01-01,60.25,41.5
2024-02-01,45.25,43.75
2024-03-01,54.0,26.0
2024-04-01,28.5,45.0
2024-05-01,60.5,37.0
2024-06-01,59.2,34.0
2024-07-01,45.75,52.5
2024-08-01,59.25,43.75
2024-09-01,49.6,33.8
2024-10-01,56.0,43.5
2024-11-01,50.0,24.25
2024-12-01,45.0,39.4
2025-01-01,69.5,58.75
2025-02-01,61.75,53.75
2025-03-01,58.8,53.8
