time [UTC],Dairy Farmers,Farmhouse Gold,Norco,PURA,Pauls
2021-08-01,0.0,0.0,68.0,0.0,66.0
2021-09-01,0.0,0.0,60.25,0.0,53.0
2021-10-01,0.0,0.0,62.4,0.0,59.2
2021-11-01,0.0,0.5,53.25,0.0,63.5
2021-12-01,0.0,0.0,47.0,0.0,66.25
2022-01-01,0.0,0.0,51.6,0.0,63.6
2022-02-01,0.0,0.0,45.25,0.0,60.25
2022-03-01,0.0,1.25,41.25,0.0,51.5
2022-04-01,0.0,1.0,43.75,0.0,54.0
2022-05-01,0.0,0.0,37.6,0.0,63.0
2022-06-01,0.0,0.0,33.75,0.0,58.0
2022-07-01,0.0,0.4,37.0,0.0,59.0
2022-08-01,0.0,0.5,37.75,0.0,56.5
2022-09-01,0.0,0.5,39.5,0.0,55.25
2022-10-01,0.0,0.4,37.6,0.0,54.2
2022-11-01,0.0,0.0,37.25,0.0,54.5
2022-12-01,0.0,0.0,36.75,0.0,54.5
2023-01-01,0.0,0.6,36.4,0.0,54.8
2023-02-01,0.0,0.5,37.75,0.0,60.5
2023-03-01,0.0,0.5,32.75,0.0,56.25
2023-04-01,0.0,0.8,38.0,0.0,57.2
2023-05-01,0.0,0.0,32.5,0.75,59.75
2023-06-01,0.0,0.5,35.0,0.0,55.25
2023-07-01,0.4,0.0,37.0,0.0,54.6
2023-08-01,0.0,0.0,35.0,0.0,63.5
2023-09-01,0.0,0.5,34.25,0.0,62.25
2023-10-01,0.4,0.4,37.8,0.0,56.0
2023-11-01,0.0,0.75,37.5,0.0,55.75
2023-12-01,0.0,0.0,35.2,0.0,55.4
2024-01-01,0.0,0.0,31.5,0.0,52.0
2024-02-01,0.0,0.0,35.75,0.0,61.0
2024-03-01,0.0,0.0,32.2,0.0,65.0
2024-04-01,0.0,0.0,31.75,1.25,55.0
2024-05-01,0.0,0.0,34.0,0.0,59.5
2024-06-01,0.0,0.6,31.6,0.0,55.4
2024-07-01,0.0,1.25,30.25,0.0,61.75
2024-08-01,0.0,0.75,36.25,1.75,65.75
2024-09-01,0.4,0.4,34.6,0.4,62.0
2024-10-01,0.0,1.25,37.0,0.0,71.25
2024-11-01,0.5,0.0,37.0,1.25,74.25
2024-12-01,0.0,0.6,34.6,0.4,62.2
2025-01-01,0.0,0.0,33.25,0.0,64.75
2025-02-01,0.0,0.0,35.75,0.0,70.25
2025-03-01,0.4,0.8,35.8,0.0,67.6
