time [UTC],Dairy Farmers,Zymil,a2 Milk
2021-08-01,0.0,0.0,50.0
2021-09-01,0.0,0.0,49.25
2021-10-01,0.0,0.0,48.6
2021-11-01,0.0,0.0,37.5
2021-12-01,0.0,0.0,24.5
2022-01-01,0.0,0.0,32.0
2022-02-01,0.0,0.0,36.25
2022-03-01,0.0,0.0,39.25
2022-04-01,0.0,0.0,42.25
2022-05-01,0.0,0.0,36.2
2022-06-01,0.0,0.0,45.5
2022-07-01,0.0,0.0,45.4
2022-08-01,0.0,0.0,57.25
2022-09-01,0.0,0.0,51.5
2022-10-01,0.0,0.0,48.2
2022-11-01,0.0,0.0,48.75
2022-12-01,0.0,0.0,35.75
2023-01-01,0.0,0.0,49.8
2023-02-01,0.0,0.0,55.5
2023-03-01,0.0,0.0,73.75
2023-04-01,0.0,0.0,68.2
2023-05-01,0.0,0.0,74.0
2023-06-01,0.0,0.0,72.75
2023-07-01,1.6,0.0,63.6
2023-08-01,0.0,0.0,74.25
2023-09-01,0.0,0.0,62.5
2023-10-01,1.6,0.0,71.0
2023-11-01,0.0,0.0,59.25
2023-12-01,0.0,0.0,60.2
2024-01-01,0.0,0.0,59.0
2024-02-01,0.0,0.0,71.0
2024-03-01,0.0,0.0,66.8
2024-04-01,0.0,0.0,75.5
2024-05-01,0.0,0.0,66.75
2024-06-01,0.0,0.0,65.0
2024-07-01,0.0,0.0,66.0
2024-08-01,0.0,0.0,74.25
2024-09-01,1.4,0.0,73.2
2024-10-01,0.0,0.0,57.25
2024-11-01,2.0,0.0,60.5
2024-12-01,0.0,0.0,53.2
2025-01-01,0.0,0.0,57.75
2025-02-01,0.0,0.0,67.25
2025-03-01,1.4,0.0,61.8
