time [UTC],Dairy Farmers,PURA,Zymil
2021-08-01,0.0,44.0,20.0
2021-09-01,0.0,47.75,17.25
2021-10-01,0.0,52.6,10.4
2021-11-01,0.0,44.25,14.5
2021-12-01,0.0,47.0,15.0
2022-01-01,0.0,44.8,15.6
2022-02-01,0.0,40.75,13.25
2022-03-01,0.0,53.5,15.25
2022-04-01,0.0,49.5,14.5
2022-05-01,0.0,48.8,14.6
2022-06-01,0.0,45.0,14.5
2022-07-01,0.0,48.0,15.8
2022-08-01,0.0,52.25,15.0
2022-09-01,0.0,45.75,12.75
2022-10-01,0.0,51.4,15.4
2022-11-01,0.0,52.25,14.25
2022-12-01,0.0,56.5,19.25
2023-01-01,0.0,57.4,15.8
2023-02-01,0.0,55.25,15.0
2023-03-01,0.0,52.0,16.25
2023-04-01,0.0,54.4,17.4
2023-05-01,0.0,60.75,21.0
2023-06-01,0.0,65.0,17.75
2023-07-01,0.0,60.8,14.6
2023-08-01,0.0,65.25,15.25
2023-09-01,0.0,59.25,13.0
2023-10-01,0.0,62.6,9.2
2023-11-01,0.0,82.25,12.0
2023-12-01,0.0,74.2,6.8
2024-01-01,0.0,76.25,12.75
2024-02-01,0.0,75.75,12.5
2024-03-01,0.0,75.0,14.0
2024-04-01,0.0,85.0,13.75
2024-05-01,0.0,79.25,11.5
2024-06-01,0.0,74.6,15.4
2024-07-01,0.0,66.25,12.5
2024-08-01,0.0,65.0,12.25
2024-09-01,0.0,75.4,12.0
2024-10-01,0.0,69.25,14.0
2024-11-01,0.0,76.25,14.5
2024-12-01,0.0,81.2,15.4
2025-01-01,0.0,70.0,14.5
2025-02-01,0.0,69.5,5.25
2025-03-01,0.0,79.6,10.0
