time [UTC],Ikea,Brosa,Castlery,Ecosa,Fantastic Furniture
2021-08-01,57.0,0.0,1.0,1.0,28.0
2021-09-01,59.25,1.0,1.0,1.0,30.25
2021-10-01,60.0,1.0,1.0,1.0,29.0
2021-11-01,60.75,0.75,1.0,1.25,30.5
2021-12-01,72.75,0.25,0.75,1.0,34.0
2022-01-01,75.6,0.8,1.0,1.6,32.4
2022-02-01,69.25,0.75,1.0,1.5,27.75
2022-03-01,73.0,0.75,1.0,1.5,27.0
2022-04-01,93.0,0.75,1.0,1.75,27.25
2022-05-01,79.8,1.0,1.0,1.0,25.0
2022-06-01,85.5,1.0,1.0,2.0,27.5
2022-07-01,75.0,1.0,1.0,1.8,27.2
2022-08-01,70.25,0.75,1.0,1.5,25.5
2022-09-01,57.5,1.0,1.0,2.0,24.75
2022-10-01,50.0,0.4,1.0,1.2,23.6
2022-11-01,48.25,0.5,1.0,1.5,23.5
2022-12-01,52.5,0.75,1.0,1.25,25.75
2023-01-01,52.4,0.4,1.0,1.2,27.4
2023-02-01,42.5,0.0,1.0,1.0,22.25
2023-03-01,31.75,0.0,1.0,1.25,21.0
2023-04-01,35.6,0.0,1.0,1.0,21.6
2023-05-01,31.5,0.0,1.0,1.25,21.5
2023-06-01,27.5,0.0,1.0,1.75,23.75
2023-07-01,35.0,0.0,1.0,1.0,23.6
2023-08-01,17.25,0.0,1.0,1.0,21.0
2023-09-01,16.25,0.0,1.0,1.0,22.0
2023-10-01,17.0,0.0,1.0,1.2,20.8
2023-11-01,21.25,0.0,1.0,1.75,23.25
2023-12-01,43.0,0.0,1.0,1.4,23.8
2024-01-01,39.0,0.0,1.0,1.25,22.5
2024-02-01,35.75,0.0,1.0,1.25,18.75
2024-03-01,29.4,0.0,1.0,1.6,19.2
2024-04-01,20.5,0.0,1.0,2.0,19.0
2024-05-01,17.25,0.0,1.0,2.0,18.75
2024-06-01,21.8,0.0,1.4,2.2,21.4
2024-07-01,36.75,0.0,1.0,2.0,21.75
2024-08-01,29.25,0.0,1.0,2.0,18.5
2024-09-01,32.2,0.0,1.0,2.0,19.4
2024-10-01,24.75,0.0,1.0,2.0,18.5
2024-11-01,28.75,0.0,1.0,2.75,20.5
2024-12-01,42.2,0.0,1.0,2.6,21.8
2025-01-01,32.25,0.0,1.0,2.25,20.25
2025-02-01,20.25,0.0,1.0,2.0,17.0
2025-03-01,27.8,0.0,1.0,2.0,15.8
