time [UTC],Yates,BioGuano,Brunnings,Garden Basics,Neutrog
2021-08-01,9.0,0.0,20.0,4.0,65.0
2021-09-01,9.5,0.0,19.5,0.0,66.75
2021-10-01,14.0,0.0,13.0,0.0,62.2
2021-11-01,12.75,0.0,11.5,0.0,59.25
2021-12-01,11.75,0.0,6.5,0.0,59.75
2022-01-01,16.4,1.2,10.6,0.0,69.2
2022-02-01,12.75,0.0,9.0,1.0,63.5
2022-03-01,7.25,0.0,8.0,2.25,69.75
2022-04-01,8.0,0.0,6.5,0.0,69.25
2022-05-01,6.6,0.0,4.6,0.0,60.0
2022-06-01,1.0,0.0,1.5,0.0,70.5
2022-07-01,8.0,0.0,5.4,0.0,71.6
2022-08-01,4.0,0.0,8.0,0.0,73.5
2022-09-01,4.5,0.0,15.25,0.0,72.25
2022-10-01,6.2,0.0,10.6,1.6,82.0
2022-11-01,8.75,0.0,8.75,0.75,83.25
2022-12-01,6.5,0.0,9.25,0.0,88.25
2023-01-01,6.2,0.0,9.0,2.8,81.0
2023-02-01,7.5,0.0,9.25,1.0,78.5
2023-03-01,10.75,0.0,6.5,0.0,72.75
2023-04-01,8.0,0.0,6.6,1.0,76.0
2023-05-01,6.0,0.0,6.5,0.0,75.5
2023-06-01,5.75,0.0,6.0,2.5,76.75
2023-07-01,7.0,0.0,6.4,0.0,82.0
2023-08-01,15.25,0.0,8.75,1.25,83.25
2023-09-01,21.25,0.0,15.75,2.0,91.75
2023-10-01,21.4,0.0,12.4,2.2,91.6
2023-11-01,15.75,0.0,12.25,1.25,78.75
2023-12-01,14.8,0.0,10.2,2.6,82.4
2024-01-01,12.25,0.0,11.0,0.0,82.0
2024-02-01,12.75,0.0,9.5,2.25,75.0
2024-03-01,14.2,0.0,8.6,2.6,69.0
2024-04-01,9.5,0.0,8.0,1.0,67.0
2024-05-01,6.75,0.0,4.75,1.5,69.75
2024-06-01,3.8,0.0,4.2,0.0,61.0
2024-07-01,7.5,0.0,5.75,1.0,73.0
2024-08-01,12.5,0.0,11.5,3.25,70.25
2024-09-01,17.4,0.0,15.8,4.8,78.4
2024-10-01,22.0,0.0,13.75,4.25,77.0
2024-11-01,20.0,0.0,12.75,5.0,80.5
2024-12-01,16.4,0.0,11.8,4.8,76.4
2025-01-01,19.75,0.0,12.25,2.5,79.0
2025-02-01,18.25,0.0,11.0,3.75,72.75
2025-03-01,15.2,0.0,10.0,0.0,69.6
