time [UTC],Yates,BioGuano,PowerFeed
2021-08-01,31.0,0.0,36.0
2021-09-01,35.25,0.0,35.75
2021-10-01,50.2,0.0,29.2
2021-11-01,46.25,0.0,25.75
2021-12-01,42.5,0.0,26.25
2022-01-01,59.0,0.0,25.2
2022-02-01,46.25,0.0,14.75
2022-03-01,25.75,0.0,16.0
2022-04-01,28.75,0.0,11.75
2022-05-01,24.4,0.0,3.2
2022-06-01,4.0,0.0,4.5
2022-07-01,28.6,0.0,2.6
2022-08-01,14.25,0.0,18.0
2022-09-01,16.0,0.0,19.5
2022-10-01,22.4,0.0,24.8
2022-11-01,32.0,0.0,25.5
2022-12-01,23.75,0.0,27.25
2023-01-01,21.8,0.0,26.2
2023-02-01,26.75,0.0,20.25
2023-03-01,39.5,0.0,20.0
2023-04-01,30.0,0.0,7.8
2023-05-01,20.5,0.0,6.25
2023-06-01,21.5,0.0,4.0
2023-07-01,24.8,0.0,2.8
2023-08-01,55.75,0.0,14.0
2023-09-01,76.25,0.0,31.0
2023-10-01,76.8,0.0,31.6
2023-11-01,56.75,0.0,22.0
2023-12-01,53.2,0.0,24.4
2024-01-01,44.75,0.0,28.5
2024-02-01,45.25,0.0,21.0
2024-03-01,51.4,0.0,17.2
2024-04-01,34.5,0.0,11.75
2024-05-01,23.75,0.0,3.5
2024-06-01,12.8,0.0,3.0
2024-07-01,27.5,0.0,3.5
2024-08-01,45.75,0.0,8.75
2024-09-01,62.8,0.0,26.6
2024-10-01,80.0,0.0,27.0
2024-11-01,72.25,0.0,25.0
2024-12-01,58.8,0.0,17.8
2025-01-01,71.0,0.0,23.0
2025-02-01,67.0,0.0,18.25
2025-03-01,55.0,0.0,17.6
