category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Garden Care,Yates,2021-08-01,9.0,9.0,0,1.0,
Garden Care,Yates,2021-09-01,9.5,9.5,0,1.0,
Garden Care,Yates,2021-10-01,14.0,14.0,0,1.0,
Garden Care,Yates,2021-11-01,12.75,12.75,0,1.0,
Garden Care,Yates,2021-12-01,11.75,11.75,0,1.0,
Garden Care,Yates,2022-01-01,16.4,16.4,0,1.0,
Garden Care,Yates,2022-02-01,12.75,12.75,0,1.0,
Garden Care,Yates,2022-03-01,7.25,7.25,0,1.0,
Garden Care,Yates,2022-04-01,8.0,8.0,0,1.0,
Garden Care,Yates,2022-05-01,6.6,6.6,0,1.0,
Garden Care,Yates,2022-06-01,1.0,1.0,0,1.0,
Garden Care,Yates,2022-07-01,8.0,8.0,0,1.0,
Garden Care,Yates,2022-08-01,4.0,4.0,0,1.0,
Garden Care,Yates,2022-09-01,4.5,4.5,0,1.0,
Garden Care,Yates,2022-10-01,6.2,6.2,0,1.0,
Garden Care,Yates,2022-11-01,8.75,8.75,0,1.0,
Garden Care,Yates,2022-12-01,6.5,6.5,0,1.0,
Garden Care,Yates,2023-01-01,6.2,6.2,0,1.0,
Garden Care,Yates,2023-02-01,7.5,7.5,0,1.0,
Garden Care,Yates,2023-03-01,10.75,10.75,0,1.0,
Garden Care,Yates,2023-04-01,8.0,8.0,0,1.0,
Garden Care,Yates,2023-05-01,6.0,6.0,0,1.0,
Garden Care,Yates,2023-06-01,5.75,5.75,0,1.0,
Garden Care,Yates,2023-07-01,7.0,7.0,0,1.0,
Garden Care,Yates,2023-08-01,15.25,15.25,0,1.0,
Garden Care,Yates,2023-09-01,21.25,21.25,0,1.0,
Garden Care,Yates,2023-10-01,21.4,21.4,0,1.0,
Garden Care,Yates,2023-11-01,15.75,15.75,0,1.0,
Garden Care,Yates,2023-12-01,14.8,14.8,0,1.0,
Garden Care,Yates,2024-01-01,12.25,12.25,0,1.0,
Garden Care,Yates,2024-02-01,12.75,12.75,0,1.0,
Garden Care,Yates,2024-03-01,14.2,14.2,0,1.0,
Garden Care,Yates,2024-04-01,9.5,9.5,0,1.0,
Garden Care,Yates,2024-05-01,6.75,6.75,0,1.0,
Garden Care,Yates,2024-06-01,3.8,3.8,0,1.0,
Garden Care,Yates,2024-07-01,7.5,7.5,0,1.0,
Garden Care,Yates,2024-08-01,12.5,12.5,0,1.0,
Garden Care,Yates,2024-09-01,17.4,17.4,0,1.0,
Garden Care,Yates,2024-10-01,22.0,22.0,0,1.0,
Garden Care,Yates,2024-11-01,20.0,20.0,0,1.0,
Garden Care,Yates,2024-12-01,16.4,16.4,0,1.0,
Garden Care,Yates,2025-01-01,19.75,19.75,0,1.0,
Garden Care,Yates,2025-02-01,18.25,18.25,0,1.0,
Garden Care,Yates,2025-03-01,15.2,15.2,0,1.0,
Garden Care,Brunnings,2021-08-01,20.0,20.0,0,1.0,
Garden Care,Brunnings,2021-09-01,19.5,19.5,0,1.0,
Garden Care,Brunnings,2021-10-01,13.0,13.0,0,1.0,
Garden Care,Brunnings,2021-11-01,11.5,11.5,0,1.0,
Garden Care,Brunnings,2021-12-01,6.5,6.5,0,1.0,
Garden Care,Brunnings,2022-01-01,10.6,10.6,0,1.0,
Garden Care,Brunnings,2022-02-01,9.0,9.0,0,1.0,
Garden Care,Brunnings,2022-03-01,8.0,8.0,0,1.0,
Garden Care,Brunnings,2022-04-01,6.5,6.5,0,1.0,
Garden Care,Brunnings,2022-05-01,4.6,4.6,0,1.0,
Garden Care,Brunnings,2022-06-01,1.5,1.5,0,1.0,
Garden Care,Brunnings,2022-07-01,5.4,5.4,0,1.0,
Garden Care,Brunnings,2022-08-01,8.0,8.0,0,1.0,
Garden Care,Brunnings,2022-09-01,15.25,15.25,0,1.0,
Garden Care,Brunnings,2022-10-01,10.6,10.6,0,1.0,
Garden Care,Brunnings,2022-11-01,8.75,8.75,0,1.0,
Garden Care,Brunnings,2022-12-01,9.25,9.25,0,1.0,
