time [UTC],Palmolive,BondiBoost,Fruits,Garnier Fructis,Georgiemane
2021-08-01,11.0,39.0,0.0,3.0,0.0
2021-09-01,11.75,51.5,0.0,3.5,0.0
2021-10-01,9.8,52.2,0.0,0.6,0.0
2021-11-01,10.25,69.25,0.0,1.5,0.0
2021-12-01,10.0,64.75,0.0,2.25,0.0
2022-01-01,14.6,51.8,0.0,3.0,0.0
2022-02-01,15.0,40.25,0.0,2.25,0.0
2022-03-01,13.75,42.25,0.0,2.5,0.0
2022-04-01,14.75,57.25,0.0,2.0,0.0
2022-05-01,14.4,44.6,0.0,2.0,0.0
2022-06-01,11.5,39.5,0.0,1.75,0.0
2022-07-01,12.4,41.0,0.0,2.0,0.0
2022-08-01,13.75,38.5,0.0,2.0,0.0
2022-09-01,13.75,34.75,0.0,2.75,0.0
2022-10-01,13.2,29.6,0.0,2.2,0.0
2022-11-01,14.0,45.5,0.0,3.0,0.0
2022-12-01,13.75,43.5,0.0,1.25,0.0
2023-01-01,13.6,29.2,0.0,2.2,0.0
2023-02-01,15.0,29.25,0.0,2.5,0.0
2023-03-01,16.0,31.75,0.0,2.25,0.0
2023-04-01,15.8,39.4,0.0,2.4,6.2
2023-05-01,16.25,29.25,0.0,3.0,10.25
2023-06-01,17.25,29.5,0.0,3.25,11.5
2023-07-01,18.6,30.8,0.0,3.8,14.6
2023-08-01,16.25,29.75,0.0,3.25,12.25
2023-09-01,17.0,32.5,0.0,2.5,11.0
2023-10-01,18.4,33.0,0.0,3.6,11.8
2023-11-01,17.0,51.25,0.0,3.25,13.75
2023-12-01,18.6,41.6,0.0,2.8,3.6
2024-01-01,20.0,27.5,0.0,2.0,0.75
2024-02-01,18.75,30.75,0.0,3.25,0.0
2024-03-01,18.2,38.4,0.0,2.2,0.0
2024-04-01,19.0,33.0,0.0,3.0,0.0
2024-05-01,19.25,27.5,0.0,3.75,0.0
2024-06-01,16.0,32.6,0.0,3.2,8.4
2024-07-01,17.5,38.25,0.0,2.0,8.75
2024-08-01,18.5,37.5,0.0,2.5,7.25
2024-09-01,18.4,32.0,0.0,2.2,5.8
2024-10-01,20.0,39.5,0.0,3.5,6.0
2024-11-01,18.0,58.5,0.0,2.75,11.0
2024-12-01,19.0,49.6,0.0,2.4,9.0
2025-01-01,21.0,38.75,0.0,4.5,7.0
2025-02-01,20.75,28.25,0.0,3.5,7.25
2025-03-01,20.2,28.2,0.0,4.2,7.4
