time [UTC],Palmolive,Glow Lab,Herbal Essences,MONDAY,My Soda
2021-08-01,40.0,14.0,10.0,14.0,0.0
2021-09-01,42.25,15.75,10.75,17.5,0.0
2021-10-01,34.6,14.6,14.0,14.0,0.0
2021-11-01,36.75,9.0,13.25,16.75,0.0
2021-12-01,35.25,9.25,11.25,21.75,0.0
2022-01-01,52.4,16.4,21.0,17.2,0.0
2022-02-01,53.5,13.75,19.75,4.75,0.0
2022-03-01,49.25,15.75,15.75,3.0,0.0
2022-04-01,52.0,14.5,21.25,3.5,0.0
2022-05-01,51.2,13.4,15.6,6.6,0.0
2022-06-01,41.25,17.0,16.5,6.25,0.0
2022-07-01,43.4,17.0,18.0,8.2,0.0
2022-08-01,48.75,11.25,15.0,13.25,0.0
2022-09-01,48.75,15.75,13.75,4.25,0.0
2022-10-01,47.0,15.2,15.6,9.4,0.0
2022-11-01,49.5,14.5,19.0,55.75,0.0
2022-12-01,49.75,14.25,14.5,28.25,0.0
2023-01-01,48.6,15.0,19.6,17.4,0.0
2023-02-01,53.75,13.0,20.0,12.0,0.0
2023-03-01,57.5,23.0,19.75,10.75,0.0
2023-04-01,56.6,21.4,21.8,8.6,0.0
2023-05-01,58.0,18.0,20.75,12.5,0.0
2023-06-01,61.0,21.0,22.0,19.5,0.0
2023-07-01,66.6,22.8,18.6,21.6,0.0
2023-08-01,58.0,22.25,19.0,21.0,0.0
2023-09-01,61.0,21.75,18.25,24.0,0.0
2023-10-01,65.2,17.6,20.8,18.8,0.0
2023-11-01,60.0,20.25,20.0,44.5,0.0
2023-12-01,66.4,25.8,17.8,21.2,0.0
2024-01-01,71.25,25.75,22.75,20.0,0.0
2024-02-01,67.0,19.5,21.0,12.75,0.0
2024-03-01,65.2,19.6,18.6,17.8,0.0
2024-04-01,67.25,17.75,20.0,13.0,0.0
2024-05-01,68.0,21.75,16.5,17.0,0.0
2024-06-01,57.2,19.2,19.8,24.0,0.0
2024-07-01,61.75,20.0,16.5,24.5,0.0
2024-08-01,66.0,16.0,19.75,31.75,0.0
2024-09-01,65.4,22.8,19.0,28.8,0.0
2024-10-01,71.25,19.25,18.0,22.0,0.0
2024-11-01,64.75,20.0,22.75,55.0,0.0
2024-12-01,67.4,17.2,20.0,38.6,0.0
2025-01-01,75.0,14.75,23.25,22.5,0.0
2025-02-01,73.75,14.5,27.5,15.0,0.0
2025-03-01,71.2,6.4,23.8,14.8,0.0
