time [UTC],Palmolive,Thanks To Nature
2021-08-01,45.0,0.0
2021-09-01,47.5,0.0
2021-10-01,38.8,0.0
2021-11-01,41.5,0.0
2021-12-01,39.75,0.0
2022-01-01,59.0,0.0
2022-02-01,60.5,0.0
2022-03-01,55.5,0.0
2022-04-01,58.5,0.0
2022-05-01,58.2,0.0
2022-06-01,46.5,0.0
2022-07-01,49.0,0.0
2022-08-01,55.0,0.0
2022-09-01,54.75,0.0
2022-10-01,52.8,0.0
2022-11-01,55.75,2.0
2022-12-01,55.75,0.0
2023-01-01,54.6,0.0
2023-02-01,60.75,0.0
2023-03-01,65.0,3.5
2023-04-01,64.0,4.2
2023-05-01,65.5,0.0
2023-06-01,69.0,0.0
2023-07-01,75.0,2.6
2023-08-01,65.25,4.5
2023-09-01,68.75,12.5
2023-10-01,73.4,2.2
2023-11-01,67.75,2.75
2023-12-01,74.8,4.2
2024-01-01,80.25,9.5
2024-02-01,75.5,5.25
2024-03-01,73.4,6.8
2024-04-01,75.75,8.25
2024-05-01,76.5,12.0
2024-06-01,64.4,8.8
2024-07-01,69.75,13.5
2024-08-01,74.5,11.5
2024-09-01,74.0,13.2
2024-10-01,80.25,12.75
2024-11-01,73.0,12.5
2024-12-01,75.8,6.8
2025-01-01,84.5,13.75
2025-02-01,83.25,14.0
2025-03-01,80.0,18.2
