time [UTC],Palmolive,Fruits,My Soda
2021-08-01,2.0,22.0,1.0
2021-09-01,2.0,24.0,1.0
2021-10-01,1.6,21.6,1.0
2021-11-01,1.75,19.25,1.0
2021-12-01,2.0,19.5,1.0
2022-01-01,2.2,22.8,1.0
2022-02-01,2.25,21.25,1.0
2022-03-01,2.0,25.0,1.0
2022-04-01,2.25,28.25,1.0
2022-05-01,2.2,27.4,1.0
2022-06-01,2.0,26.25,1.0
2022-07-01,2.0,25.8,1.0
2022-08-01,2.0,26.0,1.0
2022-09-01,2.25,44.5,1.0
2022-10-01,2.0,43.4,0.8
2022-11-01,2.0,41.25,1.0
2022-12-01,2.0,43.5,1.0
2023-01-01,2.0,43.8,1.0
2023-02-01,2.5,41.25,1.0
2023-03-01,2.75,41.5,1.0
2023-04-01,2.4,47.2,1.0
2023-05-01,2.75,43.0,1.0
2023-06-01,2.75,41.0,1.0
2023-07-01,3.0,41.4,1.0
2023-08-01,2.75,42.75,1.0
2023-09-01,2.5,49.75,1.0
2023-10-01,2.8,59.6,1.0
2023-11-01,3.0,59.0,1.0
2023-12-01,3.0,62.6,1.2
2024-01-01,3.0,53.25,1.0
2024-02-01,2.75,48.25,1.0
2024-03-01,3.0,49.4,1.0
2024-04-01,3.0,53.75,1.0
2024-05-01,3.0,51.5,1.0
2024-06-01,2.6,51.4,1.0
2024-07-01,3.0,48.0,1.0
2024-08-01,3.0,46.25,1.0
2024-09-01,3.0,47.0,1.0
2024-10-01,3.25,43.75,1.0
2024-11-01,2.75,40.5,1.0
2024-12-01,3.0,69.4,1.2
2025-01-01,3.25,57.75,1.0
2025-02-01,3.5,43.25,1.0
2025-03-01,3.2,36.8,1.0
