category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Haircare,Palmolive,2021-08-01,11.0,11.0,0,1.0,
Haircare,Palmolive,2021-09-01,11.75,11.75,0,1.0,
Haircare,Palmolive,2021-10-01,9.8,9.8,0,1.0,
Haircare,Palmolive,2021-11-01,10.25,10.25,0,1.0,
Haircare,Palmolive,2021-12-01,10.0,10.0,0,1.0,
Haircare,Palmolive,2022-01-01,14.6,14.6,0,1.0,
Haircare,Palmolive,2022-02-01,15.0,15.0,0,1.0,
Haircare,Palmolive,2022-03-01,13.75,13.75,0,1.0,
Haircare,Palmolive,2022-04-01,14.75,14.75,0,1.0,
Haircare,Palmolive,2022-05-01,14.4,14.4,0,1.0,
Haircare,Palmolive,2022-06-01,11.5,11.5,0,1.0,
Haircare,Palmolive,2022-07-01,12.4,12.4,0,1.0,
Haircare,Palmolive,2022-08-01,13.75,13.75,0,1.0,
Haircare,Palmolive,2022-09-01,13.75,13.75,0,1.0,
Haircare,Palmolive,2022-10-01,13.2,13.2,0,1.0,
Haircare,Palmolive,2022-11-01,14.0,14.0,0,1.0,
Haircare,Palmolive,2022-12-01,13.75,13.75,0,1.0,
Haircare,Palmolive,2023-01-01,13.6,13.6,0,1.0,
Haircare,Palmolive,2023-02-01,15.0,15.0,0,1.0,
Haircare,Palmolive,2023-03-01,16.0,16.0,0,1.0,
Haircare,Palmolive,2023-04-01,15.8,15.8,0,1.0,
Haircare,Palmolive,2023-05-01,16.25,16.25,0,1.0,
Haircare,Palmolive,2023-06-01,17.25,17.25,0,1.0,
Haircare,Palmolive,2023-07-01,18.6,18.6,0,1.0,
Haircare,Palmolive,2023-08-01,16.25,16.25,0,1.0,
Haircare,Palmolive,2023-09-01,17.0,17.0,0,1.0,
Haircare,Palmolive,2023-10-01,18.4,18.4,0,1.0,
Haircare,Palmolive,2023-11-01,17.0,17.0,0,1.0,
Haircare,Palmolive,2023-12-01,18.6,18.6,0,1.0,
Haircare,Palmolive,2024-01-01,20.0,20.0,0,1.0,
Haircare,Palmolive,2024-02-01,18.75,18.75,0,1.0,
Haircare,Palmolive,2024-03-01,18.2,18.2,0,1.0,
Haircare,Palmolive,2024-04-01,19.0,19.0,0,1.0,
Haircare,Palmolive,2024-05-01,19.25,19.25,0,1.0,
Haircare,Palmolive,2024-06-01,16.0,16.0,0,1.0,
Haircare,Palmolive,2024-07-01,17.5,17.5,0,1.0,
