time [UTC],Chemist Warehouse,Adore Beauty,Biome,Mecca,Nourished Life
2021-08-01,0.0,57.0,0.0,2.0,4.0
2021-09-01,0.0,51.5,0.0,1.5,6.0
2021-10-01,0.0,43.4,0.0,1.6,5.4
2021-11-01,0.0,54.75,0.0,2.5,5.75
2021-12-01,0.0,43.75,0.0,2.25,5.0
2022-01-01,0.0,42.6,0.0,2.0,5.8
2022-02-01,0.0,42.5,0.0,1.5,5.5
2022-03-01,0.0,45.75,0.0,2.25,5.0
2022-04-01,0.0,43.0,0.0,2.25,5.25
2022-05-01,0.0,45.4,0.0,2.0,5.2
2022-06-01,0.25,42.0,0.0,2.0,5.0
2022-07-01,0.0,41.2,0.0,2.4,4.2
2022-08-01,0.0,47.25,0.0,3.0,4.25
2022-09-01,0.0,40.5,0.0,2.5,4.0
2022-10-01,0.2,39.6,0.0,2.6,4.4
2022-11-01,0.0,60.5,0.0,3.25,4.5
2022-12-01,0.0,46.0,0.0,3.25,3.75
2023-01-01,0.0,39.0,0.0,2.2,3.2
2023-02-01,0.0,37.25,0.0,2.25,3.0
2023-03-01,0.0,39.75,0.0,2.0,2.75
2023-04-01,0.0,40.4,0.0,2.2,3.0
2023-05-01,0.0,46.75,0.0,2.0,2.0
2023-06-01,0.0,37.75,0.0,2.5,2.0
2023-07-01,0.0,38.2,0.0,2.0,1.6
2023-08-01,0.0,42.25,0.0,2.25,1.75
2023-09-01,0.0,37.5,0.0,2.25,1.25
2023-10-01,0.0,43.4,0.0,2.6,1.4
2023-11-01,0.0,61.5,0.0,3.25,1.25
2023-12-01,0.0,41.8,0.0,3.4,1.6
2024-01-01,0.0,34.75,0.0,2.0,1.5
2024-02-01,3.0,35.75,0.0,2.0,1.0
2024-03-01,9.8,36.6,0.0,2.2,0.6
2024-04-01,8.75,35.0,0.0,1.5,1.5
2024-05-01,11.5,39.75,0.0,2.25,1.0
2024-06-01,5.6,36.2,0.0,2.4,0.8
2024-07-01,3.5,33.25,0.0,2.25,1.5
2024-08-01,4.25,41.5,0.0,2.25,1.0
2024-09-01,4.0,33.0,0.0,2.4,0.8
2024-10-01,5.25,30.75,0.0,2.5,0.75
2024-11-01,7.75,52.0,0.0,3.25,0.75
2024-12-01,4.0,41.2,0.0,3.2,0.4
2025-01-01,6.0,33.25,0.0,2.25,0.75
2025-02-01,9.75,36.5,0.0,1.75,1.0
2025-03-01,3.4,32.8,0.0,1.6,0.2
