time [UTC],Chemist Warehouse,Shop Naturally
2021-08-01,0.0,0.0
2021-09-01,0.0,0.0
2021-10-01,0.0,0.0
2021-11-01,0.0,1.5
2021-12-01,0.0,0.0
2022-01-01,0.0,0.0
2022-02-01,0.0,0.0
2022-03-01,0.0,0.0
2022-04-01,0.0,0.0
2022-05-01,0.0,0.0
2022-06-01,0.0,0.0
2022-07-01,0.0,0.0
2022-08-01,0.0,0.0
2022-09-01,0.0,0.0
2022-10-01,0.0,0.0
2022-11-01,0.0,0.0
2022-12-01,0.0,0.0
2023-01-01,0.0,0.0
2023-02-01,0.0,0.0
2023-03-01,0.0,0.0
2023-04-01,0.0,0.0
2023-05-01,0.0,0.0
2023-06-01,0.0,0.0
2023-07-01,0.0,0.0
2023-08-01,0.0,0.0
2023-09-01,0.0,0.0
2023-10-01,0.0,0.0
2023-11-01,0.0,0.0
2023-12-01,0.0,0.0
2024-01-01,0.0,0.0
2024-02-01,18.5,0.0
2024-03-01,53.8,0.0
2024-04-01,50.25,0.0
2024-05-01,67.5,0.0
2024-06-01,30.6,0.0
2024-07-01,20.0,0.0
2024-08-01,23.25,0.0
2024-09-01,22.8,0.0
2024-10-01,32.5,0.0
2024-11-01,42.75,0.0
2024-12-01,24.4,0.0
2025-01-01,35.0,0.0
2025-02-01,57.0,0.0
2025-03-01,19.4,0.0
