time [UTC],Bundaberg,LoBros,Naked Life,Nexba,Remedy
2021-08-01,14.0,0.0,0.0,0.0,0.0
2021-09-01,19.5,0.0,0.0,0.0,0.0
2021-10-01,24.0,0.0,0.0,0.0,0.0
2021-11-01,30.25,0.0,0.0,0.0,0.0
2021-12-01,61.5,0.0,0.0,0.0,0.0
2022-01-01,42.2,0.0,0.0,0.0,0.0
2022-02-01,30.5,0.0,0.0,0.0,0.0
2022-03-01,25.75,0.0,0.0,0.0,0.0
2022-04-01,58.0,0.0,0.0,0.0,0.0
2022-05-01,56.0,0.0,0.0,0.0,0.0
2022-06-01,28.75,0.0,0.0,0.0,0.0
2022-07-01,25.2,0.0,0.0,0.0,0.0
2022-08-01,25.0,0.0,0.0,0.0,0.0
2022-09-01,26.75,0.0,0.0,0.0,0.0
2022-10-01,26.6,0.0,0.0,4.8,0.0
2022-11-01,63.0,0.0,3.75,7.0,0.0
2022-12-01,52.5,0.0,4.75,4.75,0.0
2023-01-01,37.4,0.0,3.4,8.4,0.0
2023-02-01,44.5,0.0,4.25,5.5,0.0
2023-03-01,73.75,0.0,1.0,7.75,0.0
2023-04-01,77.8,0.0,0.0,4.8,0.0
2023-05-01,77.25,0.0,3.5,6.25,0.0
2023-06-01,93.0,0.0,1.0,3.75,0.0
2023-07-01,79.0,0.0,2.6,10.4,0.0
2023-08-01,85.25,0.0,1.0,7.0,0.0
2023-09-01,82.75,0.0,0.0,4.75,0.0
2023-10-01,75.6,0.0,0.0,7.6,0.0
2023-11-01,74.25,0.0,3.5,4.5,0.0
2023-12-01,67.6,0.0,3.0,5.4,0.0
2024-01-01,41.75,0.0,4.25,3.75,0.0
2024-02-01,28.75,0.0,1.0,5.25,0.0
2024-03-01,25.8,0.0,2.6,5.4,0.0
2024-04-01,25.5,0.0,1.0,1.5,0.0
2024-05-01,24.5,0.0,1.0,4.0,0.0
2024-06-01,22.4,0.0,0.8,4.0,0.0
2024-07-01,21.5,0.0,0.0,6.0,0.0
2024-08-01,59.5,0.0,0.0,5.5,0.0
2024-09-01,32.4,0.0,0.8,5.4,0.0
2024-10-01,34.5,0.0,1.75,4.25,0.0
2024-11-01,36.75,0.0,2.5,6.75,0.0
2024-12-01,67.0,0.0,3.0,2.2,0.0
2025-01-01,41.75,0.0,4.25,3.5,0.0
2025-02-01,33.5,0.0,2.25,5.0,0.0
2025-03-01,36.2,0.0,1.2,5.8,0.0
