time [UTC],Bundaberg,LoBros,Remedy,Shine,Ārepa
2021-08-01,4.0,0.0,53.0,73.0,0.0
2021-09-01,5.5,0.0,57.5,74.25,0.0
2021-10-01,6.6,0.2,60.4,74.0,0.0
2021-11-01,8.25,0.0,57.0,74.75,0.0
2021-12-01,17.0,0.0,60.5,73.75,0.0
2022-01-01,11.8,0.0,66.8,72.0,0.0
2022-02-01,7.75,0.0,58.25,75.5,0.0
2022-03-01,7.25,0.0,63.0,76.25,0.0
2022-04-01,15.5,0.0,64.0,75.25,0.0
2022-05-01,15.0,0.0,66.4,73.2,0.0
2022-06-01,7.25,0.0,68.5,78.0,0.0
2022-07-01,7.0,0.0,68.2,78.0,0.0
2022-08-01,6.75,0.0,65.75,81.25,0.0
2022-09-01,7.25,0.0,66.25,77.75,0.0
2022-10-01,7.0,0.0,64.4,76.0,0.0
2022-11-01,17.5,0.0,63.0,78.5,0.0
2022-12-01,14.25,0.0,65.5,84.75,0.0
2023-01-01,10.2,0.0,64.0,90.2,0.0
2023-02-01,12.25,0.0,60.0,83.5,0.0
2023-03-01,20.25,0.0,61.25,83.0,0.0
2023-04-01,21.2,0.0,65.2,82.6,0.0
2023-05-01,20.75,0.0,70.0,76.5,0.0
2023-06-01,25.25,0.0,68.5,76.0,0.0
2023-07-01,21.6,0.0,65.0,75.4,0.0
2023-08-01,22.75,0.0,66.0,76.25,0.0
2023-09-01,22.5,0.0,67.5,75.25,0.0
2023-10-01,20.2,0.0,66.2,75.8,0.0
2023-11-01,20.0,0.0,64.0,77.5,0.0
2023-12-01,18.2,0.0,67.0,72.2,0.0
2024-01-01,11.25,0.0,69.0,77.0,0.0
2024-02-01,7.5,0.0,64.75,76.0,0.0
2024-03-01,6.6,0.0,62.4,74.2,0.0
2024-04-01,6.75,0.0,66.0,75.5,0.0
2024-05-01,6.25,0.0,67.75,74.25,0.0
2024-06-01,6.0,0.0,66.0,73.8,0.0
2024-07-01,5.75,0.0,66.0,72.75,0.0
2024-08-01,16.25,0.0,65.25,78.5,0.0
2024-09-01,9.0,0.0,66.2,77.2,0.4
2024-10-01,9.0,0.0,66.25,78.0,0.0
2024-11-01,9.5,0.0,64.0,73.5,0.0
2024-12-01,17.6,0.0,64.4,72.6,0.0
2025-01-01,11.25,0.0,66.25,75.25,0.0
2025-02-01,9.25,0.0,65.25,77.5,0.0
2025-03-01,9.6,0.0,60.4,77.6,0.0
