time [UTC],Sheridan,Adairs,Bed Bath N’ Table,Bed Threads,Cultiver
2021-08-01,15.0,49.0,0.0,6.0,0.0
2021-09-01,16.5,56.75,0.0,6.5,0.0
2021-10-01,14.8,54.8,0.0,3.6,0.0
2021-11-01,23.0,69.25,0.0,5.75,0.0
2021-12-01,22.25,64.0,0.0,7.25,0.0
2022-01-01,17.2,50.4,0.0,5.0,0.0
2022-02-01,14.25,35.0,0.0,4.75,0.0
2022-03-01,15.25,29.75,0.0,7.0,0.0
2022-04-01,15.25,36.75,0.0,4.5,0.0
2022-05-01,16.0,21.8,0.0,4.2,0.0
2022-06-01,15.75,22.0,0.0,6.25,0.0
2022-07-01,12.8,23.0,0.0,4.0,0.0
2022-08-01,12.0,25.75,0.0,4.75,0.0
2022-09-01,12.75,29.5,0.0,4.5,0.0
2022-10-01,12.0,55.2,0.0,3.8,0.0
2022-11-01,18.5,55.25,0.0,7.0,0.0
2022-12-01,17.5,63.75,0.0,6.5,0.0
2023-01-01,11.4,48.8,0.0,4.2,0.0
2023-02-01,8.75,33.5,0.0,3.25,0.0
2023-03-01,9.25,42.0,0.0,4.0,0.0
2023-04-01,10.6,49.0,0.0,3.6,0.0
2023-05-01,12.75,44.0,0.0,3.0,0.0
2023-06-01,13.5,45.5,10.0,4.25,0.0
2023-07-01,12.0,39.0,14.6,3.4,0.0
2023-08-01,10.75,31.0,14.0,3.75,0.0
2023-09-01,10.5,39.5,15.0,3.5,0.0
2023-10-01,12.2,48.8,18.2,3.0,0.0
2023-11-01,17.5,56.25,31.5,6.5,0.0
2023-12-01,19.2,58.8,32.8,4.4,0.0
2024-01-01,12.75,42.25,15.25,3.0,0.0
2024-02-01,10.25,35.75,13.0,2.5,0.0
2024-03-01,11.2,45.4,16.0,3.4,0.0
2024-04-01,11.75,44.5,15.5,2.25,0.0
2024-05-01,12.25,43.25,18.25,2.0,0.0
2024-06-01,12.6,44.2,18.4,2.8,0.0
2024-07-01,11.0,39.75,15.75,2.25,0.0
2024-08-01,10.5,38.75,14.0,2.5,0.0
2024-09-01,11.8,45.2,15.6,2.4,0.0
2024-10-01,12.5,53.75,18.25,2.0,0.0
2024-11-01,19.25,63.25,31.75,4.25,0.0
2024-12-01,19.4,64.0,34.8,3.6,0.0
2025-01-01,12.0,46.75,16.5,2.5,0.0
2025-02-01,9.25,38.5,14.0,2.0,0.0
2025-03-01,11.0,46.6,18.0,1.8,0.0
