time [UTC],Sheridan,Dusk,Freedom,I Love Linen,Koala
2021-08-01,26.0,21.0,0.0,0.0,59.0
2021-09-01,28.75,24.25,2.25,0.0,59.25
2021-10-01,25.8,27.4,3.4,1.8,42.8
2021-11-01,40.75,43.25,3.5,4.0,37.25
2021-12-01,38.75,55.0,0.5,2.75,35.5
2022-01-01,30.2,19.4,3.4,3.0,34.6
2022-02-01,24.5,18.5,0.0,2.5,45.0
2022-03-01,26.5,17.75,0.75,2.25,65.75
2022-04-01,27.0,20.0,0.5,2.25,71.25
2022-05-01,28.2,20.8,2.0,2.0,78.8
2022-06-01,26.75,16.75,0.75,2.25,81.0
2022-07-01,22.0,18.2,0.2,1.8,78.0
2022-08-01,21.5,22.25,0.0,2.0,78.5
2022-09-01,22.0,19.5,5.75,2.0,70.0
2022-10-01,21.4,22.0,26.0,2.0,67.2
2022-11-01,32.5,35.0,35.25,2.5,72.25
2022-12-01,30.5,49.75,34.75,1.75,62.5
2023-01-01,19.8,10.6,36.0,1.0,61.0
2023-02-01,15.25,8.0,24.25,0.75,58.5
2023-03-01,16.0,5.0,43.25,2.0,77.75
2023-04-01,18.6,13.6,44.0,2.0,66.8
2023-05-01,22.25,19.25,47.5,1.75,76.5
2023-06-01,23.0,14.5,52.25,1.75,78.75
2023-07-01,20.8,10.6,45.2,1.6,75.4
2023-08-01,18.25,10.25,39.0,1.25,82.75
2023-09-01,18.75,9.5,40.0,1.75,73.75
2023-10-01,21.0,10.4,40.2,2.0,70.8
2023-11-01,30.5,29.5,46.25,3.0,87.5
2023-12-01,33.6,43.6,47.2,3.0,63.6
2024-01-01,21.75,15.5,43.5,2.0,52.5
2024-02-01,17.75,13.5,34.5,2.0,58.0
2024-03-01,19.2,16.0,33.8,2.0,63.2
2024-04-01,21.0,16.5,36.75,2.5,57.25
2024-05-01,21.0,18.25,39.5,2.0,63.5
2024-06-01,21.8,17.2,48.0,2.8,68.2
2024-07-01,19.25,18.25,41.75,2.0,59.25
2024-08-01,18.25,17.5,39.25,2.25,69.25
2024-09-01,20.6,19.6,41.2,2.6,68.2
2024-10-01,22.0,23.0,42.25,2.0,68.5
2024-11-01,33.75,39.0,51.25,4.25,87.75
2024-12-01,33.6,52.8,51.6,2.8,71.4
2025-01-01,20.75,17.25,47.25,2.5,61.25
2025-02-01,16.0,15.5,37.0,1.5,62.0
2025-03-01,19.0,15.0,33.8,2.2,72.0
