time [UTC],Sheridan,Pillow Talk,Sheet Society,Temple & Webster
2021-08-01,23.0,0.0,0.0,72.0
2021-09-01,25.0,0.0,0.0,85.5
2021-10-01,22.8,0.0,0.0,75.4
2021-11-01,35.75,0.0,0.0,77.75
2021-12-01,34.0,0.0,0.0,65.5
2022-01-01,26.6,0.0,0.0,74.4
2022-02-01,21.75,0.0,0.0,65.0
2022-03-01,23.5,0.0,0.0,67.5
2022-04-01,23.5,0.0,0.0,65.5
2022-05-01,24.8,0.2,0.0,60.8
2022-06-01,23.75,0.0,0.0,65.25
2022-07-01,19.8,0.0,0.0,61.4
2022-08-01,19.0,0.0,0.0,62.0
2022-09-01,19.5,0.0,0.0,62.25
2022-10-01,18.6,0.0,0.0,60.4
2022-11-01,28.75,0.0,0.0,65.75
2022-12-01,27.25,0.0,0.0,57.5
2023-01-01,17.6,0.0,0.0,60.0
2023-02-01,13.75,0.0,0.75,50.75
2023-03-01,14.25,0.0,0.0,51.5
2023-04-01,16.4,0.0,0.6,52.4
2023-05-01,19.5,0.0,0.75,54.5
2023-06-01,20.5,0.0,0.0,62.0
2023-07-01,18.6,7.8,0.0,57.2
2023-08-01,16.25,14.0,2.0,57.75
2023-09-01,16.5,26.0,1.25,59.0
2023-10-01,18.6,29.6,1.0,66.2
2023-11-01,27.0,36.25,3.75,86.5
2023-12-01,29.4,43.8,2.8,73.4
2024-01-01,19.25,26.25,3.5,71.5
2024-02-01,15.5,22.75,2.75,64.25
2024-03-01,17.0,22.2,2.6,59.6
2024-04-01,18.25,24.75,2.5,62.5
2024-05-01,18.5,26.25,2.5,63.5
2024-06-01,19.2,16.8,3.8,63.0
2024-07-01,17.25,27.75,3.0,57.0
2024-08-01,16.25,30.0,3.5,57.75
2024-09-01,18.2,28.4,4.6,53.6
2024-10-01,19.25,32.5,6.0,54.0
2024-11-01,29.75,44.0,8.75,79.0
2024-12-01,29.6,48.8,5.6,76.4
2025-01-01,18.5,31.5,4.0,74.0
2025-02-01,14.0,25.75,3.75,63.5
2025-03-01,17.0,23.0,4.6,59.6
