category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Homeware,Sheridan,2021-08-01,15.0,15.0,0,1.0,
Homeware,Sheridan,2021-09-01,16.5,16.5,0,1.0,
Homeware,Sheridan,2021-10-01,14.8,14.8,0,1.0,
Homeware,Sheridan,2021-11-01,23.0,23.0,0,1.0,
Homeware,Sheridan,2021-12-01,22.25,22.25,0,1.0,
Homeware,Sheridan,2022-01-01,17.2,17.2,0,1.0,
Homeware,Sheridan,2022-02-01,14.25,14.25,0,1.0,
Homeware,Sheridan,2022-03-01,15.25,15.25,0,1.0,
Homeware,Sheridan,2022-04-01,15.25,15.25,0,1.0,
Homeware,Sheridan,2022-05-01,16.0,16.0,0,1.0,
Homeware,Sheridan,2022-06-01,15.75,15.75,0,1.0,
Homeware,Sheridan,2022-07-01,12.8,12.8,0,1.0,
Homeware,Sheridan,2022-08-01,12.0,12.0,0,1.0,
Homeware,Sheridan,2022-09-01,12.75,12.75,0,1.0,
Homeware,Sheridan,2022-10-01,12.0,12.0,0,1.0,
Homeware,Sheridan,2022-11-01,18.5,18.5,0,1.0,
Homeware,Sheridan,2022-12-01,17.5,17.5,0,1.0,
Homeware,Sheridan,2023-01-01,11.4,11.4,0,1.0,
Homeware,Sheridan,2023-02-01,8.75,8.75,0,1.0,
Homeware,Sheridan,2023-03-01,9.25,9.25,0,1.0,
Homeware,Sheridan,2023-04-01,10.6,10.6,0,1.0,
Homeware,Sheridan,2023-05-01,12.75,12.75,0,1.0,
Homeware,Sheridan,2023-06-01,13.5,13.5,0,1.0,
Homeware,Sheridan,2023-07-01,12.0,12.0,0,1.0,
Homeware,Sheridan,2023-08-01,10.75,10.75,0,1.0,
Homeware,Sheridan,2023-09-01,10.5,10.5,0,1.0,
Homeware,Sheridan,2023-10-01,12.2,12.2,0,1.0,
Homeware,Sheridan,2023-11-01,17.5,17.5,0,1.0,
Homeware,Sheridan,2023-12-01,19.2,19.2,0,1.0,
Homeware,Sheridan,2024-01-01,12.75,12.75,0,1.0,
Homeware,Sheridan,2024-02-01,10.25,10.25,0,1.0,
Homeware,Sheridan,2024-03-01,11.2,11.2,0,1.0,
Homeware,Sheridan,2024-04-01,11.75,11.75,0,1.0,
Homeware,Sheridan,2024-05-01,12.25,12.25,0,1.0,
Homeware,Sheridan,2024-06-01,12.6,12.6,0,1.0,
Homeware,Sheridan,2024-07-01,11.0,11.0,0,1.0,
Homeware,Sheridan,2024-08-01,10.5,10.5,0,1.0,
Homeware,Sheridan,2024-09-01,11.8,11.8,0,1.0,
Homeware,Sheridan,2024-10-01,12.5,12.5,0,1.0,
Homeware,Sheridan,2024-11-01,19.25,19.25,0,1.0,
Homeware,Sheridan,2024-12-01,19.4,19.4,0,1.0,
Homeware,Sheridan,2025-01-01,12.0,12.0,0,1.0,
Homeware,Sheridan,2025-02-01,9.25,9.25,0,1.0,
Homeware,Sheridan,2025-03-01,11.0,11.0,0,1.0,
Homeware,Adairs,2021-08-01,49.0,49.0,0,1.0,
Homeware,Adairs,2021-09-01,56.75,56.75,0,1.0,
Homeware,Adairs,2021-10-01,54.8,54.8,0,1.0,
Homeware,Adairs,2021-11-01,69.25,69.25,0,1.0,
Homeware,Adairs,2021-12-01,64.0,64.0,0,1.0,
Homeware,Adairs,2022-01-01,50.4,50.4,0,1.0,
Homeware,Adairs,2022-02-01,35.0,35.0,0,1.0,
Homeware,Adairs,2022-03-01,29.75,29.75,0,1.0,
Homeware,Adairs,2022-04-01,36.75,36.75,0,1.0,
Homeware,Adairs,2022-05-01,21.8,21.8,0,1.0,
Homeware,Adairs,2022-06-01,22.0,22.0,0,1.0,
Homeware,Adairs,2022-07-01,23.0,23.0,0,1.0,
Homeware,Adairs,2022-08-01,25.75,25.75,0,1.0,
Homeware,Adairs,2022-09-01,29.5,29.5,0,1.0,
Homeware,Adairs,2022-10-01,55.2,55.2,0,1.0,
Homeware,Adairs,2022-11-01,55.25,55.25,0,1.0,
Homeware,Adairs,2022-12-01,63.75,63.75,0,1.0,
Homeware,Adairs,2023-01-01,48.8,48.8,0,1.0,
Homeware,Adairs,2023-02-01,33.5,33.5,0,1.0,
Homeware,Adairs,2023-03-01,42.0,42.0,0,1.0,
