time [UTC],Pine O Cleen,Earthwise,Ecostore
2021-08-01,0.0,0.0,28.0
2021-09-01,7.25,0.0,26.25
2021-10-01,4.6,0.0,23.6
2021-11-01,0.0,0.0,30.75
2021-12-01,0.0,0.0,28.0
2022-01-01,0.0,0.0,31.0
2022-02-01,0.0,0.0,27.25
2022-03-01,10.0,0.0,30.75
2022-04-01,9.0,0.0,27.0
2022-05-01,8.0,0.0,27.2
2022-06-01,7.25,0.0,42.25
2022-07-01,7.6,0.0,40.0
2022-08-01,0.0,3.25,39.5
2022-09-01,3.25,0.0,32.5
2022-10-01,2.2,0.0,26.8
2022-11-01,0.0,4.25,39.25
2022-12-01,3.0,0.0,38.0
2023-01-01,2.8,0.0,36.6
2023-02-01,0.0,0.0,32.75
2023-03-01,4.0,5.5,38.75
2023-04-01,3.4,0.0,43.2
2023-05-01,0.0,0.0,33.25
2023-06-01,15.0,0.0,40.25
2023-07-01,3.2,0.0,42.4
2023-08-01,7.25,0.0,42.75
2023-09-01,0.0,0.0,36.75
2023-10-01,5.6,0.0,37.4
2023-11-01,0.0,0.0,44.75
2023-12-01,6.4,0.0,45.8
2024-01-01,4.5,0.0,45.0
2024-02-01,7.0,0.0,49.75
2024-03-01,2.6,0.0,42.8
2024-04-01,0.0,0.0,45.75
2024-05-01,3.0,0.0,56.75
2024-06-01,2.6,0.0,64.0
2024-07-01,0.0,12.75,50.75
2024-08-01,3.25,6.5,52.0
2024-09-01,6.0,13.4,54.2
2024-10-01,0.0,0.0,57.5
2024-11-01,0.0,3.75,72.5
2024-12-01,3.2,3.2,69.4
2025-01-01,7.5,7.75,68.75
2025-02-01,7.0,3.0,65.0
2025-03-01,6.6,2.4,62.4
