time [UTC],Myer,Everten,House,Kitchen Warehouse,Kitchenware
2021-08-01,0.0,0.0,0.0,0.0,0.0
2021-09-01,0.0,0.75,0.5,0.0,0.0
2021-10-01,28.6,0.0,3.0,0.0,0.0
2021-11-01,45.0,0.0,0.75,0.0,0.0
2021-12-01,40.0,0.0,0.5,0.0,0.0
2022-01-01,1.6,0.0,0.8,0.0,0.0
2022-02-01,0.0,0.5,2.75,0.0,1.25
2022-03-01,0.0,0.0,1.0,0.0,2.25
2022-04-01,0.0,0.0,0.0,0.0,1.25
2022-05-01,15.6,0.0,0.4,0.0,2.2
2022-06-01,26.0,0.0,0.0,51.5,2.5
2022-07-01,39.2,0.0,0.0,54.6,1.8
2022-08-01,10.25,0.0,0.5,49.5,0.5
2022-09-01,7.75,0.0,0.75,46.5,0.0
2022-10-01,30.4,1.0,0.4,47.2,0.0
2022-11-01,35.0,1.75,1.5,71.5,0.0
2022-12-01,39.0,0.0,1.5,62.0,0.0
2023-01-01,26.6,1.6,0.8,0.4,0.0
2023-02-01,19.75,1.0,1.25,29.25,0.0
2023-03-01,2.25,0.0,0.0,1.0,0.0
2023-04-01,12.8,0.4,0.0,11.4,0.0
2023-05-01,34.5,1.0,0.0,32.5,0.0
2023-06-01,34.5,0.5,0.0,33.0,0.0
2023-07-01,27.2,0.0,0.0,23.4,0.0
2023-08-01,31.25,0.0,0.0,17.5,0.0
2023-09-01,38.5,0.0,0.0,29.25,0.0
2023-10-01,11.6,0.6,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.6,0.0,0.0,8.0,0.0
2024-01-01,0.0,0.0,0.0,0.0,0.0
2024-02-01,1.0,0.0,0.0,4.25,0.0
2024-03-01,0.0,0.0,0.0,4.8,0.0
2024-04-01,0.0,0.0,0.0,15.5,0.0
2024-05-01,0.5,0.0,0.0,39.25,0.0
2024-06-01,0.0,0.0,0.0,40.6,0.0
2024-07-01,0.0,0.0,0.0,42.0,0.0
2024-08-01,0.0,0.0,0.0,43.25,0.0
2024-09-01,0.0,0.0,0.0,37.8,0.0
2024-10-01,0.5,0.0,0.0,45.25,0.0
2024-11-01,0.0,0.0,0.0,69.0,0.0
2024-12-01,0.0,0.0,0.0,82.8,0.0
2025-01-01,0.0,0.0,0.0,51.25,0.0
2025-02-01,0.0,0.0,0.0,43.25,0.0
2025-03-01,0.0,0.0,0.0,42.4,0.0
