time [UTC],Myer,Everten,House,Kitchenware,Peter's of Kensington
2021-08-01,0.0,0.0,78.0,0.0,0.0
2021-09-01,0.0,0.0,82.75,0.0,0.0
2021-10-01,0.6,0.0,87.6,0.0,0.0
2021-11-01,0.5,0.0,88.25,0.0,0.0
2021-12-01,1.0,0.0,86.25,0.0,0.0
2022-01-01,0.0,0.0,90.2,0.0,0.0
2022-02-01,0.0,0.0,88.0,0.0,0.0
2022-03-01,0.0,0.0,86.0,0.0,0.0
2022-04-01,0.0,0.0,85.75,0.0,0.0
2022-05-01,0.4,0.0,85.6,0.0,0.0
2022-06-01,0.25,0.0,84.75,0.0,0.0
2022-07-01,1.0,0.0,81.8,0.0,0.0
2022-08-01,0.0,0.0,90.75,0.0,0.0
2022-09-01,0.0,0.0,91.5,0.0,0.0
2022-10-01,0.2,0.0,93.4,0.0,0.0
2022-11-01,0.5,0.0,85.25,0.0,0.0
2022-12-01,0.75,0.0,83.75,0.0,0.0
2023-01-01,0.0,0.0,85.6,0.0,0.0
2023-02-01,0.0,0.0,81.75,0.0,0.0
2023-03-01,0.0,0.0,80.0,0.0,0.0
2023-04-01,0.2,0.0,82.0,0.0,0.0
2023-05-01,0.75,0.0,80.25,0.0,0.0
2023-06-01,0.75,0.0,79.75,0.0,0.0
2023-07-01,0.0,0.0,79.8,0.0,0.0
2023-08-01,0.0,0.0,77.0,0.0,0.0
2023-09-01,1.0,0.0,80.25,0.0,0.0
2023-10-01,0.2,0.0,85.6,0.0,0.0
2023-11-01,0.0,0.0,83.25,0.0,0.0
2023-12-01,0.0,0.0,83.4,0.0,0.0
2024-01-01,0.0,0.0,82.5,0.0,0.0
2024-02-01,0.0,0.0,83.25,0.0,0.0
2024-03-01,0.0,0.0,83.0,0.0,0.0
2024-04-01,0.0,0.0,81.5,0.0,0.0
2024-05-01,0.0,0.0,78.75,0.0,0.0
2024-06-01,0.0,0.0,86.6,0.0,0.0
2024-07-01,0.0,0.0,86.0,0.0,0.0
2024-08-01,0.0,0.0,81.25,0.0,0.0
2024-09-01,0.0,0.0,80.0,0.0,0.0
2024-10-01,0.0,0.0,82.75,0.0,0.0
2024-11-01,0.0,0.0,87.25,0.0,0.0
2024-12-01,0.0,0.0,83.0,0.0,0.0
2025-01-01,0.0,0.0,86.5,0.0,0.0
2025-02-01,0.0,0.0,80.75,0.0,0.0
2025-03-01,0.0,0.0,79.4,0.0,0.0
