time [UTC],Myer,Victoria's Basement
2021-08-01,0.0,15.0
2021-09-01,0.0,13.0
2021-10-01,47.2,16.4
2021-11-01,74.5,20.0
2021-12-01,65.25,25.25
2022-01-01,2.4,15.6
2022-02-01,0.0,16.25
2022-03-01,0.0,19.0
2022-04-01,0.0,31.75
2022-05-01,25.8,28.0
2022-06-01,43.25,30.75
2022-07-01,64.8,32.0
2022-08-01,17.0,28.75
2022-09-01,12.75,31.25
2022-10-01,50.0,29.0
2022-11-01,58.0,35.75
2022-12-01,63.75,38.5
2023-01-01,44.0,29.8
2023-02-01,32.25,18.75
2023-03-01,3.5,18.25
2023-04-01,21.2,19.6
2023-05-01,57.25,17.25
2023-06-01,56.75,21.25
2023-07-01,44.2,19.2
2023-08-01,51.25,17.0
2023-09-01,63.5,17.5
2023-10-01,18.8,19.6
2023-11-01,0.0,30.0
2023-12-01,1.0,41.4
2024-01-01,0.0,27.5
2024-02-01,2.0,24.75
2024-03-01,0.0,23.6
2024-04-01,0.0,24.25
2024-05-01,0.75,22.0
2024-06-01,0.0,27.4
2024-07-01,0.0,26.0
2024-08-01,0.0,23.0
2024-09-01,0.0,23.8
2024-10-01,0.75,28.0
2024-11-01,0.0,38.75
2024-12-01,0.0,55.8
2025-01-01,0.0,35.5
2025-02-01,0.0,23.5
2025-03-01,0.0,23.6
