category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Kitchenware Retailers,Myer,2021-08-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2021-09-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2021-10-01,28.6,28.6,0,1.0,
Kitchenware Retailers,Myer,2021-11-01,45.0,45.0,0,1.0,
Kitchenware Retailers,Myer,2021-12-01,40.0,40.0,0,1.0,
Kitchenware Retailers,Myer,2022-01-01,1.6,1.6,0,1.0,
Kitchenware Retailers,Myer,2022-02-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2022-03-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2022-04-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2022-05-01,15.6,15.6,0,1.0,
Kitchenware Retailers,Myer,2022-06-01,26.0,26.0,0,1.0,
Kitchenware Retailers,Myer,2022-07-01,39.2,39.2,0,1.0,
Kitchenware Retailers,Myer,2022-08-01,10.25,10.25,0,1.0,
Kitchenware Retailers,Myer,2022-09-01,7.75,7.75,0,1.0,
Kitchenware Retailers,Myer,2022-10-01,30.4,30.4,0,1.0,
Kitchenware Retailers,Myer,2022-11-01,35.0,35.0,0,1.0,
Kitchenware Retailers,Myer,2022-12-01,39.0,39.0,0,1.0,
Kitchenware Retailers,Myer,2023-01-01,26.6,26.6,0,1.0,
Kitchenware Retailers,Myer,2023-02-01,19.75,19.75,0,1.0,
Kitchenware Retailers,Myer,2023-03-01,2.25,2.25,0,1.0,
Kitchenware Retailers,Myer,2023-04-01,12.8,12.8,0,1.0,
Kitchenware Retailers,Myer,2023-05-01,34.5,34.5,0,1.0,
Kitchenware Retailers,Myer,2023-06-01,34.5,34.5,0,1.0,
Kitchenware Retailers,Myer,2023-07-01,27.2,27.2,0,1.0,
Kitchenware Retailers,Myer,2023-08-01,31.25,31.25,0,1.0,
Kitchenware Retailers,Myer,2023-09-01,38.5,38.5,0,1.0,
Kitchenware Retailers,Myer,2023-10-01,11.6,11.6,0,1.0,
Kitchenware Retailers,Myer,2023-11-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2023-12-01,0.6,0.6,0,1.0,
Kitchenware Retailers,Myer,2024-01-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2024-02-01,1.0,1.0,0,1.0,
Kitchenware Retailers,Myer,2024-03-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2024-04-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2024-05-01,0.5,0.5,0,1.0,
Kitchenware Retailers,Myer,2024-06-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2024-07-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2024-08-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2024-09-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2024-10-01,0.5,0.5,0,1.0,
Kitchenware Retailers,Myer,2024-11-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2024-12-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2025-01-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2025-02-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Myer,2025-03-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2021-08-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2021-09-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2021-10-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2021-11-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2021-12-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-01-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-02-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-03-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-04-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-05-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-06-01,51.5,51.5,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-07-01,54.6,54.6,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-08-01,49.5,49.5,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-09-01,46.5,46.5,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-10-01,47.2,47.2,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-11-01,71.5,71.5,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2022-12-01,62.0,62.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-01-01,0.4,0.4,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-02-01,29.25,29.25,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-03-01,1.0,1.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-04-01,11.4,11.4,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-05-01,32.5,32.5,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-06-01,33.0,33.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-07-01,23.4,23.4,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-08-01,17.5,17.5,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-09-01,29.25,29.25,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-10-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-11-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2023-12-01,8.0,8.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-01-01,0.0,0.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-02-01,4.25,4.25,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-03-01,4.8,4.8,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-04-01,15.5,15.5,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-05-01,39.25,39.25,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-06-01,40.6,40.6,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-07-01,42.0,42.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-08-01,43.25,43.25,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-09-01,37.8,37.8,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-10-01,45.25,45.25,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-11-01,69.0,69.0,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2024-12-01,82.8,82.8,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2025-01-01,51.25,51.25,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2025-02-01,43.25,43.25,0,1.0,
Kitchenware Retailers,Kitchen Warehouse,2025-03-01,42.4,42.4,0,1.0,
Kitchenware Retailers,Minimax,2021-08-01,9.76107207059977,16.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2021-09-01,10.218622323909134,16.75,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2021-10-01,11.713286484719724,19.2,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2021-11-01,22.267445661055724,36.5,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2021-12-01,5.338086288609249,8.75,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-01-01,3.4163752247099195,5.6,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-02-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-03-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-04-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-05-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-06-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-07-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-08-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-09-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-10-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-11-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2022-12-01,0.0,0.0,1,0.6100670044124856,
Kitchenware Retailers,Minimax,2023-01-01,0.0,0.0,1,0.6100670044124856,
