time [UTC],OMO,Dynamo,Earth Choice,Earthwise,Ecostore
2021-08-01,39.0,8.0,0.0,0.0,0.0
2021-09-01,44.0,4.25,0.0,0.0,0.0
2021-10-01,37.8,4.0,0.0,0.0,0.0
2021-11-01,43.75,7.5,0.0,0.0,0.0
2021-12-01,44.75,6.75,0.0,0.0,0.0
2022-01-01,51.4,11.2,0.0,0.0,0.0
2022-02-01,49.5,10.5,0.0,0.0,0.0
2022-03-01,48.0,10.75,0.0,0.0,0.0
2022-04-01,58.5,10.75,0.0,0.0,0.0
2022-05-01,55.6,9.0,0.0,0.0,0.0
2022-06-01,50.75,10.0,0.0,0.0,2.5
2022-07-01,62.2,7.8,0.0,0.0,0.0
2022-08-01,52.5,5.75,0.0,0.0,0.0
2022-09-01,53.25,9.25,7.75,0.0,0.0
2022-10-01,57.6,6.0,13.8,0.0,0.0
2022-11-01,55.75,7.75,12.0,0.0,0.0
2022-12-01,54.5,8.75,9.5,0.0,0.0
2023-01-01,60.6,12.4,12.2,0.0,0.0
2023-02-01,60.0,9.5,15.0,0.0,0.0
2023-03-01,58.75,12.75,14.25,0.0,0.0
2023-04-01,79.0,12.6,13.4,0.0,0.0
2023-05-01,70.5,14.25,14.0,0.0,0.0
2023-06-01,69.0,15.25,14.25,0.0,0.0
2023-07-01,74.2,13.4,16.8,0.0,0.0
2023-08-01,63.75,13.0,17.5,0.0,0.0
2023-09-01,85.25,17.0,16.0,0.0,0.0
2023-10-01,74.2,13.8,15.8,0.0,0.0
2023-11-01,69.5,9.25,16.75,0.0,0.0
2023-12-01,78.0,17.0,15.6,0.0,0.0
2024-01-01,79.25,16.5,18.5,0.0,0.0
2024-02-01,74.5,13.0,14.5,0.0,0.0
2024-03-01,70.6,14.4,15.2,0.0,0.0
2024-04-01,76.75,13.0,16.75,0.0,0.0
2024-05-01,71.0,12.75,17.5,0.0,0.0
2024-06-01,67.6,13.2,18.0,0.0,0.0
2024-07-01,77.5,15.25,18.75,0.0,0.0
2024-08-01,70.5,11.75,16.0,0.0,0.0
2024-09-01,67.0,12.8,18.0,0.0,0.0
2024-10-01,67.75,11.75,18.75,0.0,0.0
2024-11-01,70.0,15.0,18.25,0.0,0.0
2024-12-01,77.2,13.8,18.4,0.0,0.0
2025-01-01,78.75,12.5,21.0,0.0,0.0
2025-02-01,74.75,16.25,18.75,0.0,0.0
2025-03-01,68.0,14.4,19.8,0.0,0.0
