time [UTC],OMO,Biozet Attack,Calgon,Earthwise,Ecostore
2021-08-01,39.0,0.0,0.0,0.0,14.0
2021-09-01,44.25,1.75,0.0,0.0,12.75
2021-10-01,37.6,0.0,0.0,0.0,11.8
2021-11-01,43.5,0.0,0.0,0.0,15.0
2021-12-01,44.75,0.0,0.0,0.0,14.0
2022-01-01,51.2,1.6,0.0,0.0,15.2
2022-02-01,49.0,3.0,2.0,0.0,13.5
2022-03-01,47.75,3.5,0.0,0.0,15.0
2022-04-01,58.25,4.75,0.0,0.0,13.25
2022-05-01,55.6,1.4,0.0,0.0,13.6
2022-06-01,50.75,0.0,1.5,0.0,20.75
2022-07-01,61.8,2.8,0.0,0.0,19.8
2022-08-01,52.75,0.0,0.0,1.5,19.25
2022-09-01,53.25,3.75,0.0,0.0,16.25
2022-10-01,57.4,1.4,0.0,0.0,13.4
2022-11-01,55.75,0.0,0.0,2.0,19.25
2022-12-01,54.0,1.75,0.0,0.0,18.75
2023-01-01,60.6,3.0,0.0,0.0,18.2
2023-02-01,59.75,1.5,0.0,0.0,16.25
2023-03-01,58.5,4.75,0.0,2.75,19.25
2023-04-01,79.4,5.2,0.0,0.0,21.6
2023-05-01,70.25,2.25,0.0,0.0,16.5
2023-06-01,69.0,5.25,0.0,0.0,20.0
2023-07-01,74.0,7.0,0.0,0.0,20.8
2023-08-01,64.0,3.75,0.0,0.0,21.0
2023-09-01,85.0,1.75,0.0,0.0,18.0
2023-10-01,73.4,4.6,0.0,0.0,18.4
2023-11-01,69.0,3.25,0.0,0.0,22.0
2023-12-01,77.8,6.0,0.0,0.0,22.4
2024-01-01,79.25,6.25,0.0,0.0,22.25
2024-02-01,74.5,1.5,0.0,0.0,24.5
2024-03-01,70.6,4.2,0.0,0.0,21.0
2024-04-01,76.75,6.75,0.0,0.0,22.5
2024-05-01,71.0,3.5,0.0,0.0,27.75
2024-06-01,67.8,0.0,0.0,0.0,31.6
2024-07-01,77.5,3.75,0.0,6.25,25.0
2024-08-01,70.5,3.5,0.0,3.25,25.0
2024-09-01,66.8,2.8,0.0,6.6,26.4
2024-10-01,67.5,4.75,0.0,0.0,28.5
2024-11-01,69.75,3.25,0.0,2.0,35.5
2024-12-01,76.8,2.0,0.0,1.6,34.2
2025-01-01,78.25,8.25,0.0,3.75,34.0
2025-02-01,74.75,6.75,0.0,1.5,32.0
2025-03-01,67.6,2.6,0.0,1.2,30.8
