time [UTC],Dan Murphy's,Liquorland
2021-08-01,20.0,33.0
2021-09-01,17.5,30.0
2021-10-01,17.0,28.4
2021-11-01,20.25,31.75
2021-12-01,40.5,57.75
2022-01-01,15.6,27.2
2022-02-01,18.0,24.5
2022-03-01,27.25,23.5
2022-04-01,53.0,29.75
2022-05-01,38.2,22.4
2022-06-01,40.0,23.25
2022-07-01,21.6,23.0
2022-08-01,24.5,24.75
2022-09-01,28.75,26.25
2022-10-01,25.0,24.4
2022-11-01,28.5,28.25
2022-12-01,59.25,50.25
2023-01-01,27.0,27.0
2023-02-01,23.25,24.5
2023-03-01,21.75,23.0
2023-04-01,27.2,28.2
2023-05-01,18.5,21.75
2023-06-01,19.5,22.5
2023-07-01,19.6,22.8
2023-08-01,21.5,23.25
2023-09-01,24.0,25.75
2023-10-01,24.2,24.8
2023-11-01,27.5,25.75
2023-12-01,46.2,41.8
2024-01-01,21.75,24.0
2024-02-01,18.5,21.5
2024-03-01,21.6,25.4
2024-04-01,19.5,22.5
2024-05-01,16.75,20.25
2024-06-01,15.4,21.2
2024-07-01,15.5,21.25
2024-08-01,15.25,22.0
2024-09-01,16.0,23.2
2024-10-01,15.75,22.75
2024-11-01,17.0,24.25
2024-12-01,34.2,42.6
2025-01-01,14.75,22.25
2025-02-01,13.75,20.75
2025-03-01,13.8,20.6
