time [UTC],Koala,Noa,SleepMaker,Sleeping Duck,Sleepyhead
2021-08-01,0.0,2.0,6.0,16.0,0.0
2021-09-01,0.0,2.5,8.0,18.0,0.0
2021-10-01,0.0,2.4,7.8,16.6,0.0
2021-11-01,0.75,1.75,10.5,21.25,0.0
2021-12-01,14.0,0.75,7.75,17.5,0.0
2022-01-01,3.0,2.4,10.0,19.8,0.0
2022-02-01,7.25,3.0,8.5,17.75,0.0
2022-03-01,2.5,2.0,10.25,17.0,0.0
2022-04-01,4.25,3.0,9.25,17.5,0.0
2022-05-01,3.6,2.4,8.4,14.2,0.0
2022-06-01,35.0,1.5,10.0,15.0,0.0
2022-07-01,8.8,2.2,8.8,13.8,0.0
2022-08-01,25.5,2.25,6.5,12.75,0.0
2022-09-01,24.75,1.0,7.75,13.5,0.0
2022-10-01,30.2,1.6,7.2,11.0,0.0
2022-11-01,36.25,2.5,9.25,12.75,0.0
2022-12-01,35.5,1.0,8.0,12.25,0.0
2023-01-01,32.6,2.8,9.0,13.2,0.0
2023-02-01,26.5,0.75,7.0,9.75,0.0
2023-03-01,29.0,0.5,6.75,9.5,0.0
2023-04-01,29.0,2.0,7.2,13.2,0.0
2023-05-01,29.75,0.5,7.0,10.75,0.0
2023-06-01,35.25,0.5,8.75,12.25,0.0
2023-07-01,30.8,1.6,8.0,11.2,0.6
2023-08-01,18.0,1.25,7.0,9.5,0.0
2023-09-01,4.75,0.75,7.0,10.25,0.0
2023-10-01,3.2,0.0,6.4,10.0,0.0
2023-11-01,1.0,2.0,8.25,12.5,0.0
2023-12-01,56.6,0.0,8.2,12.0,0.0
2024-01-01,73.5,0.0,8.0,11.75,0.0
2024-02-01,61.0,0.0,6.0,9.5,0.0
2024-03-01,60.2,0.0,6.2,9.6,0.0
2024-04-01,70.0,0.0,6.5,10.0,0.0
2024-05-01,71.0,0.0,5.5,8.75,0.0
2024-06-01,90.2,0.0,8.2,11.2,0.0
2024-07-01,65.25,0.0,7.25,8.25,0.0
2024-08-01,23.0,0.0,6.25,8.25,0.0
2024-09-01,0.0,0.0,5.6,9.2,0.0
2024-10-01,0.0,0.0,8.25,8.25,0.0
2024-11-01,0.0,0.0,8.0,10.75,0.0
2024-12-01,0.0,0.0,8.0,9.6,0.0
2025-01-01,0.0,0.0,8.5,9.25,0.0
2025-02-01,0.0,0.0,5.5,8.75,0.0
2025-03-01,0.0,0.0,6.2,8.0,0.0
