time [UTC],Cotton On,Calibre,Connor,Hallenstein Brothers,Industrie
2021-08-01,43.0,1.0,5.0,0.0,1.0
2021-09-01,58.5,1.0,5.0,0.0,1.75
2021-10-01,52.6,0.2,6.0,0.0,2.0
2021-11-01,66.75,1.0,8.5,0.0,4.0
2021-12-01,31.5,1.0,7.75,0.0,4.0
2022-01-01,25.8,1.0,4.4,0.0,1.8
2022-02-01,59.25,0.5,5.5,0.0,2.0
2022-03-01,72.0,0.25,6.0,0.0,2.0
2022-04-01,76.25,0.5,6.5,0.0,2.75
2022-05-01,68.2,0.6,6.6,0.0,3.0
2022-06-01,64.0,1.0,7.5,0.0,3.0
2022-07-01,56.0,0.8,6.8,0.0,3.0
2022-08-01,56.5,1.25,7.5,0.0,2.75
2022-09-01,36.5,1.0,7.0,0.0,3.0
2022-10-01,54.2,1.2,7.2,0.0,1.4
2022-11-01,81.5,0.5,8.25,0.0,1.75
2022-12-01,80.75,0.5,7.5,0.0,1.5
2023-01-01,50.2,0.0,5.0,0.0,1.8
2023-02-01,49.0,0.0,4.75,0.0,2.0
2023-03-01,59.25,0.0,4.25,0.0,1.0
2023-04-01,61.0,0.0,5.0,0.0,1.0
2023-05-01,59.5,0.0,5.5,0.0,1.0
2023-06-01,56.75,0.25,6.25,0.0,1.0
2023-07-01,47.6,0.0,5.8,0.0,1.0
2023-08-01,50.25,0.0,6.0,0.0,0.75
2023-09-01,64.0,0.0,5.75,0.0,1.0
2023-10-01,61.8,0.0,6.4,0.0,0.8
2023-11-01,75.5,0.0,7.25,0.0,1.0
2023-12-01,66.6,0.0,5.4,0.0,1.2
2024-01-01,38.0,0.0,4.25,0.0,1.0
2024-02-01,41.0,0.0,4.0,0.0,1.0
2024-03-01,50.8,0.0,4.4,0.0,2.8
2024-04-01,55.75,0.0,5.75,0.0,3.0
2024-05-01,51.0,0.0,5.5,0.0,3.25
2024-06-01,22.4,0.0,5.6,0.0,3.2
2024-07-01,28.5,0.0,6.25,0.0,3.0
2024-08-01,43.5,0.0,5.5,0.0,2.75
2024-09-01,49.8,0.0,6.0,0.0,2.8
2024-10-01,54.75,0.0,6.25,0.0,2.75
2024-11-01,74.5,0.0,6.5,0.0,5.25
2024-12-01,71.8,0.0,6.2,0.0,4.8
2025-01-01,42.0,0.0,4.25,0.0,2.0
2025-02-01,37.25,0.0,4.5,0.0,2.25
2025-03-01,42.2,0.0,4.4,0.0,2.0
