time [UTC],Cotton On,Calibre,Hallenstein Brothers,Jack London,Oxford
2021-08-01,43.0,2.0,0.0,0.0,15.0
2021-09-01,59.25,2.5,0.0,0.25,14.5
2021-10-01,53.0,2.4,0.0,0.2,16.2
2021-11-01,67.25,3.0,0.25,1.0,19.25
2021-12-01,31.75,3.0,0.75,0.5,16.25
2022-01-01,25.6,3.0,0.0,1.0,16.0
2022-02-01,59.25,3.25,0.0,1.0,20.25
2022-03-01,72.0,3.25,0.0,0.75,20.0
2022-04-01,76.5,3.25,0.0,1.0,19.75
2022-05-01,68.6,3.2,0.2,1.0,20.8
2022-06-01,64.25,3.25,0.5,1.0,19.5
2022-07-01,56.2,3.0,0.4,0.6,19.8
2022-08-01,56.75,3.25,0.25,1.0,20.5
2022-09-01,37.25,3.0,0.5,0.75,19.5
2022-10-01,54.4,3.0,0.2,0.8,20.0
2022-11-01,82.0,3.25,1.0,0.75,19.25
2022-12-01,81.0,3.25,1.0,0.5,18.0
2023-01-01,50.8,3.0,0.2,0.2,20.0
2023-02-01,49.25,3.0,0.0,0.5,23.5
2023-03-01,59.5,3.0,0.0,1.0,21.0
2023-04-01,61.6,3.0,0.8,0.8,20.8
2023-05-01,59.75,3.0,0.25,0.5,20.75
2023-06-01,57.25,3.0,0.75,0.5,19.5
2023-07-01,47.6,3.0,0.6,0.4,18.6
2023-08-01,50.75,3.0,0.25,0.0,19.5
2023-09-01,64.0,3.0,1.0,0.0,19.0
2023-10-01,62.0,3.0,0.2,0.4,18.6
2023-11-01,75.25,3.25,0.75,0.0,19.5
2023-12-01,66.8,3.2,0.8,0.2,18.0
2024-01-01,38.25,3.0,0.75,0.5,19.5
2024-02-01,41.25,3.0,0.5,0.25,22.25
2024-03-01,51.0,3.0,0.4,0.2,19.6
2024-04-01,56.0,3.0,1.0,0.5,19.75
2024-05-01,51.25,3.25,0.75,0.0,21.25
2024-06-01,22.8,3.2,1.0,0.0,19.2
2024-07-01,28.75,3.5,1.0,0.0,19.75
2024-08-01,43.25,3.0,0.5,0.25,20.0
2024-09-01,49.8,3.2,0.8,0.0,19.4
2024-10-01,54.75,3.0,0.5,0.0,19.5
2024-11-01,74.5,3.25,1.0,0.0,19.75
2024-12-01,72.0,3.6,1.0,0.0,17.2
2025-01-01,42.0,3.25,0.0,0.0,18.5
2025-02-01,37.25,3.5,0.0,0.0,22.75
2025-03-01,42.6,4.2,0.2,0.2,20.6
