time [UTC],Ashley & Martin,Rosemary Health,Simple Online Doctor,Stagger,The Hairy Pill
2021-08-01,0.0,0.0,0.0,0.0,38.0
2021-09-01,0.0,0.0,0.0,0.0,28.75
2021-10-01,0.0,0.0,0.0,0.0,24.4
2021-11-01,0.0,0.0,0.0,0.0,24.5
2021-12-01,0.0,0.0,0.0,0.0,48.0
2022-01-01,0.0,14.6,0.0,0.0,72.0
2022-02-01,0.0,12.25,0.0,0.0,53.75
2022-03-01,0.0,25.75,0.0,0.0,45.25
2022-04-01,0.0,4.0,0.0,0.0,59.5
2022-05-01,0.0,14.8,0.0,0.0,60.6
2022-06-01,0.0,4.25,0.0,0.0,71.75
2022-07-01,0.0,3.0,0.0,0.0,43.6
2022-08-01,3.5,4.0,0.0,0.0,54.0
2022-09-01,0.0,4.0,0.0,0.0,34.5
2022-10-01,0.0,0.0,0.0,0.0,25.8
2022-11-01,0.0,0.0,0.0,0.0,26.5
2022-12-01,0.0,0.0,0.0,0.0,20.25
2023-01-01,0.0,0.0,0.0,0.0,25.2
2023-02-01,3.5,4.25,0.0,0.0,31.75
2023-03-01,0.0,3.75,3.75,0.0,29.25
2023-04-01,0.0,0.0,0.0,0.0,31.6
2023-05-01,0.0,6.5,0.0,0.0,30.0
2023-06-01,0.0,0.0,0.0,0.0,34.5
2023-07-01,0.0,0.0,0.0,0.0,30.4
2023-08-01,0.0,0.0,0.0,0.0,30.25
2023-09-01,0.0,4.5,0.0,0.0,30.25
2023-10-01,0.0,0.0,0.0,0.0,21.6
2023-11-01,0.0,0.0,0.0,0.0,32.75
2023-12-01,0.0,0.0,0.0,0.0,11.8
2024-01-01,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,5.0,6.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,4.25,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,3.0
2024-07-01,0.0,4.25,0.0,0.0,18.0
2024-08-01,0.0,0.0,0.0,0.0,20.75
2024-09-01,0.0,3.4,12.6,0.0,17.0
2024-10-01,0.0,0.0,8.75,0.0,21.75
2024-11-01,0.0,0.0,0.0,0.0,12.5
2024-12-01,0.0,0.0,3.6,0.0,13.2
2025-01-01,0.0,0.0,16.5,0.0,33.75
2025-02-01,0.0,0.0,3.75,0.0,32.0
2025-03-01,0.0,0.0,2.8,0.0,28.8
