time [UTC],Nine,Cheek Media Co.,Hack,Pedestrian,Shameless Media
2021-08-01,37.0,0.0,12.0,30.0,0.0
2021-09-01,46.25,0.0,11.0,29.75,0.0
2021-10-01,57.0,0.0,11.2,35.4,0.0
2021-11-01,77.25,0.0,10.25,38.75,0.0
2021-12-01,62.5,0.0,7.5,26.5,0.0
2022-01-01,52.8,0.0,9.2,30.4,0.0
2022-02-01,55.75,0.0,10.5,40.0,0.0
2022-03-01,66.0,0.0,11.75,43.5,0.0
2022-04-01,64.5,0.0,10.25,42.0,0.0
2022-05-01,69.6,0.0,11.2,42.0,0.0
2022-06-01,63.75,0.0,11.25,48.0,0.0
2022-07-01,56.8,0.0,10.2,43.2,0.0
2022-08-01,59.75,0.0,12.0,49.75,0.0
2022-09-01,63.25,0.0,11.0,44.25,0.0
2022-10-01,64.0,0.0,12.4,47.8,0.0
2022-11-01,69.75,0.0,10.75,47.25,0.0
2022-12-01,60.75,0.0,8.75,40.25,0.0
2023-01-01,53.4,0.0,11.2,47.0,0.0
2023-02-01,50.25,0.0,12.25,56.5,0.0
2023-03-01,49.25,0.0,12.0,62.0,0.0
2023-04-01,59.8,0.0,11.2,59.6,0.0
2023-05-01,61.0,0.0,10.5,63.5,1.0
2023-06-01,54.5,0.0,12.75,53.5,0.0
2023-07-01,52.0,0.0,9.4,58.0,0.0
2023-08-01,52.75,1.0,10.75,57.5,0.0
2023-09-01,54.0,0.0,9.75,63.5,0.0
2023-10-01,57.0,0.0,12.0,56.2,0.0
2023-11-01,60.5,0.0,11.25,53.25,0.0
2023-12-01,51.0,0.0,10.2,46.0,0.0
2024-01-01,43.25,0.0,9.5,53.75,0.0
2024-02-01,44.5,0.0,11.25,56.25,0.0
2024-03-01,43.4,0.0,10.2,70.2,0.0
2024-04-01,53.0,0.0,11.5,55.25,0.0
2024-05-01,48.25,0.0,12.25,65.0,0.0
2024-06-01,47.8,0.0,11.2,50.8,0.0
2024-07-01,38.0,0.0,12.25,56.25,0.0
2024-08-01,41.5,0.0,12.25,60.25,0.0
2024-09-01,47.2,0.0,11.2,56.0,0.0
2024-10-01,45.25,0.0,13.5,59.75,0.0
2024-11-01,49.5,0.0,12.5,58.75,0.0
2024-12-01,42.0,0.0,11.0,46.8,0.0
2025-01-01,38.5,0.0,12.5,55.5,0.0
2025-02-01,37.25,0.0,13.25,57.5,0.0
2025-03-01,36.0,0.0,12.4,57.8,0.0
