time [UTC],Nine,Shameless Media,The Daily Aus
2021-08-01,37.0,0.0,4.0
2021-09-01,46.75,0.0,2.5
2021-10-01,57.2,0.0,3.8
2021-11-01,77.25,0.0,1.0
2021-12-01,62.75,0.0,0.0
2022-01-01,53.0,0.0,1.4
2022-02-01,56.25,0.0,1.75
2022-03-01,66.25,0.0,4.0
2022-04-01,65.25,0.0,4.75
2022-05-01,69.4,0.0,3.2
2022-06-01,63.5,0.0,2.5
2022-07-01,57.0,0.0,1.4
2022-08-01,60.25,0.0,1.75
2022-09-01,64.5,0.0,0.0
2022-10-01,64.2,0.0,2.6
2022-11-01,70.75,0.0,2.0
2022-12-01,61.75,0.0,3.0
2023-01-01,54.0,0.0,3.6
2023-02-01,50.75,0.0,3.5
2023-03-01,49.75,0.0,4.75
2023-04-01,59.6,0.0,3.8
2023-05-01,62.0,0.0,4.75
2023-06-01,54.75,1.0,4.5
2023-07-01,51.8,0.0,4.4
2023-08-01,52.5,0.0,4.0
2023-09-01,54.0,0.0,4.5
2023-10-01,57.0,0.0,6.6
2023-11-01,60.5,0.0,3.75
2023-12-01,51.4,0.0,2.2
2024-01-01,44.25,0.75,3.5
2024-02-01,44.0,1.75,4.5
2024-03-01,43.2,0.0,4.6
2024-04-01,53.0,0.0,2.75
2024-05-01,47.0,0.0,3.75
2024-06-01,48.2,0.0,0.0
2024-07-01,38.5,0.0,4.25
2024-08-01,41.75,0.75,2.25
2024-09-01,46.6,2.2,3.0
2024-10-01,45.75,1.5,2.0
2024-11-01,49.75,0.75,3.75
2024-12-01,42.6,0.6,0.8
2025-01-01,38.75,0.75,2.75
2025-02-01,37.25,1.0,4.0
2025-03-01,36.0,0.0,5.4
