category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
News or Media Sources,Nine,2021-08-01,37.0,37.0,0,1.0,
News or Media Sources,Nine,2021-09-01,46.25,46.25,0,1.0,
News or Media Sources,Nine,2021-10-01,57.0,57.0,0,1.0,
News or Media Sources,Nine,2021-11-01,77.25,77.25,0,1.0,
News or Media Sources,Nine,2021-12-01,62.5,62.5,0,1.0,
News or Media Sources,Nine,2022-01-01,52.8,52.8,0,1.0,
News or Media Sources,Nine,2022-02-01,55.75,55.75,0,1.0,
News or Media Sources,Nine,2022-03-01,66.0,66.0,0,1.0,
News or Media Sources,Nine,2022-04-01,64.5,64.5,0,1.0,
News or Media Sources,Nine,2022-05-01,69.6,69.6,0,1.0,
News or Media Sources,Nine,2022-06-01,63.75,63.75,0,1.0,
News or Media Sources,Nine,2022-07-01,56.8,56.8,0,1.0,
News or Media Sources,Nine,2022-08-01,59.75,59.75,0,1.0,
News or Media Sources,Nine,2022-09-01,63.25,63.25,0,1.0,
News or Media Sources,Nine,2022-10-01,64.0,64.0,0,1.0,
News or Media Sources,Nine,2022-11-01,69.75,69.75,0,1.0,
News or Media Sources,Nine,2022-12-01,60.75,60.75,0,1.0,
News or Media Sources,Nine,2023-01-01,53.4,53.4,0,1.0,
News or Media Sources,Nine,2023-02-01,50.25,50.25,0,1.0,
News or Media Sources,Nine,2023-03-01,49.25,49.25,0,1.0,
News or Media Sources,Nine,2023-04-01,59.8,59.8,0,1.0,
News or Media Sources,Nine,2023-05-01,61.0,61.0,0,1.0,
News or Media Sources,Nine,2023-06-01,54.5,54.5,0,1.0,
News or Media Sources,Nine,2023-07-01,52.0,52.0,0,1.0,
News or Media Sources,Nine,2023-08-01,52.75,52.75,0,1.0,
News or Media Sources,Nine,2023-09-01,54.0,54.0,0,1.0,
News or Media Sources,Nine,2023-10-01,57.0,57.0,0,1.0,
News or Media Sources,Nine,2023-11-01,60.5,60.5,0,1.0,
News or Media Sources,Nine,2023-12-01,51.0,51.0,0,1.0,
News or Media Sources,Nine,2024-01-01,43.25,43.25,0,1.0,
News or Media Sources,Nine,2024-02-01,44.5,44.5,0,1.0,
News or Media Sources,Nine,2024-03-01,43.4,43.4,0,1.0,
News or Media Sources,Nine,2024-04-01,53.0,53.0,0,1.0,
News or Media Sources,Nine,2024-05-01,48.25,48.25,0,1.0,
News or Media Sources,Nine,2024-06-01,47.8,47.8,0,1.0,
News or Media Sources,Nine,2024-07-01,38.0,38.0,0,1.0,
News or Media Sources,Nine,2024-08-01,41.5,41.5,0,1.0,
News or Media Sources,Nine,2024-09-01,47.2,47.2,0,1.0,
