category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Online Market Places,eBay,2021-08-01,94.0,94.0,0,1.0,
Online Market Places,eBay,2021-09-01,95.75,95.75,0,1.0,
Online Market Places,eBay,2021-10-01,87.4,87.4,0,1.0,
Online Market Places,eBay,2021-11-01,83.25,83.25,0,1.0,
Online Market Places,eBay,2021-12-01,77.25,77.25,0,1.0,
Online Market Places,eBay,2022-01-01,82.6,82.6,0,1.0,
Online Market Places,eBay,2022-02-01,80.75,80.75,0,1.0,
Online Market Places,eBay,2022-03-01,79.5,79.5,0,1.0,
Online Market Places,eBay,2022-04-01,77.75,77.75,0,1.0,
Online Market Places,eBay,2022-05-01,75.2,75.2,0,1.0,
Online Market Places,eBay,2022-06-01,75.25,75.25,0,1.0,
Online Market Places,eBay,2022-07-01,78.0,78.0,0,1.0,
Online Market Places,eBay,2022-08-01,75.75,75.75,0,1.0,
Online Market Places,eBay,2022-09-01,76.25,76.25,0,1.0,
Online Market Places,eBay,2022-10-01,75.8,75.8,0,1.0,
Online Market Places,eBay,2022-11-01,77.75,77.75,0,1.0,
Online Market Places,eBay,2022-12-01,71.75,71.75,0,1.0,
Online Market Places,eBay,2023-01-01,74.6,74.6,0,1.0,
Online Market Places,eBay,2023-02-01,68.0,68.0,0,1.0,
Online Market Places,eBay,2023-03-01,68.25,68.25,0,1.0,
Online Market Places,eBay,2023-04-01,67.4,67.4,0,1.0,
Online Market Places,eBay,2023-05-01,68.0,68.0,0,1.0,
Online Market Places,eBay,2023-06-01,67.75,67.75,0,1.0,
Online Market Places,eBay,2023-07-01,66.0,66.0,0,1.0,
Online Market Places,eBay,2023-08-01,63.5,63.5,0,1.0,
Online Market Places,eBay,2023-09-01,62.5,62.5,0,1.0,
Online Market Places,eBay,2023-10-01,62.4,62.4,0,1.0,
Online Market Places,eBay,2023-11-01,65.0,65.0,0,1.0,
Online Market Places,eBay,2023-12-01,62.0,62.0,0,1.0,
Online Market Places,eBay,2024-01-01,61.25,61.25,0,1.0,
Online Market Places,eBay,2024-02-01,55.0,55.0,0,1.0,
Online Market Places,eBay,2024-03-01,53.6,53.6,0,1.0,
Online Market Places,eBay,2024-04-01,53.25,53.25,0,1.0,
Online Market Places,eBay,2024-05-01,53.0,53.0,0,1.0,
Online Market Places,eBay,2024-06-01,53.0,53.0,0,1.0,
Online Market Places,eBay,2024-07-01,53.5,53.5,0,1.0,
Online Market Places,eBay,2024-08-01,51.5,51.5,0,1.0,
Online Market Places,eBay,2024-09-01,52.2,52.2,0,1.0,
Online Market Places,eBay,2024-10-01,51.5,51.5,0,1.0,
Online Market Places,eBay,2024-11-01,52.25,52.25,0,1.0,
Online Market Places,eBay,2024-12-01,51.8,51.8,0,1.0,
Online Market Places,eBay,2025-01-01,52.0,52.0,0,1.0,
Online Market Places,eBay,2025-02-01,50.25,50.25,0,1.0,
Online Market Places,eBay,2025-03-01,46.0,46.0,0,1.0,
Online Market Places,Amazon,2021-08-01,1.0,1.0,0,1.0,
Online Market Places,Amazon,2021-09-01,2.25,2.25,0,1.0,
Online Market Places,Amazon,2021-10-01,1.8,1.8,0,1.0,
Online Market Places,Amazon,2021-11-01,2.75,2.75,0,1.0,
Online Market Places,Amazon,2021-12-01,2.25,2.25,0,1.0,
Online Market Places,Amazon,2022-01-01,1.8,1.8,0,1.0,
Online Market Places,Amazon,2022-02-01,1.0,1.0,0,1.0,
Online Market Places,Amazon,2022-03-01,1.25,1.25,0,1.0,
Online Market Places,Amazon,2022-04-01,15.5,15.5,0,1.0,
Online Market Places,Amazon,2022-05-01,0.8,0.8,0,1.0,
Online Market Places,Amazon,2022-06-01,0.75,0.75,0,1.0,
Online Market Places,Amazon,2022-07-01,0.6,0.6,0,1.0,
Online Market Places,Amazon,2022-08-01,0.5,0.5,0,1.0,
Online Market Places,Amazon,2022-09-01,1.25,1.25,0,1.0,
Online Market Places,Amazon,2022-10-01,0.4,0.4,0,1.0,
Online Market Places,Amazon,2022-11-01,1.0,1.0,0,1.0,
Online Market Places,Amazon,2022-12-01,2.25,2.25,0,1.0,
Online Market Places,Amazon,2023-01-01,0.6,0.6,0,1.0,
Online Market Places,Amazon,2023-02-01,1.25,1.25,0,1.0,
Online Market Places,Amazon,2023-03-01,16.5,16.5,0,1.0,
Online Market Places,Amazon,2023-04-01,16.0,16.0,0,1.0,
Online Market Places,Amazon,2023-05-01,1.25,1.25,0,1.0,
Online Market Places,Amazon,2023-06-01,2.0,2.0,0,1.0,
Online Market Places,Amazon,2023-07-01,1.6,1.6,0,1.0,
Online Market Places,Amazon,2023-08-01,1.25,1.25,0,1.0,
Online Market Places,Amazon,2023-09-01,1.0,1.0,0,1.0,
Online Market Places,Amazon,2023-10-01,0.0,0.0,0,1.0,
Online Market Places,Amazon,2023-11-01,0.0,0.0,0,1.0,
Online Market Places,Amazon,2023-12-01,0.0,0.0,0,1.0,
Online Market Places,Amazon,2024-01-01,16.0,16.0,0,1.0,
Online Market Places,Amazon,2024-02-01,22.25,22.25,0,1.0,
Online Market Places,Amazon,2024-03-01,20.4,20.4,0,1.0,
Online Market Places,Amazon,2024-04-01,37.0,37.0,0,1.0,
Online Market Places,Amazon,2024-05-01,32.75,32.75,0,1.0,
Online Market Places,Amazon,2024-06-01,31.8,31.8,0,1.0,
Online Market Places,Amazon,2024-07-01,40.5,40.5,0,1.0,
Online Market Places,Amazon,2024-08-01,34.25,34.25,0,1.0,
Online Market Places,Amazon,2024-09-01,34.2,34.2,0,1.0,
Online Market Places,Amazon,2024-10-01,45.75,45.75,0,1.0,
Online Market Places,Amazon,2024-11-01,47.5,47.5,0,1.0,
Online Market Places,Amazon,2024-12-01,41.8,41.8,0,1.0,
Online Market Places,Amazon,2025-01-01,35.75,35.75,0,1.0,
Online Market Places,Amazon,2025-02-01,40.75,40.75,0,1.0,
Online Market Places,Amazon,2025-03-01,36.8,36.8,0,1.0,
Online Market Places,Depop,2021-08-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2021-09-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2021-10-01,1.6,1.6,0,1.0,
Online Market Places,Depop,2021-11-01,1.0,1.0,0,1.0,
Online Market Places,Depop,2021-12-01,1.25,1.25,0,1.0,
Online Market Places,Depop,2022-01-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-02-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-03-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-04-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-05-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-06-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-07-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-08-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-09-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-10-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-11-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2022-12-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-01-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-02-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-03-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-04-01,2.6,2.6,0,1.0,
Online Market Places,Depop,2023-05-01,2.75,2.75,0,1.0,
Online Market Places,Depop,2023-06-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-07-01,2.2,2.2,0,1.0,
Online Market Places,Depop,2023-08-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-09-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2023-10-01,2.4,2.4,0,1.0,
Online Market Places,Depop,2023-11-01,2.25,2.25,0,1.0,
Online Market Places,Depop,2023-12-01,2.0,2.0,0,1.0,
Online Market Places,Depop,2024-01-01,3.0,3.0,0,1.0,
Online Market Places,Depop,2024-02-01,3.0,3.0,0,1.0,
Online Market Places,Depop,2024-03-01,3.0,3.0,0,1.0,
Online Market Places,Depop,2024-04-01,3.5,3.5,0,1.0,
Online Market Places,Depop,2024-05-01,3.75,3.75,0,1.0,
Online Market Places,Depop,2024-06-01,3.0,3.0,0,1.0,
Online Market Places,Depop,2024-07-01,3.0,3.0,0,1.0,
Online Market Places,Depop,2024-08-01,3.25,3.25,0,1.0,
Online Market Places,Depop,2024-09-01,3.4,3.4,0,1.0,
Online Market Places,Depop,2024-10-01,4.0,4.0,0,1.0,
Online Market Places,Depop,2024-11-01,3.75,3.75,0,1.0,
Online Market Places,Depop,2024-12-01,3.4,3.4,0,1.0,
Online Market Places,Depop,2025-01-01,4.75,4.75,0,1.0,
Online Market Places,Depop,2025-02-01,4.75,4.75,0,1.0,
Online Market Places,Depop,2025-03-01,5.0,5.0,0,1.0,
Online Market Places,Etsy,2021-08-01,2.0,2.0,0,1.0,
Online Market Places,Etsy,2021-09-01,2.0,2.0,0,1.0,
Online Market Places,Etsy,2021-10-01,1.4,1.4,0,1.0,
Online Market Places,Etsy,2021-11-01,2.0,2.0,0,1.0,
Online Market Places,Etsy,2021-12-01,1.25,1.25,0,1.0,
Online Market Places,Etsy,2022-01-01,7.0,7.0,0,1.0,
Online Market Places,Etsy,2022-02-01,4.0,4.0,0,1.0,
Online Market Places,Etsy,2022-03-01,4.25,4.25,0,1.0,
Online Market Places,Etsy,2022-04-01,5.25,5.25,0,1.0,
Online Market Places,Etsy,2022-05-01,9.2,9.2,0,1.0,
Online Market Places,Etsy,2022-06-01,5.0,5.0,0,1.0,
Online Market Places,Etsy,2022-07-01,7.2,7.2,0,1.0,
Online Market Places,Etsy,2022-08-01,3.5,3.5,0,1.0,
Online Market Places,Etsy,2022-09-01,2.75,2.75,0,1.0,
Online Market Places,Etsy,2022-10-01,14.0,14.0,0,1.0,
Online Market Places,Etsy,2022-11-01,16.0,16.0,0,1.0,
Online Market Places,Etsy,2022-12-01,14.75,14.75,0,1.0,
Online Market Places,Etsy,2023-01-01,16.2,16.2,0,1.0,
Online Market Places,Etsy,2023-02-01,14.25,14.25,0,1.0,
Online Market Places,Etsy,2023-03-01,12.25,12.25,0,1.0,
Online Market Places,Etsy,2023-04-01,12.2,12.2,0,1.0,
Online Market Places,Etsy,2023-05-01,10.75,10.75,0,1.0,
Online Market Places,Etsy,2023-06-01,10.75,10.75,0,1.0,
Online Market Places,Etsy,2023-07-01,11.4,11.4,0,1.0,
Online Market Places,Etsy,2023-08-01,11.25,11.25,0,1.0,
Online Market Places,Etsy,2023-09-01,11.25,11.25,0,1.0,
Online Market Places,Etsy,2023-10-01,11.6,11.6,0,1.0,
Online Market Places,Etsy,2023-11-01,13.75,13.75,0,1.0,
Online Market Places,Etsy,2023-12-01,13.2,13.2,0,1.0,
Online Market Places,Etsy,2024-01-01,13.5,13.5,0,1.0,
Online Market Places,Etsy,2024-02-01,12.5,12.5,0,1.0,
Online Market Places,Etsy,2024-03-01,12.4,12.4,0,1.0,
Online Market Places,Etsy,2024-04-01,12.5,12.5,0,1.0,
Online Market Places,Etsy,2024-05-01,11.75,11.75,0,1.0,
Online Market Places,Etsy,2024-06-01,11.0,11.0,0,1.0,
Online Market Places,Etsy,2024-07-01,11.5,11.5,0,1.0,
Online Market Places,Etsy,2024-08-01,11.75,11.75,0,1.0,
Online Market Places,Etsy,2024-09-01,11.6,11.6,0,1.0,
Online Market Places,Etsy,2024-10-01,12.5,12.5,0,1.0,
Online Market Places,Etsy,2024-11-01,13.0,13.0,0,1.0,
Online Market Places,Etsy,2024-12-01,12.4,12.4,0,1.0,
Online Market Places,Etsy,2025-01-01,13.25,13.25,0,1.0,
Online Market Places,Etsy,2025-02-01,11.5,11.5,0,1.0,
Online Market Places,Etsy,2025-03-01,11.2,11.2,0,1.0,
Online Market Places,Facebook Marketplace,2021-08-01,12.0,12.0,0,1.0,
Online Market Places,Facebook Marketplace,2021-09-01,12.75,12.75,0,1.0,
Online Market Places,Facebook Marketplace,2021-10-01,12.8,12.8,0,1.0,
Online Market Places,Facebook Marketplace,2021-11-01,13.25,13.25,0,1.0,
Online Market Places,Facebook Marketplace,2021-12-01,13.75,13.75,0,1.0,
Online Market Places,Facebook Marketplace,2022-01-01,14.4,14.4,0,1.0,
Online Market Places,Facebook Marketplace,2022-02-01,14.5,14.5,0,1.0,
Online Market Places,Facebook Marketplace,2022-03-01,13.25,13.25,0,1.0,
Online Market Places,Facebook Marketplace,2022-04-01,13.5,13.5,0,1.0,
Online Market Places,Facebook Marketplace,2022-05-01,13.0,13.0,0,1.0,
Online Market Places,Facebook Marketplace,2022-06-01,13.25,13.25,0,1.0,
Online Market Places,Facebook Marketplace,2022-07-01,13.4,13.4,0,1.0,
Online Market Places,Facebook Marketplace,2022-08-01,13.0,13.0,0,1.0,
Online Market Places,Facebook Marketplace,2022-09-01,14.0,14.0,0,1.0,
Online Market Places,Facebook Marketplace,2022-10-01,14.0,14.0,0,1.0,
Online Market Places,Facebook Marketplace,2022-11-01,13.75,13.75,0,1.0,
Online Market Places,Facebook Marketplace,2022-12-01,14.75,14.75,0,1.0,
Online Market Places,Facebook Marketplace,2023-01-01,16.2,16.2,0,1.0,
Online Market Places,Facebook Marketplace,2023-02-01,15.5,15.5,0,1.0,
Online Market Places,Facebook Marketplace,2023-03-01,14.5,14.5,0,1.0,
Online Market Places,Facebook Marketplace,2023-04-01,15.2,15.2,0,1.0,
Online Market Places,Facebook Marketplace,2023-05-01,15.0,15.0,0,1.0,
Online Market Places,Facebook Marketplace,2023-06-01,15.0,15.0,0,1.0,
Online Market Places,Facebook Marketplace,2023-07-01,15.2,15.2,0,1.0,
Online Market Places,Facebook Marketplace,2023-08-01,15.0,15.0,0,1.0,
Online Market Places,Facebook Marketplace,2023-09-01,15.5,15.5,0,1.0,
Online Market Places,Facebook Marketplace,2023-10-01,15.6,15.6,0,1.0,
Online Market Places,Facebook Marketplace,2023-11-01,15.75,15.75,0,1.0,
Online Market Places,Facebook Marketplace,2023-12-01,16.2,16.2,0,1.0,
Online Market Places,Facebook Marketplace,2024-01-01,17.75,17.75,0,1.0,
Online Market Places,Facebook Marketplace,2024-02-01,15.25,15.25,0,1.0,
Online Market Places,Facebook Marketplace,2024-03-01,14.8,14.8,0,1.0,
Online Market Places,Facebook Marketplace,2024-04-01,14.25,14.25,0,1.0,
Online Market Places,Facebook Marketplace,2024-05-01,14.5,14.5,0,1.0,
Online Market Places,Facebook Marketplace,2024-06-01,14.0,14.0,0,1.0,
Online Market Places,Facebook Marketplace,2024-07-01,13.5,13.5,0,1.0,
Online Market Places,Facebook Marketplace,2024-08-01,13.5,13.5,0,1.0,
Online Market Places,Facebook Marketplace,2024-09-01,13.6,13.6,0,1.0,
Online Market Places,Facebook Marketplace,2024-10-01,13.5,13.5,0,1.0,
Online Market Places,Facebook Marketplace,2024-11-01,14.0,14.0,0,1.0,
Online Market Places,Facebook Marketplace,2024-12-01,15.0,15.0,0,1.0,
Online Market Places,Facebook Marketplace,2025-01-01,14.5,14.5,0,1.0,
Online Market Places,Facebook Marketplace,2025-02-01,14.75,14.75,0,1.0,
Online Market Places,Facebook Marketplace,2025-03-01,13.4,13.4,0,1.0,
Online Market Places,Gumtree,2021-08-01,73.0,73.0,1,1.0,
Online Market Places,Gumtree,2021-09-01,74.25,74.25,1,1.0,
Online Market Places,Gumtree,2021-10-01,76.6,76.6,1,1.0,
Online Market Places,Gumtree,2021-11-01,74.0,74.0,1,1.0,
