time [UTC],David Jones,Ozsale,THE OUTNET,The Archive Place,The DOM
2021-08-01,4.0,30.0,18.0,0.0,5.0
2021-09-01,10.0,19.0,19.25,0.0,5.0
2021-10-01,18.4,1.6,22.2,0.4,6.4
2021-11-01,45.25,2.0,28.75,1.0,6.75
2021-12-01,39.25,14.0,19.0,0.5,5.25
2022-01-01,22.0,30.2,23.0,1.0,6.2
2022-02-01,21.75,3.0,26.75,1.25,7.0
2022-03-01,26.25,1.0,31.5,1.25,9.0
2022-04-01,26.25,0.0,32.5,0.25,7.5
2022-05-01,25.2,0.4,33.0,0.6,5.8
2022-06-01,29.25,0.0,27.0,0.0,6.75
2022-07-01,22.8,0.0,25.0,1.4,6.2
2022-08-01,22.25,0.0,26.75,2.0,6.75
2022-09-01,23.25,0.0,26.5,1.0,6.0
2022-10-01,24.0,0.8,27.4,0.8,7.4
2022-11-01,51.0,0.0,25.25,1.25,5.75
2022-12-01,41.75,0.0,21.25,1.0,6.0
2023-01-01,26.8,0.0,18.6,0.8,7.0
2023-02-01,24.5,7.0,16.75,0.5,8.5
2023-03-01,20.75,25.0,23.75,0.0,7.0
2023-04-01,20.6,27.0,23.4,1.0,8.0
2023-05-01,23.0,31.75,26.25,1.5,8.5
2023-06-01,25.5,32.5,21.0,1.25,8.5
2023-07-01,19.2,29.6,18.4,0.0,8.4
2023-08-01,20.25,27.5,18.0,0.0,7.75
2023-09-01,19.75,33.0,17.0,1.0,9.25
2023-10-01,9.2,19.6,18.6,0.8,9.2
2023-11-01,0.5,10.25,20.5,1.0,10.0
2023-12-01,5.0,38.6,16.2,1.0,10.0
2024-01-01,4.5,28.0,14.5,0.5,11.75
2024-02-01,5.25,26.75,15.75,0.5,14.0
2024-03-01,5.2,27.8,16.2,0.4,10.2
2024-04-01,4.25,32.25,17.5,0.5,11.0
2024-05-01,5.0,31.0,16.75,1.0,10.75
2024-06-01,3.2,25.2,16.0,0.4,10.0
2024-07-01,4.25,28.5,16.5,1.25,11.5
2024-08-01,4.5,24.5,13.5,0.75,11.5
2024-09-01,4.8,22.6,12.0,0.0,11.6
2024-10-01,4.5,25.5,13.75,0.0,12.0
2024-11-01,7.25,38.25,14.5,0.0,17.5
2024-12-01,8.4,31.0,12.8,0.0,16.2
2025-01-01,4.0,22.25,10.75,0.0,11.5
2025-02-01,3.0,19.5,11.5,0.0,9.5
2025-03-01,5.2,22.4,7.8,0.0,7.8
