time [UTC],David Jones,The Iconic
2021-08-01,0.0,29.0
2021-09-01,0.75,32.75
2021-10-01,1.8,33.2
2021-11-01,4.0,40.5
2021-12-01,3.5,28.25
2022-01-01,2.0,27.8
2022-02-01,2.0,45.5
2022-03-01,2.25,57.0
2022-04-01,2.0,55.5
2022-05-01,2.2,63.8
2022-06-01,2.75,58.75
2022-07-01,2.0,57.4
2022-08-01,2.0,56.75
2022-09-01,2.0,58.5
2022-10-01,2.0,58.2
2022-11-01,4.5,75.5
2022-12-01,3.75,60.0
2023-01-01,2.2,44.0
2023-02-01,2.0,45.25
2023-03-01,2.0,46.25
2023-04-01,2.0,48.2
2023-05-01,2.0,52.25
2023-06-01,2.0,50.75
2023-07-01,2.0,43.2
2023-08-01,2.0,43.25
2023-09-01,2.0,45.0
2023-10-01,0.8,44.8
2023-11-01,0.0,58.5
2023-12-01,0.4,43.4
2024-01-01,0.0,34.75
2024-02-01,0.25,33.75
2024-03-01,0.4,33.8
2024-04-01,0.0,36.5
2024-05-01,0.25,38.5
2024-06-01,0.0,35.6
2024-07-01,0.0,34.25
2024-08-01,0.25,37.0
2024-09-01,0.2,36.8
2024-10-01,0.0,35.25
2024-11-01,0.5,55.5
2024-12-01,1.0,39.4
2025-01-01,0.0,30.0
2025-02-01,0.0,30.75
2025-03-01,0.2,32.2
